timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
93440342,16.65633,16.642881,38.9856,38.97225,0.0,976.4228,0.9214409,1.0094405,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
93943561,16.607683,16.637653,38.9608,38.97196,0.0,981.8703,0.9188269,1.0097578,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
94447406,16.617413,16.63051,38.9608,38.971474,0.0,987.3245,0.91525537,1.0101914,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
94950647,16.617413,16.624418,38.973198,38.97143,0.0,992.77246,0.91220933,1.0105616,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
95453978,16.607683,16.620571,38.973198,38.973503,0.0,998.2216,0.9102858,1.0107956,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
95945110,16.588226,16.617315,38.9856,38.972424,0.0,1003.5385,0.90865785,1.0109936,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
96445154,16.597956,16.616781,38.973198,38.970474,0.0,1008.95135,0.9083908,1.011026,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
96948334,16.617413,16.615593,38.9608,38.97131,0.0,1014.3986,0.9077967,1.0110984,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
97451530,16.597956,16.615828,38.9856,38.972515,0.0,1019.84625,0.907914,1.0110841,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
97955497,16.597956,16.615877,38.9608,38.974648,0.0,1025.3026,0.9079388,1.0110811,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
