timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
93507875,0.002006189,0.0014755512,-0.0011006009,0.92947435,0.0019630732,0.0044193906,0.36885506,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93539869,0.0012540946,0.0015799042,-0.00024721195,0.92947793,0.0019509152,0.004428582,0.36884597,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93571902,-1.349987e-05,-0.00087368814,-0.0016359456,0.92948335,0.0019486124,0.004425389,0.36883256,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93599882,0.00062617136,0.00041879783,-0.0012145524,0.92949265,0.0019392796,0.004429165,0.36880916,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93631112,-0.0005457003,0.0005146686,-0.0010121965,0.92949873,0.0019318318,0.0044272724,0.36879382,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93663869,-0.000982672,-0.0014971687,0.0001726165,0.9295018,0.001924662,0.0044277846,0.3687862,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93695069,-0.00033418823,-0.0020110747,-0.00067452405,0.92950714,0.0019317053,0.0044281064,0.36877263,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93727082,0.0011478455,0.000734871,-0.00025120145,0.9295115,0.0019368167,0.0044355807,0.36876142,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93759076,0.0012532555,-0.00022369149,-0.00024318427,0.9295173,0.001949759,0.0044382513,0.3687466,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93791069,-0.001514351,-0.0005390439,0.00037885027,0.9295235,0.0019441164,0.00442253,0.36873135,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93823069,0.00060414686,0.0011420043,-0.0014217308,0.92953086,0.0019510994,0.004426973,0.36871254,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93855069,0.00072172895,-0.00013652554,-0.00014443036,0.9295303,0.0019514007,0.004429684,0.36871403,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93883089,-0.0002426866,0.00073819445,0.0010161198,0.9295353,0.0019586997,0.0044334037,0.36870146,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93915075,-0.0017325116,-0.0021391157,6.4200736e-05,0.9295351,0.0019573919,0.0044270284,0.36870193,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93947069,-0.00087562774,-0.0003451381,-0.00036509693,0.929545,0.0019596973,0.004422826,0.3686771,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
93979075,0.0007202477,-0.0005445742,-0.00025583006,0.9295535,0.001973386,0.004410124,0.36865583,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94011075,-0.0013021288,-0.001286167,0.00046274683,0.9295638,0.0019605088,0.0043940186,0.3686301,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94043086,-0.0014171717,-0.00085889397,0.0017506514,0.9295719,0.0019581306,0.0043971934,0.36860946,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94075069,-0.0010967726,-3.1827076e-06,-0.0010076084,0.9295876,0.0019532787,0.004401643,0.36856982,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94107074,0.0013508756,0.0012656841,0.00047601867,0.9295974,0.0019482285,0.004413388,0.36854511,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94135090,-0.0001283267,0.0017784894,-0.0016670453,0.92960626,0.0019379248,0.0044199787,0.36852273,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94167069,-0.0003511178,0.0009645374,0.00046477639,0.9296142,0.0019496043,0.0044262516,0.36850265,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94199068,0.0010412248,0.0019203869,0.00015834847,0.92962503,0.0019517759,0.0044249035,0.36847514,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94231075,0.000716752,-0.0010771067,5.1948977e-05,0.9296395,0.0019623057,0.004430239,0.3684386,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94263069,-0.0012982393,-0.00044290206,-0.00091880775,0.92965144,0.0019708974,0.0044302377,0.36840853,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94295069,-0.0016381892,-0.00033120383,0.00014572992,0.9296636,0.0019686467,0.0044286945,0.36837775,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94327069,0.002111801,-0.0017214445,-5.2558797e-05,0.9296698,0.0019648597,0.004422419,0.3683623,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
94358304,-0.00066777004,-0.0014179558,0.0011343482,0.9296764,0.0019691058,0.004427581,0.36834562,0.99971896,0.00016006497,-0.00024610898,-0.02370615,2
