timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
94617927,0.0,0.0,0.7538468,0.0,0.9298014,0.0,0.0,0.3680616,0.0,0.0,-0.0,1,0,0,0,0,0
94637926,0.0,0.0,0.75377727,0.0,0.9298142,0.0,0.0,0.36802927,0.0,0.0,-0.0,1,0,0,0,0,0
94738045,0.0,0.0,0.7534261,0.0,0.92987883,0.0,0.0,0.36786598,0.0,0.0,-0.0,1,0,0,0,0,0
94838194,0.0,0.0,0.7531804,0.0,0.929924,0.0,0.0,0.36775178,0.0,0.0,-0.0,1,0,0,0,0,0
94938574,0.0,0.0,0.7528798,0.0,0.92997926,0.0,0.0,0.367612,0.0,0.0,-0.0,1,0,0,0,0,0
95038640,0.0,0.0,0.7525918,0.0,0.9300322,0.0,0.0,0.36747807,0.0,0.0,-0.0,1,0,0,0,0,0
95138654,0.0,0.0,0.75236994,0.0,0.9300729,0.0,0.0,0.36737493,0.0,0.0,-0.0,1,0,0,0,0,0
95238610,0.0,0.0,0.7521062,0.0,0.93012136,0.0,0.0,0.36725226,0.0,0.0,-0.0,1,0,0,0,0,0
95339234,0.0,0.0,0.7518305,0.0,0.930172,0.0,0.0,0.36712402,0.0,0.0,-0.0,1,0,0,0,0,0
95438748,0.0,0.0,0.7515893,0.0,0.93021625,0.0,0.0,0.36701187,0.0,0.0,-0.0,1,0,0,0,0,0
95538961,0.0,0.0,0.7513907,0.0,0.93025273,0.0,0.0,0.3669195,0.0,0.0,-0.0,1,0,0,0,0,0
95639015,0.0,0.0,0.7511514,0.0,0.9302966,0.0,0.0,0.36680815,0.0,0.0,-0.0,1,0,0,0,0,0
95739187,0.0,0.0,0.750864,0.0,0.9303493,0.0,0.0,0.3666745,0.0,0.0,-0.0,1,0,0,0,0,0
95839430,0.0,0.0,0.75056624,0.0,0.9304039,0.0,0.0,0.36653596,0.0,0.0,-0.0,1,0,0,0,0,0
95939373,0.0,0.0,0.75029504,0.0,0.9304536,0.0,0.0,0.3664098,0.0,0.0,-0.0,1,0,0,0,0,0
96059474,0.0,0.0,0.75003386,0.0,0.93050146,0.0,0.0,0.36628827,0.0,0.0,-0.0,1,0,0,0,0,0
96159535,0.0,0.0,0.7497825,0.0,0.9305475,0.0,0.0,0.36617136,0.0,0.0,-0.0,1,0,0,0,0,0
96259586,0.0,0.0,0.7494709,0.0,0.9306045,0.0,0.0,0.36602634,0.0,0.0,-0.0,1,0,0,0,0,0
96359711,0.0,0.0,0.7491584,0.0,0.9306617,0.0,0.0,0.36588097,0.0,0.0,-0.0,1,0,0,0,0,0
96459923,0.0,0.0,0.7488651,0.0,0.9307153,0.0,0.0,0.3657445,0.0,0.0,-0.0,1,0,0,0,0,0
96559925,0.0,0.0,0.7485492,0.0,0.9307731,0.0,0.0,0.3655975,0.0,0.0,-0.0,1,0,0,0,0,0
96660377,0.0,0.0,0.74832785,0.0,0.93081355,0.0,0.0,0.36549443,0.0,0.0,-0.0,1,0,0,0,0,0
96760367,0.0,0.0,0.7480639,0.0,0.9308618,0.0,0.0,0.36537158,0.0,0.0,-0.0,1,0,0,0,0,0
96860355,0.0,0.0,0.7477892,0.0,0.93091196,0.0,0.0,0.3652437,0.0,0.0,-0.0,1,0,0,0,0,0
96960359,0.0,0.0,0.7475298,0.0,0.9309593,0.0,0.0,0.36512297,0.0,0.0,-0.0,1,0,0,0,0,0
97060417,0.0,0.0,0.74726003,0.0,0.9310085,0.0,0.0,0.36499745,0.0,0.0,-0.0,1,0,0,0,0,0
97160546,0.0,0.0,0.7470148,0.0,0.9310533,0.0,0.0,0.36488324,0.0,0.0,-0.0,1,0,0,0,0,0
97260782,0.0,0.0,0.7467688,0.0,0.93109816,0.0,0.0,0.3647687,0.0,0.0,-0.0,1,0,0,0,0,0
97380836,0.0,0.0,0.7464867,0.0,0.9311496,0.0,0.0,0.3646374,0.0,0.0,-0.0,1,0,0,0,0,0
97480983,0.0,0.0,0.7462655,0.0,0.9311899,0.0,0.0,0.3645344,0.0,0.0,-0.0,1,0,0,0,0,0
97580930,0.0,0.0,0.7460691,0.0,0.9312257,0.0,0.0,0.36444294,0.0,0.0,-0.0,1,0,0,0,0,0
97681039,0.0,0.0,0.74580765,0.0,0.93127334,0.0,0.0,0.3643212,0.0,0.0,-0.0,1,0,0,0,0,0
97781088,0.0,0.0,0.74553865,0.0,0.93132234,0.0,0.0,0.36419597,0.0,0.0,-0.0,1,0,0,0,0,0
97881192,0.0,0.0,0.74537396,0.0,0.9313523,0.0,0.0,0.3641193,0.0,0.0,-0.0,1,0,0,0,0,0
97981412,0.0,0.0,0.74518013,0.0,0.9313876,0.0,0.0,0.364029,0.0,0.0,-0.0,1,0,0,0,0,0
98081520,0.0,0.0,0.74496317,0.0,0.9314271,0.0,0.0,0.36392796,0.0,0.0,-0.0,1,0,0,0,0,0
98181611,0.0,0.0,0.7447298,0.0,0.93146956,0.0,0.0,0.3638193,0.0,0.0,-0.0,1,0,0,0,0,0
98281889,0.0,0.0,0.7445133,0.0,0.93150896,0.0,0.0,0.36371845,0.0,0.0,-0.0,1,0,0,0,0,0
98381752,0.0,0.0,0.7443461,0.0,0.93153936,0.0,0.0,0.36364055,0.0,0.0,-0.0,1,0,0,0,0,0
98501807,0.0,0.0,0.7442183,0.0,0.93156254,0.0,0.0,0.36358106,0.0,0.0,-0.0,1,0,0,0,0,0
98601926,0.0,0.0,0.7441344,0.0,0.9315778,0.0,0.0,0.363542,0.0,0.0,-0.0,1,0,0,0,0,0
98701999,0.0,0.0,0.74398845,0.0,0.9316043,0.0,0.0,0.363474,0.0,0.0,-0.0,1,0,0,0,0,0
98802178,0.0,0.0,0.7438093,0.0,0.9316369,0.0,0.0,0.36339054,0.0,0.0,-0.0,1,0,0,0,0,0
98902539,0.0,0.0,0.7436915,0.0,0.9316583,0.0,0.0,0.36333564,0.0,0.0,-0.0,1,0,0,0,0,0
99002404,0.0,0.0,0.7435566,0.0,0.9316828,0.0,0.0,0.36327282,0.0,0.0,-0.0,1,0,0,0,0,0
99102697,0.0,0.0,0.7433889,0.0,0.9317133,0.0,0.0,0.36319467,0.0,0.0,-0.0,1,0,0,0,0,0
99202553,0.0,0.0,0.7431988,0.0,0.9317478,0.0,0.0,0.36310616,0.0,0.0,-0.0,1,0,0,0,0,0
99303357,0.0,0.0,0.74292284,0.0,0.93179786,0.0,0.0,0.3629776,0.0,0.0,-0.0,1,0,0,0,0,0
99402689,0.0,0.0,0.74263406,0.0,0.9318503,0.0,0.0,0.362843,0.0,0.0,-0.0,1,0,0,0,0,0
99503109,0.0,0.0,0.74239403,0.0,0.9318938,0.0,0.0,0.3627312,0.0,0.0,-0.0,1,0,0,0,0,0
99623528,0.0,0.0,0.7421868,0.0,0.93193144,0.0,0.0,0.36263463,0.0,0.0,-0.0,1,0,0,0,0,0
99723268,0.0,0.0,0.7418873,0.0,0.9319857,0.0,0.0,0.36249506,0.0,0.0,-0.0,1,0,0,0,0,0
99823920,0.0,0.0,0.7416595,0.0,0.932027,0.0,0.0,0.36238897,0.0,0.0,-0.0,1,0,0,0,0,0
99923335,0.0,0.0,0.7414114,0.0,0.9320719,0.0,0.0,0.3622733,0.0,0.0,-0.0,1,0,0,0,0,0
100023363,0.0,0.0,0.74124575,0.0,0.9321019,0.0,0.0,0.36219606,0.0,0.0,-0.0,1,0,0,0,0,0
100123468,0.0,0.0,0.7410457,0.0,0.93213814,0.0,0.0,0.36210287,0.0,0.0,-0.0,1,0,0,0,0,0
100223509,0.0,0.0,0.7408979,0.0,0.9321649,0.0,0.0,0.36203396,0.0,0.0,-0.0,1,0,0,0,0,0
100323613,0.0,0.0,0.7407358,0.0,0.93219423,0.0,0.0,0.3619584,0.0,0.0,-0.0,1,0,0,0,0,0
100423875,0.0,0.0,0.7405479,0.0,0.93222827,0.0,0.0,0.36187083,0.0,0.0,-0.0,1,0,0,0,0,0
100523952,0.0,0.0,0.7403042,0.0,0.9322723,0.0,0.0,0.36175722,0.0,0.0,-0.0,1,0,0,0,0,0
100624245,0.0,0.0,0.7400198,0.0,0.9323238,0.0,0.0,0.36162463,0.0,0.0,-0.0,1,0,0,0,0,0
100724331,0.0,0.0,0.73973596,0.0,0.9323751,0.0,0.0,0.36149237,0.0,0.0,-0.0,1,0,0,0,0,0
100824327,0.0,0.0,0.73945445,0.0,0.9324259,0.0,0.0,0.36136115,0.0,0.0,-0.0,1,0,0,0,0,0
100924361,0.0,0.0,0.7392084,0.0,0.9324704,0.0,0.0,0.3612464,0.0,0.0,-0.0,1,0,0,0,0,0
101044394,0.0,0.0,0.7389977,0.0,0.93250847,0.0,0.0,0.36114815,0.0,0.0,-0.0,1,0,0,0,0,0
101144439,0.0,0.0,0.73890823,0.0,0.9325246,0.0,0.0,0.36110646,0.0,0.0,-0.0,1,0,0,0,0,0
101244864,0.0,0.0,0.7388906,0.0,0.9325278,0.0,0.0,0.3610982,0.0,0.0,-0.0,1,0,0,0,0,0
101344790,0.0,0.0,0.7389029,0.0,0.9325256,0.0,0.0,0.361104,0.0,0.0,-0.0,1,0,0,0,0,0
101444899,0.0,0.0,0.7389346,0.0,0.93251985,0.0,0.0,0.36111873,0.0,0.0,-0.0,1,0,0,0,0,0
101545063,0.0,0.0,0.7389109,0.0,0.93252414,0.0,0.0,0.36110765,0.0,0.0,-0.0,1,0,0,0,0,0
101644996,0.0,0.0,0.73870635,0.0,0.9325611,0.0,0.0,0.36101228,0.0,0.0,-0.0,1,0,0,0,0,0
