timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
50798118,0.0025831368,-0.0011828709,-0.022984544,0.03604866,-0.035487995,-0.08463287,0.0,0.0,0.0,-0.015549928,0.0,0.0,0.0,0.0,0.0,0.26347464,0.2634797,0.5728018,0.5358738,0.5358787,4.055108,0.0,0.0,0.0,0.09027007,0.0,0.0,0.0,0.0,0.0,0.0013194979,0.0014600421,0.0065016486,0.0,0.0,0.0,0.0,0.0,0.0
51006915,-0.0001383964,-0.03108308,0.052224655,0.033690415,-0.02736023,0.006576538,0.0,0.0,0.0,-0.006482333,0.0,0.0,0.0,0.0,0.0,0.26343182,0.2634368,0.5727643,0.5342052,0.5342101,4.054932,0.0,0.0,0.0,0.09026877,0.0,0.0,0.0,0.0,0.0,0.0012694682,0.001435062,0.0035776333,0.0,0.0,0.0,0.0,0.0,0.0
51207670,0.009251852,-0.006281269,0.011282195,0.02043257,-0.024654478,0.0048828125,0.0,0.0,0.0,0.014605939,0.0,0.0,0.0,0.0,0.0,0.26342613,0.26343107,0.5727623,0.5313861,0.5313909,4.055101,0.0,0.0,0.0,0.09026748,0.0,0.0,0.0,0.0,0.0,0.0011745528,0.0016451665,0.003034617,0.0,0.0,0.0,0.0,0.0,0.0
51407670,-0.0071817273,-0.0011573117,0.2165721,0.01863788,-0.024074093,0.16228485,0.0,0.0,0.0,0.028291106,0.0,0.0,0.0,0.0,0.0,0.26341853,0.2634234,0.5728366,0.5299208,0.52992564,4.055128,0.0,0.0,0.0,0.090266,0.0,0.0,0.0,0.0,0.0,0.0008262187,0.0062373127,0.013095756,0.0,0.0,0.0,0.0,0.0,0.0
51610876,-0.0015246542,-0.012432827,0.105782054,0.007083215,-0.016628206,0.07546997,0.0,0.0,0.0,0.039077103,0.0,0.0,0.0,0.0,0.0,0.26341128,0.26341614,0.5727491,0.52982384,0.52982867,4.054819,0.0,0.0,0.0,0.09026456,0.0,0.0,0.0,0.0,0.0,0.0006652575,0.0048706974,0.010088298,0.0,0.0,0.0,0.0,0.0,0.0
51818105,0.032166995,-0.021006983,0.013606147,-0.0039572567,-0.016099334,-0.3464508,0.0,0.0,0.0,0.03641361,0.0,0.0,0.0,0.0,0.0,0.26335672,0.26336157,0.57273847,0.52813315,0.5281379,4.054465,0.0,0.0,0.0,0.090263106,0.0,0.0,0.0,0.0,0.0,0.0014305657,0.0022363795,0.004772786,0.0,0.0,0.0,0.0,0.0,0.0
52018870,-0.03435336,-0.032697074,0.16187724,-0.0058554187,-0.0074713677,-0.052619934,0.0,0.0,0.0,0.038616717,0.0,0.0,0.0,0.0,0.0,0.26333913,0.263344,0.5728164,0.5266065,0.52661115,4.0551267,0.0,0.0,0.0,0.09026188,0.0,0.0,0.0,0.0,0.0,0.0014976981,0.0046804044,0.009881037,0.0,0.0,0.0,0.0,0.0,0.0
52224487,0.0017058513,0.014146619,0.07926806,-0.0130938515,-0.013332069,0.16226196,0.0,0.0,0.0,0.03174469,0.0,0.0,0.0,0.0,0.0,0.26352614,0.2635311,0.5728385,0.52757895,0.5275838,4.054744,0.0,0.0,0.0,0.09026049,0.0,0.0,0.0,0.0,0.0,0.0012883192,0.0038067147,0.008895419,0.0,0.0,0.0,0.0,0.0,0.0
52423670,-0.015600665,-0.027962957,0.014879586,-0.02263596,-0.0146038085,0.04096222,0.0,0.0,0.0,0.04835385,0.0,0.0,0.0,0.0,0.0,0.26328906,0.26329386,0.5728014,0.5248822,0.5248868,4.054601,0.0,0.0,0.0,0.090259284,0.0,0.0,0.0,0.0,0.0,0.0013132478,0.0038653086,0.009730758,0.0,0.0,0.0,0.0,0.0,0.0
52630876,0.021706682,-0.0058170324,-0.0030487245,-0.018357381,-0.019527823,0.16423035,0.0,0.0,0.0,-0.009699225,0.0,0.0,0.0,0.0,0.0,0.2632879,0.26329273,0.5728001,0.52479434,0.5247989,4.054851,0.0,0.0,0.0,0.09025791,0.0,0.0,0.0,0.0,0.0,0.0015565902,0.0026888778,0.008041376,0.0,0.0,0.0,0.0,0.0,0.0
52831670,-0.037648767,-0.018700343,-0.09105586,-0.028839827,-0.018516868,-0.1051178,0.0,0.0,0.0,0.026477277,0.0,0.0,0.0,0.0,0.0,0.2633549,0.26335976,0.57282937,0.5250935,0.5250981,4.055001,0.0,0.0,0.0,0.09025674,0.0,0.0,0.0,0.0,0.0,0.0019444549,0.0046667876,0.013380404,0.0,0.0,0.0,0.0,0.0,0.0
53031680,-0.028381184,0.04346962,-0.07089458,-0.03303261,-0.016336903,-0.19493103,0.0,0.0,0.0,0.052424878,0.0,0.0,0.0,0.0,0.0,0.26333782,0.26334268,0.5728202,0.5235904,0.5235949,4.054675,0.0,0.0,0.0,0.09025559,0.0,0.0,0.0,0.0,0.0,0.0016613601,0.005266606,0.012808241,0.0,0.0,0.0,0.0,0.0,0.0
53238070,0.001811205,0.00094539486,0.072122484,-0.037168488,-0.012711912,-0.28266144,0.0,0.0,0.0,0.016894758,0.0,0.0,0.0,0.0,0.0,0.26333526,0.26334018,0.57281697,0.52215946,0.522164,4.0547614,0.0,0.0,0.0,0.090254284,0.0,0.0,0.0,0.0,0.0,0.0012060048,0.004044531,0.01021466,0.0,0.0,0.0,0.0,0.0,0.0
53439714,-0.051756587,0.019055266,-0.09846072,-0.04323238,-0.013378605,0.060142517,0.0,0.0,0.0,0.05059865,0.0,0.0,0.0,0.0,0.0,0.26333758,0.26334256,0.5728192,0.52211577,0.5221203,4.054374,0.0,0.0,0.0,0.09025315,0.0,0.0,0.0,0.0,0.0,0.0012811682,0.0060222475,0.013880276,0.0,0.0,0.0,0.0,0.0,0.0
53646106,0.014748273,-0.04150136,-0.009220563,-0.032447875,-0.015519038,0.05583191,0.0,0.0,0.0,0.02021113,0.0,0.0,0.0,0.0,0.0,0.263342,0.26334697,0.5727434,0.5207221,0.5207266,4.0542517,0.0,0.0,0.0,0.09025187,0.0,0.0,0.0,0.0,0.0,0.0013527033,0.0031754836,0.008366641,0.0,0.0,0.0,0.0,0.0,0.0
53847678,0.01860213,0.012411493,-0.113195024,-0.03919618,-0.012131795,0.36048126,0.0,0.0,0.0,0.038902074,0.0,0.0,0.0,0.0,0.0,0.26332897,0.26333398,0.57274806,0.519252,0.51925653,4.054333,0.0,0.0,0.0,0.09025077,0.0,0.0,0.0,0.0,0.0,0.0011708011,0.0033981712,0.008678895,0.0,0.0,0.0,0.0,0.0,0.0
54047695,0.0029698238,0.022996604,-0.028353896,-0.034622133,0.0010931492,-0.26824188,0.0,0.0,0.0,0.018765718,0.0,0.0,0.0,0.0,0.0,0.26326886,0.26327386,0.5728013,0.51887107,0.51887554,4.05437,0.0,0.0,0.0,0.09024969,0.0,0.0,0.0,0.0,0.0,0.0012813159,0.0046923095,0.012862668,0.0,0.0,0.0,0.0,0.0,0.0
