timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
349498447,0.0022200493,9.091757e-05,-0.0045156395,0.0,0.0,0.0,0.0
349564050,-0.00045063056,0.00095685804,-0.004599518,0.0,0.0,0.0,0.0
349595206,-0.0013647499,0.00038539545,-0.00464876,0.0,0.0,0.0,0.0
349625622,-4.0806364e-05,-0.00051178253,-0.0029737477,0.0,0.0,0.0,0.0
349658430,-1.4135963e-05,-0.00041976763,-0.0037995507,0.0,0.0,0.0,0.0
349689638,-0.00037182355,-0.00039988814,-0.004814261,0.0,0.0,0.0,0.0
349721653,-0.00085688697,7.778476e-05,-0.00428604,0.0,0.0,0.0,0.0
349753608,0.0010493873,-0.0009830974,-0.0045880307,0.0,0.0,0.0,0.0
349785641,-0.00043771102,0.0012231467,-0.004202589,0.0,0.0,0.0,0.0
349813633,0.0002141617,-0.0005752865,-0.002855495,0.0,0.0,0.0,0.0
349845651,0.00017602381,-0.0010854222,-0.004032394,0.0,0.0,0.0,0.0
349877603,0.00076808664,0.0007558294,-0.0033929774,0.0,0.0,0.0,0.0
349909617,0.0007355157,0.0008303205,-0.003963351,0.0,0.0,0.0,0.0
349941626,0.00042593572,-0.00053377677,-0.0044504614,0.0,0.0,0.0,0.0
349973647,-0.0003215751,-0.00055847573,-0.0033216765,0.0,0.0,0.0,0.0
350005603,-0.00040112354,0.0004945204,-0.0038739312,0.0,0.0,0.0,0.0
350037609,7.470546e-05,0.0014526588,-0.0036392997,0.0,0.0,0.0,0.0
350069642,-0.0002070925,0.00018216216,-0.0042599733,0.0,0.0,0.0,0.0
350097626,-0.0016007987,0.00056397624,-0.0047081304,0.0,0.0,0.0,0.0
350129636,-0.0006854704,-0.0008539272,-0.00340263,0.0,0.0,0.0,0.0
350161633,-0.00055721006,0.0005893465,-0.0029299334,0.0,0.0,0.0,0.0
350193603,-0.0001102488,-0.0012616068,-0.0041994867,0.0,0.0,0.0,0.0
350225660,-0.00097068213,-0.00026464043,-0.0027366753,0.0,0.0,0.0,0.0
350257637,0.00012499176,0.000105943356,-0.0040430655,0.0,0.0,0.0,0.0
350288056,-0.00048233045,-7.316633e-05,-0.0030811485,0.0,0.0,0.0,0.0
350320803,-0.00015723053,0.0004420287,-0.0036178017,0.0,0.0,0.0,0.0
350352067,-4.738453e-05,-0.0008607713,-0.0042774626,0.0,0.0,0.0,0.0
350380814,9.655615e-05,0.00028270594,-0.0044048913,0.0,0.0,0.0,0.0
350412044,0.00051139644,0.00033939758,-0.0031241851,0.0,0.0,0.0,0.0
350444847,0.0006145291,0.0017472059,-0.0044432245,0.0,0.0,0.0,0.0
350476843,-0.0004724285,-0.0005972883,-0.0040986817,0.0,0.0,0.0,0.0
350508804,-0.0013444979,0.0010349258,-0.003852421,0.0,0.0,0.0,0.0
350540856,-0.000309926,-0.0010964202,-0.0030343824,0.0,0.0,0.0,0.0
350572876,-0.0012911577,-0.00033778435,-0.0038403308,0.0,0.0,0.0,0.0
350604813,-0.0011738962,0.00084893394,-0.0050638663,0.0,0.0,0.0,0.0
350636809,-0.00092944014,0.0010045647,-0.0027730975,0.0,0.0,0.0,0.0
350668803,-0.0018398928,-0.00021195528,-0.0042343168,0.0,0.0,0.0,0.0
350700846,-0.00026997633,0.0007604455,-0.0045541576,0.0,0.0,0.0,0.0
