timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
350165054,inf,1,0,0,0,0
351176615,inf,1,0,0,0,0
352186133,inf,1,0,0,0,0
353198111,inf,1,0,0,0,0
354209020,inf,1,0,0,0,0
355223146,inf,1,0,0,0,0
356233575,inf,1,0,0,0,0
356377057,inf,1,0,0,0,1
356831516,inf,0,0,1,0,1
357369063,inf,0,0,0,0,0
358380062,inf,0,0,0,0,0
359398190,inf,0,0,0,0,0
360411368,inf,0,0,0,0,0
361423902,inf,0,0,0,0,0
362430168,inf,0,0,0,0,0
363442307,inf,0,0,0,0,0
364452056,inf,0,0,0,0,0
365458628,inf,0,0,0,0,0
366462147,inf,0,0,0,0,0
367479113,inf,0,0,0,0,0
368485068,inf,0,0,0,0,0
369498306,inf,0,0,0,0,0
370505615,inf,0,0,0,0,0
371515172,inf,0,0,0,0,0
372518120,inf,0,0,0,0,0
373525062,inf,0,0,0,0,0
374537344,inf,0,0,0,0,0
375555796,inf,0,0,0,0,0
376561064,inf,0,0,0,0,0
377575148,inf,0,0,0,0,0
378580103,inf,0,0,0,0,0
379595403,inf,0,0,0,0,0
380605056,inf,0,0,0,0,0
381608064,inf,0,0,0,0,0
382620607,inf,0,0,0,0,0
383633534,inf,0,0,0,0,0
384639538,inf,0,0,0,0,0
385655150,inf,0,0,0,0,0
386659117,inf,0,0,0,0,0
387670132,inf,0,0,0,0,0
387938133,inf,0,0,0,0,1
388946189,inf,0,0,0,0,1
389958113,inf,0,0,0,0,1
390971148,inf,0,0,0,0,1
391506213,inf,0,0,0,0,0
392513056,inf,0,0,0,0,0
393528056,inf,0,0,0,0,0
394541177,inf,0,0,0,0,0
395558138,inf,0,0,0,0,0
396569056,inf,0,0,0,0,0
397580056,inf,0,0,0,0,0
398595146,inf,0,0,0,0,0
399607360,inf,0,0,0,0,0
400622136,inf,0,0,0,0,0
401629069,inf,0,0,0,0,0
402331179,inf,0,0,0,0,1
403346170,inf,0,0,0,0,1
404354132,inf,0,0,0,0,1
405363251,inf,0,0,0,0,1
406374201,inf,0,0,0,0,1
406977069,inf,0,0,0,0,0
407987465,inf,0,0,0,0,0
408991160,inf,0,0,0,0,0
410003133,inf,0,0,0,0,0
411021061,inf,0,0,0,0,0
412026114,inf,0,0,0,0,0
413032056,inf,0,0,0,0,0
414042612,inf,0,0,0,0,0
414722146,inf,0,0,0,0,1
415728844,inf,0,0,0,0,1
416746309,inf,0,0,0,0,1
417764056,inf,0,0,0,0,1
418777056,inf,0,0,0,0,1
419794152,inf,0,0,0,0,1
420390141,inf,0,0,0,0,0
421398391,inf,0,0,0,0,0
422412598,inf,0,0,0,0,0
424440103,inf,0,0,0,0,0
425448065,inf,0,0,0,0,0
426466132,inf,0,0,0,0,0
427478151,inf,0,0,0,0,0
427828069,inf,0,0,0,0,1
428487785,inf,0,0,0,0,0
429496061,inf,0,0,0,0,0
429782138,inf,0,0,0,0,1
430798186,inf,0,0,0,0,1
431810144,inf,0,0,0,0,1
432813056,inf,0,0,0,0,1
433826696,inf,0,0,0,0,1
434836797,inf,0,0,0,0,1
435251148,inf,0,0,0,0,0
436257056,inf,0,0,0,0,0
437263144,inf,0,0,0,0,0
438271180,inf,0,0,0,0,0
439289061,inf,0,0,0,0,0
440295385,inf,0,0,0,0,0
441310810,inf,0,0,0,0,0
442318133,inf,0,0,0,0,0
443331364,inf,0,0,0,0,0
444341056,inf,0,0,0,0,0
445353061,inf,0,0,0,0,0
446369974,inf,0,0,0,0,0
447390163,inf,0,0,0,0,0
448401056,inf,0,0,0,0,0
448546111,inf,0,0,0,0,1
449559141,inf,0,0,0,0,1
450577026,inf,0,0,0,0,1
451593140,inf,0,0,0,0,1
452602143,inf,0,0,0,0,1
453608068,inf,0,0,0,0,1
453734432,inf,0,0,0,0,0
454745056,inf,0,0,0,0,0
455754132,inf,0,0,0,0,0
456758169,inf,0,0,0,0,0
457109057,inf,0,0,0,0,1
458122643,inf,0,0,0,0,1
458266202,inf,0,0,1,0,1
458574133,inf,0,0,0,1,1
458905818,inf,1,0,0,0,1
458926207,inf,1,0,0,0,0
459932076,inf,1,0,0,0,0
460940056,inf,1,0,0,0,0
461949582,inf,1,0,0,0,0
462961965,inf,1,0,0,0,0
463971433,inf,1,0,0,0,0
464982161,inf,1,0,0,0,0
465986952,inf,1,0,0,0,0
466992639,inf,1,0,0,0,0
467999469,inf,1,0,0,0,0
469006197,inf,1,0,0,0,0
470015187,inf,1,0,0,0,0
471024718,inf,1,0,0,0,0
