timestamp,load,ram_usage
348951626,0.38845587,0.7801115
349952558,0.49600488,0.7803154
350953646,0.45668066,0.7803154
351954318,0.45620072,0.7803154
352955398,0.45856363,0.7803154
353956195,0.44927025,0.7803154
354957594,0.45369792,0.7803154
355958283,0.4511916,0.7803154
356960181,0.45434868,0.7803154
357961319,0.44797397,0.7803154
358962308,0.45435458,0.7803154
359964541,0.4565748,0.7803154
360965114,0.45508987,0.7803154
361968112,0.4486783,0.7803154
362969118,0.45871037,0.7803154
363970183,0.45188457,0.7803154
364971204,0.45810795,0.7803154
365972191,0.45108765,0.7803154
366973115,0.4556858,0.7803154
367974210,0.4577436,0.7803154
368977077,0.45296717,0.7803154
369978632,0.44998473,0.7803154
370979264,0.45390213,0.7803154
371980609,0.45595336,0.7803154
372981118,0.45601714,0.7803154
373982215,0.45115584,0.7803154
374983430,0.45477617,0.7803154
375984759,0.45847505,0.7803154
376985193,0.45339465,0.7803154
377986347,0.44716287,0.7803154
378987215,0.45244962,0.7803154
379988821,0.4576158,0.7803154
380989115,0.45166254,0.7803154
381990469,0.45079863,0.7803154
382991359,0.45207423,0.7803154
383993106,0.46378303,0.7803154
384994754,0.44993138,0.7803154
385995230,0.44671744,0.7803154
386997353,0.45350844,0.7803154
387998162,0.45803177,0.7803154
389001643,0.45167434,0.7803154
390002417,0.45519876,0.7803154
391003194,0.45586997,0.7803154
392004248,0.4603392,0.7803154
393005152,0.451711,0.7803154
394007229,0.4444325,0.7803154
395008916,0.4564435,0.7803154
396009346,0.4610424,0.7803154
397009270,0.45096773,0.7803154
399011330,0.44584662,0.7803154
400013076,0.46353716,0.7803154
401014672,0.44687122,0.7803154
402015184,0.44764328,0.7803154
403016967,0.45586336,0.7803154
404018561,0.46392828,0.7803154
405019610,0.44955564,0.7803154
406020115,0.44064277,0.7803154
407021933,0.45607167,0.7803154
408023651,0.4573416,0.7803154
409024139,0.44425923,0.7803154
410026524,0.45259666,0.7803154
411027192,0.45621747,0.7803154
412028115,0.46127373,0.7803154
413029115,0.44721776,0.7803154
414030487,0.45356458,0.7803154
415031317,0.45662183,0.7803154
416032918,0.45801002,0.7803154
417034436,0.4484629,0.7803154
418035211,0.45560473,0.7803154
419037633,0.4529392,0.7803154
420037225,0.46316934,0.7803154
421038498,0.44806802,0.7803154
422039438,0.45352966,0.7803154
423041513,0.45274508,0.7803154
424042190,0.43377757,0.7803154
425044115,0.4471287,0.7803154
426045879,0.4526983,0.7803154
427046183,0.45503527,0.7803154
428046183,0.45885146,0.7803154
429048163,0.45077038,0.7803154
430050917,0.453301,0.7803154
431051167,0.45395213,0.7803154
432052279,0.45589042,0.7803154
433053404,0.45288903,0.7803154
434056198,0.4585758,0.7803154
435057571,0.45387614,0.7803154
436058577,0.46055102,0.7803154
437059502,0.45297343,0.7803154
438060188,0.45303524,0.7803154
439061655,0.45120645,0.7803154
440063496,0.4594177,0.7803154
441064286,0.4463598,0.7803154
442066560,0.4559809,0.7803154
443067167,0.45253837,0.7803154
444068213,0.46077484,0.7803154
445069114,0.44695187,0.7803154
446070358,0.4494835,0.7803154
447071309,0.45354438,0.7803154
448072115,0.4622832,0.7803154
449073194,0.45223224,0.7803154
450075731,0.45394742,0.7803154
451077178,0.45419395,0.7803154
452078574,0.46211666,0.7803154
453079612,0.45117158,0.7803154
454080208,0.44709498,0.7803154
455081571,0.4564991,0.7803154
456082184,0.45214617,0.7803154
457083492,0.44164997,0.7803154
458084252,0.4523068,0.7803154
459085114,0.45899457,0.7803154
460086215,0.46006107,0.7803154
461087185,0.44481862,0.7803154
462088115,0.44816983,0.7803154
463089626,0.4563079,0.7803154
464090184,0.46038336,0.7803154
465091342,0.45155776,0.7803154
466093952,0.45064706,0.7803154
467095457,0.45479196,0.7803154
468096908,0.45519638,0.7803154
469097163,0.43859154,0.7803154
470098776,0.44969565,0.7803154
471099258,0.4570604,0.7803154
