timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
14371060,0.0,-0.0,-0.022420041,0.0,0.9999372,0.0,-0.0,-0.011209786,0.0,0.0,-0.4946836,1,0,0,0,0,0
133937200,-0.0,-0.0,-1.1930087,0.0,0.82730436,-0.0,0.0,-0.561754,0.0,0.0,-0.0,1,0,0,0,0,0
133955951,-0.0,-0.0,-1.1930054,0.0,0.8273053,-0.0,0.0,-0.5617526,0.0,0.0,-0.0,1,0,0,0,0,0
133975994,-0.0,-0.0,-1.1929955,0.0,0.82730806,-0.0,0.0,-0.56174856,0.0,0.0,-0.0,1,0,0,0,0,0
133996001,-0.0,-0.0,-1.1929767,0.0,0.82731336,-0.0,0.0,-0.56174076,0.0,0.0,-0.0,1,0,0,0,0,0
134016098,-0.0,-0.0,-1.1929561,0.0,0.82731915,-0.0,0.0,-0.5617322,0.0,0.0,-0.0,1,0,0,0,0,0
134036111,-0.0,-0.0,-1.1929531,0.0,0.82732,-0.0,0.0,-0.5617309,0.0,0.0,-0.0,1,0,0,0,0,0
134056102,-0.0,-0.0,-1.1929694,0.0,0.8273154,-0.0,0.0,-0.5617377,0.0,0.0,-0.0,1,0,0,0,0,0
134076106,-0.0,-0.0,-1.1929582,0.0,0.82731855,-0.0,0.0,-0.5617331,0.0,0.0,-0.0,1,0,0,0,0,0
134096135,-0.0,-0.0,-1.19295,0.0,0.8273209,-0.0,0.0,-0.56172967,0.0,0.0,-0.0,1,0,0,0,0,0
134116123,-0.0,-0.0,-1.1929736,0.0,0.82731426,-0.0,0.0,-0.56173944,0.0,0.0,-0.0,1,0,0,0,0,0
134136126,-0.0,-0.0,-1.1929679,0.0,0.8273158,-0.0,0.0,-0.5617371,0.0,0.0,-0.0,1,0,0,0,0,0
134156153,-0.0,-0.0,-1.1929756,0.0,0.82731366,-0.0,0.0,-0.5617403,0.0,0.0,-0.0,1,0,0,0,0,0
134176161,-0.0,-0.0,-1.192985,0.0,0.827311,-0.0,0.0,-0.5617442,0.0,0.0,-0.0,1,0,0,0,0,0
134196184,-0.0,-0.0,-1.1929944,0.0,0.8273084,-0.0,0.0,-0.56174797,0.0,0.0,-0.0,1,0,0,0,0,0
134216196,-0.0,-0.0,-1.1929892,0.0,0.82730985,-0.0,0.0,-0.56174594,0.0,0.0,-0.0,1,0,0,0,0,0
134236233,-0.0,-0.0,-1.1929648,0.0,0.8273167,-0.0,0.0,-0.5617358,0.0,0.0,-0.0,1,0,0,0,0,0
134256234,-0.0,-0.0,-1.192961,0.0,0.8273178,-0.0,0.0,-0.5617342,0.0,0.0,-0.0,1,0,0,0,0,0
134276262,-0.0,-0.0,-1.192948,0.0,0.8273214,-0.0,0.0,-0.56172884,0.0,0.0,-0.0,1,0,0,0,0,0
134296357,-0.0,-0.0,-1.1929506,0.0,0.8273207,-0.0,0.0,-0.5617299,0.0,0.0,-0.0,1,0,0,0,0,0
134316407,-0.0,-0.0,-1.192947,0.0,0.8273217,-0.0,0.0,-0.5617284,0.0,0.0,-0.0,1,0,0,0,0,0
134336418,-0.0,-0.0,-1.1929193,0.0,0.8273295,-0.0,0.0,-0.5617169,0.0,0.0,-0.0,1,0,0,0,0,0
134356537,-0.0,-0.0,-1.1929328,0.0,0.8273257,-0.0,0.0,-0.5617226,0.0,0.0,-0.0,1,0,0,0,0,0
134376536,-0.0,-0.0,-1.1929317,0.0,0.827326,-0.0,0.0,-0.5617221,0.0,0.0,-0.0,1,0,0,0,0,0
134396551,-0.0,-0.0,-1.1929379,0.0,0.8273243,-0.0,0.0,-0.56172466,0.0,0.0,-0.0,1,0,0,0,0,0
134416534,-0.0,-0.0,-1.1929638,0.0,0.82731694,-0.0,0.0,-0.5617354,0.0,0.0,-0.0,1,0,0,0,0,0
134436531,-0.0,-0.0,-1.1929567,0.0,0.82731897,-0.0,0.0,-0.5617325,0.0,0.0,-0.0,1,0,0,0,0,0
134456568,-0.0,-0.0,-1.1929452,0.0,0.8273222,-0.0,0.0,-0.5617277,0.0,0.0,-0.0,1,0,0,0,0,0
134476595,-0.0,-0.0,-1.1929402,0.0,0.8273236,-0.0,0.0,-0.5617256,0.0,0.0,-0.0,1,0,0,0,0,0
134496604,-0.0,-0.0,-1.1929431,0.0,0.8273228,-0.0,0.0,-0.5617268,0.0,0.0,-0.0,1,0,0,0,0,0
134516634,-0.0,-0.0,-1.1929401,0.0,0.8273236,-0.0,0.0,-0.56172556,0.0,0.0,-0.0,1,0,0,0,0,0
134536621,-0.0,-0.0,-1.1929306,0.0,0.8273263,-0.0,0.0,-0.5617217,0.0,0.0,-0.0,1,0,0,0,0,0
134556624,-0.0,-0.0,-1.1929388,0.0,0.827324,-0.0,0.0,-0.5617251,0.0,0.0,-0.0,1,0,0,0,0,0
134576627,-0.0,-0.0,-1.192948,0.0,0.8273214,-0.0,0.0,-0.56172884,0.0,0.0,-0.0,1,0,0,0,0,0
134596728,-0.0,-0.0,-1.192958,0.0,0.8273186,-0.0,0.0,-0.56173295,0.0,0.0,-0.0,1,0,0,0,0,0
134616747,-0.0,-0.0,-1.1929545,0.0,0.82731956,-0.0,0.0,-0.5617316,0.0,0.0,-0.0,1,0,0,0,0,0
134636760,-0.0,-0.0,-1.1929502,0.0,0.8273208,-0.0,0.0,-0.5617297,0.0,0.0,-0.0,1,0,0,0,0,0
134656776,-0.0,-0.0,-1.1929433,0.0,0.8273227,-0.0,0.0,-0.561727,0.0,0.0,-0.0,1,0,0,0,0,0
134676781,-0.0,-0.0,-1.1929368,0.0,0.82732457,-0.0,0.0,-0.56172425,0.0,0.0,-0.0,1,0,0,0,0,0
134696779,-0.0,-0.0,-1.192928,0.0,0.8273271,-0.0,0.0,-0.56172055,0.0,0.0,-0.0,1,0,0,0,0,0
134716780,-0.0,-0.0,-1.1929234,0.0,0.8273283,-0.0,0.0,-0.56171864,0.0,0.0,-0.0,1,0,0,0,0,0
134736787,-0.0,-0.0,-1.1929159,0.0,0.82733047,-0.0,0.0,-0.56171554,0.0,0.0,-0.0,1,0,0,0,0,0
134756798,-0.0,-0.0,-1.1929132,0.0,0.8273312,-0.0,0.0,-0.5617145,0.0,0.0,-0.0,1,0,0,0,0,0
134776796,-0.0,-0.0,-1.1928986,0.0,0.8273353,-0.0,0.0,-0.56170845,0.0,0.0,-0.0,1,0,0,0,0,0
