timestamp,error_count,device_id,x,y,z,integral_dt,x_integral,y_integral,z_integral,temperature,scaling,x_raw,y_raw,z_raw
133185271,0,2360354,-0.0014345201,-0.0007568316,-0.00020232948,4000,-1.0359389e-05,-5.928928e-06,7.021348e-06,42.493397,0.0010642195,1,7,5
133289287,0,2360354,0.00055160944,-0.00027161083,-0.0010146826,3996,-1.0043333e-06,3.4972566e-06,-4.0501577e-06,42.52335,0.0010642195,-1,5,3
133389275,0,2360354,-0.0013230505,-0.00015169689,-0.00029930292,3992,-9.969294e-06,5.975152e-06,-2.2924949e-06,42.52934,0.0010642195,1,4,3
133901271,0,2360354,-0.0004393689,-0.0006170479,-0.00061923213,3943,7.874444e-06,-2.8785344e-06,-3.107275e-06,42.511368,0.0010642195,-1,5,4
134005294,0,2360354,-0.0003812023,-0.000171319,0.00040502186,4023,-9.751446e-07,5.1781676e-06,7.917983e-06,42.54731,0.0010642195,-2,3,5
134105278,0,2360354,0.00018311452,0.00016796078,-0.0009795837,4007,5.4076268e-06,-1.2470676e-06,-1.0022196e-05,42.52335,0.0010642195,-2,7,1
134205277,0,2360354,-0.0006649897,-0.00026295043,-0.0002995107,4006,-5.684052e-06,1.7328389e-06,9.58728e-06,42.54132,0.0010642195,1,5,5
134309271,0,2360354,0.000910725,-0.000954148,-0.0004123274,3995,3.275027e-06,-6.7750225e-06,4.464826e-06,42.54731,0.0010642195,-1,7,4
134409271,0,2360354,0.00026187813,-0.00031763213,-0.0010260199,4000,1.9919387e-06,-1.6752466e-06,-1.2545399e-05,42.544315,0.0010642195,-1,6,0
134509287,0,2360354,7.668802e-05,0.000882285,-0.00043772595,4016,2.7843e-07,6.4197407e-06,2.1628786e-07,42.532333,0.0010642195,1,6,4
134613271,0,2360354,0.0002734386,-0.00097240123,0.00023650963,3991,2.40771e-06,-5.9168583e-06,9.123028e-06,42.532333,0.0010642195,-2,4,6
134713284,0,2360354,8.7709166e-05,-0.00034547443,-0.00026121954,4013,1.5793257e-06,-3.3904712e-06,-2.3357586e-06,42.52035,0.0010642195,-3,6,3
134817342,0,2360354,0.0005265499,-0.0005681834,-0.00083631,4071,9.369777e-06,-3.3776148e-06,6.3209933e-07,42.52934,0.0010642195,-2,5,3
134917303,0,2360354,-0.0008403208,0.0012383417,-0.0010611031,4025,-1.0423563e-05,4.761325e-06,2.2335512e-07,42.568275,0.0010642195,3,3,4
135017306,0,2360354,-0.0001518192,-0.00077888946,0.00059480686,4027,-3.9773336e-06,-3.8281914e-06,3.6354586e-06,42.499386,0.0010642195,0,7,3
135121271,0,2360354,0.00082378864,-0.00013406067,0.00026259353,4780,2.3021591e-06,-2.5898955e-06,-8.805689e-06,42.54132,0.0010642195,0,5,1
135221271,0,2360354,-0.00039621198,-0.0008433998,0.00053310464,3896,-1.6703191e-06,-8.45279e-08,3.0256416e-07,42.511368,0.0010642195,-1,5,5
135321275,0,2360354,-0.0011947661,6.979724e-05,-0.0004176254,3978,-9.854517e-06,5.526387e-06,-2.1395415e-07,42.54132,0.0010642195,1,5,2
135424471,0,2360354,-0.00018629168,-0.00032087826,-0.00059859833,4000,-2.2191757e-06,-5.483551e-06,-1.1683916e-05,42.535328,0.0010642195,0,7,0
135527702,0,2360354,0.0003474904,-0.000541011,0.00018653511,3223,8.001387e-07,-3.2456424e-07,2.941664e-06,42.544315,0.0010642195,0,5,4
135628471,0,2360354,-0.0008591331,0.0001430938,-0.0009202379,4001,-1.0577177e-06,9.2454195e-07,6.124518e-07,42.568275,0.0010642195,-2,8,4
135727711,0,2360354,0.0011206913,0.00017120331,-0.00048143842,4009,1.4559047e-06,3.3842574e-07,-1.9626464e-06,42.538322,0.0010642195,1,7,2
135827723,0,2360354,6.709262e-05,-0.0010602815,0.01758449,3253,-3.584104e-07,-1.0041629e-05,6.354151e-05,42.556293,0.0010642195,-4,0,21
135932481,0,2360354,-8.0699356e-05,-0.0017210701,-0.023156565,4011,-3.1146478e-06,-4.3801533e-06,-8.561278e-05,42.544315,0.0010642195,8,-3,-21
136032471,0,2360354,-0.004023657,0.007792986,0.017079482,3993,-0.00016533492,-5.4124845e-05,1.6326729e-05,42.5533,0.0010642195,25,9,11
136136471,0,2360354,-0.01559594,0.026345156,0.009152621,4001,0.00022458997,0.00030587753,7.553689e-05,42.52035,0.0010642195,-67,41,-2
136240471,0,2360354,0.006106823,-0.01950966,0.00067413505,4000,4.3506876e-05,0.0004428474,5.091235e-06,42.532333,0.0010642195,-53,-107,31
136340477,0,2360354,0.033747904,0.037023615,0.0054012393,4006,-0.00040025142,0.0005390039,-0.00027782563,42.544315,0.0010642195,190,88,-51
136444471,0,2360354,0.013906761,-0.04890284,0.0059782956,4000,0.00038273004,0.0012025546,-0.0003512892,42.50238,0.0010642195,-166,-521,-138
136544473,0,2360354,0.041662235,0.14698696,0.00028467074,3977,-0.00013999862,0.00021307533,-0.00012697464,42.562286,0.0010642195,-5,280,-4
