timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
331075643,11.8408,11.710903,5.8403997,6.5441113,0.0,153.51424,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
331579772,11.562,11.761346,7.5516,6.3111086,0.0,154.36578,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
332073287,11.4718,11.628085,9.3124,8.287783,0.0,155.72682,0.97772557,1.0030341,0.0,3,0,0,0,0,0,1,1,0,0,0
332578885,11.4144,11.562763,9.2132,8.843584,0.0,157.02905,0.9444433,1.0076021,0.0,3,0,0,0,0,0,1,1,0,0,0
333082925,11.6604,11.557629,7.8492,8.542935,0.0,158.20996,0.9416767,1.0079837,0.0,3,0,0,0,0,0,1,1,0,0,0
333575693,11.562,11.572044,7.8367996,8.20569,0.0,159.2975,0.948577,1.0070325,0.0,3,0,0,0,0,0,1,1,0,0,0
334079676,11.4554,11.552679,8.6924,8.424843,0.0,160.4933,0.9381066,1.0084765,0.0,3,0,0,0,0,0,1,1,0,0,0
334585297,11.5374,11.535878,8.618,8.529366,0.0,161.70424,0.9291635,1.0097132,0.0,3,0,0,0,0,0,1,1,0,0,0
335079060,11.3652,11.507745,9.548,8.731054,0.0,162.91473,0.9135657,1.0118774,0.0,3,0,0,0,0,0,1,1,0,0,0
335584471,11.2422,11.45645,10.2796,9.204167,0.0,164.24973,0.88606983,1.0157151,0.0,3,0,0,0,0,0,1,1,0,0,0
336088468,11.1684,11.373734,10.5772,9.979305,0.0,165.72395,0.84208876,1.0219147,0.0,3,0,0,0,0,0,1,1,0,0,0
336582056,11.357,11.314926,9.982,10.286271,0.0,167.17043,0.81040674,1.0264277,0.0,3,0,0,0,0,0,1,1,0,0,0
337087740,11.7588005,11.47539,6.1503997,7.8631196,0.0,168.03549,0.89338356,1.0146915,0.0,3,0,0,0,0,0,1,1,0,0,0
337591727,11.8572,11.589007,5.9644,6.7767,0.0,168.87134,0.9511667,1.006676,0.0,3,0,0,0,0,0,1,1,0,0,0
338085205,10.7584,11.571185,12.722401,7.5462627,0.0,169.91199,0.9404059,1.008159,0.0,3,0,0,0,0,0,1,1,0,0,0
338590954,11.0782,11.307969,11.408,10.911893,0.0,171.82861,0.8027869,1.0275191,0.0,3,0,0,0,0,0,1,1,0,0,0
339094853,11.1848,11.255385,10.2548,10.760142,0.0,173.31868,0.77573115,1.031413,0.0,3,0,0,0,0,0,1,1,0,0,0
339600495,11.7424,11.394552,6.1008,8.549098,0.0,174.3401,0.849412,1.0208772,0.0,3,0,0,0,0,0,1,1,0,0,0
340093284,11.7998,11.524968,6.0016,7.12999,0.0,175.1655,0.91637903,1.0114863,0.0,3,0,0,0,0,0,1,1,0,0,0
340597241,11.398,11.573528,9.250401,6.9518723,0.0,176.08234,0.9404641,1.008151,0.0,3,0,0,0,0,0,1,1,0,0,0
341102965,11.0126,11.447735,11.718,8.941793,0.0,177.51031,0.87534815,1.0172195,0.0,3,0,0,0,0,0,1,1,0,0,0
341595631,11.7916,11.446957,5.6296,8.60462,0.0,178.73038,0.87694126,1.0169957,0.0,3,0,0,0,0,0,1,1,0,0,0
342100498,11.7178,11.530884,6.2992,7.429579,0.0,179.64352,0.9183722,1.0112095,0.0,3,0,0,0,0,0,1,1,0,0,0
342606135,11.398,11.577135,7.998,7.1259246,0.0,180.58525,0.93904215,1.0083474,0.0,3,0,0,0,0,0,1,1,0,0,0
343099740,12.0212,11.553692,7.1052003,7.506702,0.0,181.6501,0.9240833,1.0104171,0.0,3,0,0,0,0,0,1,1,0,0,0
343603778,12.2426,11.663985,2.3064,6.009169,0.0,182.387,0.9813877,1.002534,0.0,3,0,0,0,0,0,1,1,0,0,0
344109219,12.6526,11.901997,0.0,3.493927,0.0,182.64719,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
344602209,12.669,12.154569,0.0,1.526101,0.0,182.64719,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
345106182,12.7182,12.193913,0.0,2.2404456,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
345611765,12.6854,12.366719,0.0,0.959025,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
346115684,12.7018,12.484731,0.0,0.41051167,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
346609226,12.7018,12.567268,0.0,0.17930605,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
347114910,12.7346,12.628701,0.0,0.07675215,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
347608494,12.7674,12.672106,0.0,0.03352432,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
348112631,12.7838,12.707387,0.0,0.014350116,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
348617259,12.792,12.73458,0.0,0.0061425823,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
350623877,12.8002,12.798336,0.0,0.0002104297,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
351117227,12.8494005,12.811163,0.0,9.191293e-05,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
351621281,12.8494005,12.8209095,0.0,3.934343e-05,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
352126853,12.8576,12.831046,0.0,1.6840999e-05,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
352620437,12.8576,12.839804,0.0,7.3559254e-06,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
353126046,12.8576,12.847153,0.0,3.148711e-06,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
353630067,12.8658,12.854836,0.0,1.347809e-06,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
354135659,12.8904,12.86398,0.0,5.7693103e-07,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
354628662,12.8904,12.870459,0.0,2.519958e-07,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
355132570,12.8986,12.874466,0.0,1.07867045e-07,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
355638166,12.8494005,12.879564,0.0,4.6172616e-08,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
356130102,12.8904,12.884892,0.0,2.0167585e-08,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
356635646,12.8904,12.889783,0.0,8.632758e-09,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
357141262,12.9068,12.894725,0.0,3.6952614e-09,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
357634938,12.9232,12.898361,0.0,1.6140412e-09,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
358138884,12.8822,12.904983,0.0,6.90892e-10,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
358643591,12.9232,12.907964,0.0,2.9573696e-10,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
359135610,12.9232,12.916753,0.0,1.2917398e-10,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
359641285,12.9478,12.92393,0.0,5.5293062e-11,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
360146858,12.9314,12.928187,0.0,2.3668251e-11,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
360640560,12.9232,12.932234,0.0,1.033798e-11,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
361144509,12.9232,12.93511,0.0,4.425182e-12,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
361650149,12.9232,12.933547,0.0,1.8942031e-12,0.0,182.99666,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
362143646,12.9478,12.911475,0.0,0.1536487,0.0,183.03601,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
362647803,12.792,12.890368,0.5208,0.25177133,0.0,183.08427,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
363153212,12.7838,12.845073,0.9672,0.680836,0.0,183.22386,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
363646935,12.587,12.780682,2.5544,1.3722582,0.0,183.46135,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
364150859,12.382,12.673231,3.534,2.4078841,0.0,183.90411,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
364656711,12.1032,12.479173,6.1875997,4.4129205,0.0,184.7069,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
365150094,12.0376005,12.333509,6.2496,5.453624,0.0,185.56471,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
365655634,12.0868,12.228233,6.3736,5.9902167,0.0,186.45926,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
366159671,12.587,12.203619,1.7235999,5.541836,0.0,187.23036,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
366653793,12.4968,12.309966,2.2816,3.6944637,0.0,187.538,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
367158211,12.341,12.347694,3.3231997,3.3453436,0.0,187.9633,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
367662023,12.2016,12.299439,4.9476,4.1172113,0.0,188.61131,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
368167833,11.89,12.243899,7.4648,4.7458444,0.0,189.32927,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
368661223,12.0458,12.165255,6.4108,5.6032243,0.0,190.1929,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
369165267,12.0212,12.107207,6.262,5.923123,0.0,191.05629,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
369670920,11.972,12.055092,6.6215997,6.130943,0.0,191.93779,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
370164501,11.8654,12.019288,6.448,6.170431,0.0,192.78651,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
370668449,11.9392,11.995593,6.2372003,6.1718326,0.0,193.65025,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
371174004,11.9556,11.983857,6.2992,6.1671257,0.0,194.51718,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
371667735,11.9638,11.970615,6.2992,6.2267275,0.0,195.37486,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
372173334,12.0376005,11.958364,6.1875997,6.255679,0.0,196.25647,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
372677274,11.9064,11.947382,6.6092,6.2542763,0.0,197.13025,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
373170885,11.8818,11.934212,6.0884,6.266367,0.0,197.9935,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
373676419,11.9228,11.915243,6.014,6.3499064,0.0,198.89658,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
374180482,11.8654,11.905603,6.1008,6.332237,0.0,199.77951,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
374673292,11.9638,11.903767,6.138,6.2822466,0.0,200.63419,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
375178948,11.9638,11.904829,5.9396,6.2099996,0.0,201.5001,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
375682832,12.628,12.131755,0.124,3.1270318,0.0,201.66255,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
376188529,12.7592,12.340825,0.0,1.3417554,0.0,201.66374,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
376682079,12.7674,12.48606,0.0,0.586061,0.0,201.66374,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
377186100,12.8002,12.58777,0.0,0.250864,0.0,201.66374,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
377691646,12.8166,12.657603,0.0,0.10738259,0.0,201.66374,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
378185264,12.751,12.679817,0.1736,0.19661611,0.0,201.69495,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
378690886,12.628,12.656365,0.9672,0.7695663,0.0,201.8386,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
379194822,12.5214,12.63806,2.0336,1.0362138,0.0,202.00731,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
379688483,12.218,12.472967,4.1415997,3.1293385,0.0,202.65862,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
380193343,11.9474,12.300712,6.3612003,4.8537526,0.0,203.5056,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
380685288,11.9392,12.186786,6.1875997,5.6377854,0.0,204.3581,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
381190952,11.9474,12.109628,6.2372003,5.9568243,0.0,205.22502,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
381696515,11.8654,12.051717,6.2743998,6.0579295,0.0,206.08517,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
382200691,12.0376005,12.0077305,5.9396,6.0906286,0.0,206.94315,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
382694198,11.5292,11.909924,9.92,7.043183,0.0,207.95508,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
383199923,11.9228,11.833288,6.2868,7.354248,0.0,209.09047,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
383705343,11.8244,11.850006,6.5472,6.6992555,0.0,209.96056,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
384197299,11.7424,11.865223,7.0432,6.432828,0.0,210.8046,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
384702879,11.8326,11.781868,5.9892,7.3595414,0.0,211.98924,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
385208459,11.8736,11.814614,6.0512,6.592916,0.0,212.834,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
386205324,11.8326,11.767818,6.2248,6.896986,0.0,214.82986,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
386710835,11.7834,11.722617,7.192,7.556606,0.0,215.93063,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
387202897,11.8408,11.761881,6.3984,6.827525,0.0,216.77736,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
387708443,11.4636,11.692574,9.3,7.756095,0.0,217.92253,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
388214137,11.5702,11.642462,7.8864,8.046526,0.0,219.10323,0.9813486,1.0025393,0.0,3,0,0,0,0,0,1,1,0,0,0
388718049,11.5866,11.624746,7.6756,7.9199896,0.0,220.19978,0.97257334,1.0037385,0.0,3,0,0,0,0,0,1,1,0,0,0
389211736,11.6358,11.613814,7.8987994,7.8296504,0.0,221.26282,0.9671927,1.0044752,0.0,3,0,0,0,0,0,1,1,0,0,0
