timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
310010299,310010299,8,45,0,0,20002,1097,1509,1504,1508,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
310199917,310199917,8,45,0,0,20002,1098,1509,1504,1507,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
310416759,310416759,8,45,0,0,20002,1098,1509,1504,1506,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
310620736,310620736,8,45,0,0,20002,1097,1510,1504,1506,1105,1905,1905,1106,0,0,0,0,0,0,0,0,0,0,0,0,2
310818357,310818357,8,45,0,0,20002,1097,1508,1504,1506,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
311014368,311014368,8,45,0,0,20002,1097,1509,1504,1505,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
311214349,311214349,8,45,0,0,20002,1097,1509,1504,1504,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
311418303,311418303,8,45,0,0,20002,1098,1509,1504,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
311627937,311627937,8,45,0,0,20002,1105,1509,1504,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
311839963,311839963,8,45,0,0,20002,1127,1510,1505,1504,1105,1905,1905,1106,0,0,0,0,0,0,0,0,0,0,0,0,2
312027968,312027968,8,45,0,0,20002,1175,1509,1505,1503,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
312245516,312245516,8,45,0,0,20002,1198,1509,1504,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
312437806,312437806,8,45,0,0,20002,1221,1509,1504,1503,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
312637753,312637753,8,45,0,0,20002,1230,1509,1504,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
312842114,312842114,8,45,0,0,20002,1234,1509,1504,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
313039158,313039158,8,45,0,0,20002,1246,1509,1504,1503,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
313243119,313243119,8,45,0,0,20002,1266,1508,1505,1503,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
313463081,313463081,8,45,0,0,20002,1277,1509,1518,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
313667103,313667103,8,45,0,0,20002,1310,1508,1545,1503,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
313864909,313864909,8,45,0,0,20002,1335,1508,1551,1503,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
314065543,314065543,8,45,0,0,20002,1336,1508,1580,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
314272694,314272694,8,45,0,0,20002,1358,1509,1590,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
314474318,314474318,8,45,0,0,20002,1387,1510,1602,1503,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
314666349,314666349,8,45,0,0,20002,1433,1508,1609,1503,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
314886349,314886349,8,45,0,0,20002,1457,1509,1625,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
315491940,315491940,8,45,0,0,20002,1498,1509,1570,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
315675957,315675957,8,45,0,0,20002,1498,1509,1554,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
315892146,315892146,8,45,0,0,20002,1500,1509,1581,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
316089515,316089515,8,45,0,0,20002,1508,1509,1586,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
316289553,316289553,8,45,0,0,20002,1514,1509,1590,1504,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
316485504,316485504,8,45,0,0,20002,1533,1509,1528,1504,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
316703154,316703154,8,45,0,0,20003,1537,1509,1505,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
316903731,316903731,8,45,0,0,20002,1536,1509,1505,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
317111104,317111104,8,45,0,0,20002,1535,1510,1505,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
317319304,317319304,8,45,0,0,20002,1533,1509,1505,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
317520707,317520707,8,45,0,0,20002,1534,1509,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
317720777,317720777,8,45,0,0,20002,1534,1509,1505,1504,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
317920768,317920768,8,45,0,0,20002,1535,1509,1505,1503,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
318125514,318125514,8,45,0,0,20002,1539,1509,1505,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
318314338,318314338,8,45,0,0,20002,1553,1510,1505,1504,1105,1905,1905,1106,0,0,0,0,0,0,0,0,0,0,0,0,2
319331918,319331918,8,45,0,0,20002,1501,1509,1505,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
319543933,319543933,8,45,0,0,20002,1500,1509,1505,1505,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
319733857,319733857,8,45,0,0,20002,1499,1510,1505,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
319933520,319933520,8,45,0,0,20002,1498,1509,1506,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
320133541,320133541,8,45,0,0,20002,1498,1509,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
320341477,320341477,8,45,0,0,20002,1498,1509,1505,1504,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
320543147,320543147,8,45,0,0,20003,1498,1509,1505,1504,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
320755195,320755195,8,45,0,0,20002,1500,1509,1505,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
320955113,320955113,8,45,0,0,20002,1506,1509,1505,1502,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
321152774,321152774,8,45,0,0,20002,1571,1510,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
321368736,321368736,8,45,0,0,20002,1631,1509,1506,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
321556919,321556919,8,45,0,0,20002,1628,1509,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
321772728,321772728,8,45,0,0,20002,1610,1509,1505,1504,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
321966737,321966737,8,45,0,0,20003,1562,1509,1505,1504,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
322170331,322170331,8,45,0,0,20002,1502,1508,1505,1504,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
322374265,322374265,8,45,0,0,20002,1500,1509,1505,1504,1105,1905,1905,1106,0,0,0,0,0,0,0,0,0,0,0,0,2
322566347,322566347,8,45,0,0,20002,1500,1510,1505,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
322779920,322779920,8,45,0,0,20002,1500,1509,1506,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
322975961,322975961,8,45,0,0,20002,1500,1509,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
323179943,323179943,8,45,0,0,20002,1500,1509,1505,1504,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
323385519,323385519,8,45,0,0,20003,1504,1509,1505,1503,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
323589543,323589543,8,45,0,0,20002,1514,1511,1505,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
323801550,323801550,8,45,0,0,20002,1540,1508,1505,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
323981503,323981503,8,45,0,0,20002,1559,1510,1505,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
324203720,324203720,8,45,0,0,20002,1554,1509,1506,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
324399109,324399109,8,45,0,0,20002,1563,1509,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
324603147,324603147,8,45,0,0,20002,1560,1509,1505,1505,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
324803115,324803115,8,45,0,0,20002,1561,1509,1505,1503,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
325000719,325000719,8,45,0,0,20002,1562,1508,1505,1503,1105,1905,1906,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
325196745,325196745,8,45,0,0,20002,1563,1509,1505,1504,1105,1905,1905,1106,0,0,0,0,0,0,0,0,0,0,0,0,2
325416691,325416691,8,45,0,0,20002,1563,1510,1504,1503,1105,1905,1905,1106,0,0,0,0,0,0,0,0,0,0,0,0,2
325614379,325614379,8,45,0,0,20002,1563,1508,1506,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
325810341,325810341,8,45,0,0,20002,1560,1509,1505,1504,1105,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
326010562,326010562,8,45,0,0,20002,1558,1509,1505,1504,1106,1905,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
326210371,326210371,8,45,0,0,20003,1500,1509,1505,1504,1105,1906,1905,1105,0,0,0,0,0,0,0,0,0,0,0,0,2
