timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,fix_type,vel_ned_valid,satellites_used
309797939,1553071487999988,0,0,-17000,0,36.873,3.1415925,4294967.5,3750000.2,99.99,99.99,71,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
309976522,1553071488199987,0,0,-17000,0,36.927002,3.1415925,4294967.5,3750000.2,99.99,99.99,71,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
310188669,1553071488399988,0,0,-17000,0,36.981003,3.1415925,4294967.5,3750000.2,99.99,99.99,71,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
310386630,1553071488599988,0,0,-17000,0,37.035004,3.1415925,4294967.5,3750000.2,99.99,99.99,71,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
310585492,1553071488799988,0,0,-17000,0,37.089,3.1415925,4294967.5,3750000.2,99.99,99.99,71,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
310787513,1553071488999990,0,0,-17000,0,37.143,3.1415925,4294967.5,3750000.2,99.99,99.99,71,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
310992481,1553071489199989,0,0,-17000,0,37.197002,3.1415925,4294967.5,3750000.2,99.99,99.99,72,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
311188526,1553071489399990,0,0,-17000,0,37.25,3.1415925,4294967.5,3750000.2,99.99,99.99,72,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
311388487,1553071489599990,0,0,-17000,0,37.304,3.1415925,4294967.5,3750000.2,99.99,99.99,72,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
311588482,1553071489799990,0,0,-17000,0,37.358,3.1415925,4294967.5,3750000.2,99.99,99.99,72,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
311789516,1553071489999992,0,0,-17000,0,37.411003,3.1415925,4294967.5,3750000.2,99.99,99.99,72,42,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
311989518,1553071490199991,0,0,-17000,0,37.465,3.1415925,4294967.5,3750000.2,99.99,99.99,72,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
312190553,1553071490399992,0,0,-17000,0,37.518,3.1415925,4294967.5,3750000.2,99.99,99.99,72,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
312386535,1553071490599992,0,0,-17000,0,37.571003,3.1415925,4294967.5,3750000.2,99.99,99.99,72,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
312586669,1553071490799992,0,0,-17000,0,37.624,3.1415925,4294967.5,3750000.2,99.99,99.99,72,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
312786624,1553071490999994,0,0,-17000,0,37.677002,3.1415925,4294967.5,3750000.2,99.99,99.99,72,37,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
312989485,1553071491199993,0,0,-17000,0,37.731003,3.1415925,4294967.5,3750000.2,99.99,99.99,72,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
313185514,1553071491399994,0,0,-17000,0,37.783,3.1415925,4294967.5,3750000.2,99.99,99.99,72,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
313388515,1553071491599994,0,0,-17000,0,37.836002,3.1415925,4294967.5,3750000.2,99.99,99.99,72,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
313588556,1553071491799995,0,0,-17000,0,37.889,3.1415925,4294967.5,3750000.2,99.99,99.99,72,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
313789849,1553071491999996,0,0,-17000,0,37.942,3.1415925,4294967.5,3750000.2,99.99,99.99,72,40,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
313990600,1553071492199995,0,0,-17000,0,37.995003,3.1415925,4294967.5,3750000.2,99.99,99.99,72,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
314188964,1553071492399996,0,0,-17000,0,38.047,3.1415925,4294967.5,3750000.2,99.99,99.99,72,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
314390007,1553071492599996,0,0,-17000,0,38.100002,3.1415925,4294967.5,3750000.2,99.99,99.99,72,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
314588542,1553071492799997,0,0,-17000,0,38.152,3.1415925,4294967.5,3750000.2,99.99,99.99,72,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
314788537,1553071492999998,0,0,-17000,0,38.205,3.1415925,4294967.5,3750000.2,99.99,99.99,72,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
314992470,1553071493199997,0,0,-17000,0,38.257,3.1415925,4294967.5,3750000.2,99.99,99.99,72,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
315388693,1553071493599998,0,0,-17000,0,38.361,3.1415925,4294967.5,3750000.2,99.99,99.99,72,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
315588083,1553071493799999,0,0,-17000,0,38.413002,3.1415925,4294967.5,3750000.2,99.99,99.99,72,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
315785782,1553071494000000,0,0,-17000,0,38.465,3.1415925,4294967.5,3750000.2,99.99,99.99,72,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
315993379,1553071494199999,0,0,-17000,0,38.517002,3.1415925,4294967.5,3750000.2,99.99,99.99,72,41,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
