timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
310018952,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310117005,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310219588,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310325101,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310421044,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310524688,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310628496,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310730573,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310826957,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
310930059,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311033983,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311138694,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311234018,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311338313,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311443635,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311547949,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311651802,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.08,0.0,1,0,0,0,0,0,0
311747754,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.0876683,0.0,1,0,0,0,0,0,0
311851705,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300028,0.099499546,0.0,1,0,0,0,0,0,0
311956742,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.10307902,0.0,1,0,0,0,0,0,0
312051912,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.14199404,0.0,1,0,0,0,0,0,0
312155768,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.15837622,0.0,1,0,0,0,0,0,0
312261851,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.17289451,0.0,1,0,0,0,0,0,0
312357238,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.1823735,0.0,1,0,0,0,0,0,0
312461804,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.1920637,0.0,1,0,0,0,0,0,0
312565248,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.20961471,0.0,1,0,0,0,0,0,0
312661741,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.21160078,0.0,1,0,0,0,0,0,0
312765252,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.20954505,0.0,1,0,0,0,0,0,0
312869229,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.21384062,0.0,1,0,0,0,0,0,0
312966925,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.2156927,0.0,1,0,0,0,0,0,0
313070998,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.22697048,0.0,1,0,0,0,0,0,0
313175403,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.23995814,0.0,1,0,0,0,0,0,0
313278850,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.24893862,0.0,1,0,0,0,0,0,0
313374921,0.0,-0.0,0.49091527,0.0,0.9700262,0.0,-0.0,0.24300027,0.25103414,0.0,1,0,0,0,0,0,0
313479431,3.730131e-11,-0.0009706748,0.49091527,0.0,0.9700261,0.000117937125,-0.00047079,0.24300022,0.25613198,0.0,1,0,0,0,0,0,0
313583120,0.018139794,-0.019048547,0.49091527,0.0,0.96992135,0.011111789,-0.007034419,0.24306306,0.2668167,0.0,1,0,0,0,0,0,0
313684224,0.023487817,-0.023573466,0.49091527,0.0,0.9698583,0.014254761,-0.008578878,0.24310088,0.29025182,0.0,1,0,0,0,0,0,0
313780485,0.024301575,-0.024041444,0.49091527,0.0,0.96984905,0.014706193,-0.008706914,0.24310644,0.2995675,0.0,1,0,0,0,0,0,0
313885120,0.026685113,-0.027272062,0.49091527,0.0,0.96980554,0.016254205,-0.009983873,0.24313255,0.3232856,0.0,1,0,0,0,0,0,0
313989191,0.034471903,-0.037866656,0.49091527,0.0,0.969629,0.021315346,-0.014174616,0.24323711,0.3216665,0.0,1,0,0,0,0,0,0
314092434,0.05014622,-0.05055429,0.49091527,0.0,0.96925753,0.030451028,-0.01841899,0.24346092,0.323257,0.0,1,0,0,0,0,0,0
314188550,0.053188976,-0.053795427,0.49091527,0.0,0.96915865,0.032318033,-0.019619748,0.24352017,0.32324946,0.0,1,0,0,0,0,0,0
314292595,0.05714067,-0.058045704,0.49091527,0.0,0.96902055,0.034747228,-0.021198759,0.24360293,0.34668645,0.0,1,0,0,0,0,0,0
314397030,0.06502754,-0.06548757,0.49091527,0.0,0.9687353,0.039467875,-0.023844643,0.243774,0.35219342,0.0,1,0,0,0,0,0,0
314494182,0.06813471,-0.068317756,0.49091527,0.0,0.9686152,0.041314755,-0.024837397,0.243846,0.37699312,0.0,1,0,0,0,0,0,0
314598322,0.070443965,-0.070593044,0.49091527,0.0,0.9685188,0.042707875,-0.02565836,0.24390373,0.39696017,0.0,1,0,0,0,0,0,0
314694241,0.07358567,-0.073910914,0.49091527,0.0,0.9683776,0.044629663,-0.026882796,0.24398835,0.42674643,0.0,1,0,0,0,0,0,0
314798120,0.07277764,-0.07296494,0.49091527,0.0,0.9684166,0.04412425,-0.026523024,0.24396499,0.4308912,0.0,1,0,0,0,0,0,0
314902335,0.08452014,-0.08558436,0.49091527,0.0,0.96783376,0.051329717,-0.031203065,0.24431421,0.44567224,0.0,1,0,0,0,0,0,0
315006558,0.08913737,-0.089925304,0.49091527,0.0,0.96759695,0.054086212,-0.03274129,0.24445617,0.46120077,0.0,1,0,0,0,0,0,0
315411804,0.07114238,-0.070262,0.49091527,0.0,0.9685109,0.04300611,-0.025412776,0.24390842,0.49413973,0.0,1,0,0,0,0,0,0
