timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
310021353,-8.558063e-05,-0.0019841169,0.0021196315,0.96994454,0.008710953,0.0058538658,0.24310009,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310082933,-9.20195e-05,-6.715767e-05,0.0023349258,0.9699394,0.008708459,0.0058632856,0.24312016,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310115047,0.00097441743,-0.0007065075,0.0023481492,0.9699364,0.008722391,0.005844924,0.24313252,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310146969,-0.0014763635,-0.0006205718,0.0026329728,0.96992934,0.008728203,0.0058398386,0.2431601,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310174952,0.00035434496,-0.0013297042,0.0010696481,0.9699265,0.008722846,0.005843035,0.24317162,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310206897,-0.0022296973,0.0014194624,0.0031573323,0.9699231,0.008711818,0.005847983,0.24318562,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310238900,-0.00069040793,0.0009990648,0.00029002875,0.9699199,0.008707086,0.0058533843,0.24319834,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310270917,0.00014233563,0.00057384244,0.00083988113,0.96991646,0.00870997,0.00586492,0.24321145,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310303662,-0.0005079645,-0.00017297809,0.0017860846,0.96991616,0.00870201,0.0058568716,0.24321349,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310335768,-0.0004170052,0.00067561003,0.0029573957,0.9699094,0.008696449,0.0058556893,0.24324027,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310367911,-0.001273941,0.00046038814,0.0032670167,0.9699032,0.00868821,0.0058573303,0.24326561,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
310395808,0.0013828755,0.0013068181,0.0035060553,0.9698961,0.008698778,0.0058583072,0.2432933,0.44477785,-0.0015886388,-0.005888361,-0.89562017,1
