timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
310018949,0.0,0.0,-1.9911127,0.49091527,0.0,0.0,0.0,-0.022384077,0.0,0.0,0.0,0.0,0.0,-0.08
310123721,0.0,0.0,-1.9988743,0.49091527,0.0,0.0,0.0,-0.024519537,0.0,0.0,0.0,0.0,0.0,-0.08
310228326,0.0,0.0,-2.0067632,0.49091527,0.0,0.0,0.0,-0.027096711,0.0,0.0,0.0,0.0,0.0,-0.08
310325098,0.0,0.0,-2.0121808,0.49091527,0.0,0.0,0.0,-0.028799893,0.0,0.0,0.0,0.0,0.0,-0.08
310428912,0.0,0.0,-2.0149086,0.49091527,0.0,0.0,0.0,-0.029768124,0.0,0.0,0.0,0.0,0.0,-0.08
310533058,0.0,0.0,-2.0164323,0.49091527,0.0,0.0,0.0,-0.030185407,0.0,0.0,0.0,0.0,0.0,-0.08
310637019,0.0,0.0,-2.01764,0.49091527,0.0,0.0,0.0,-0.028707832,0.0,0.0,0.0,0.0,0.0,-0.08
310738155,0.0,0.0,-2.013149,0.49091527,0.0,0.0,0.0,-0.026339563,0.0,0.0,0.0,0.0,0.0,-0.08
310834098,0.0,0.0,-2.0118644,0.49091527,0.0,0.0,0.0,-0.024463102,0.0,0.0,0.0,0.0,0.0,-0.08
310938218,0.0,0.0,-2.0098815,0.49091527,0.0,0.0,0.0,-0.023435099,0.0,0.0,0.0,0.0,0.0,-0.08
311043052,0.0,0.0,-2.0062902,0.49091527,0.0,0.0,0.0,-0.022044357,0.0,0.0,0.0,0.0,0.0,-0.08
311138691,0.0,0.0,-2.002451,0.49091527,0.0,0.0,0.0,-0.020326743,0.0,0.0,0.0,0.0,0.0,-0.08
311241982,0.0,0.0,-1.9968414,0.49091527,0.0,0.0,0.0,-0.018777907,0.0,0.0,0.0,0.0,0.0,-0.08
311346611,0.0,0.0,-1.9942524,0.49091527,0.0,0.0,0.0,-0.017897883,0.0,0.0,0.0,0.0,0.0,-0.08
311443632,0.0,0.0,-1.9905963,0.49091527,0.0,0.0,0.0,-0.015875539,0.0,0.0,0.0,0.0,0.0,-0.08
311547946,0.0,0.0,-1.9884466,0.49091527,0.0,0.0,0.0,-0.016050605,0.0,0.0,0.0,0.0,0.0,-0.08
311651798,0.0,0.0,-1.9849266,0.49091527,0.0,0.0,0.0,-0.014266382,0.0,0.0,0.0,0.0,0.0,-0.08
311747751,0.0,0.0,-1.9822812,0.49091527,0.0,0.0,0.0,-0.013553468,0.0,0.0,0.0,0.0,0.0,-0.0876683
311851702,0.0,0.0,-1.9824017,0.49091527,0.0,0.0,0.0,-0.014138562,0.0,0.0,0.0,0.0,0.0,-0.099499546
311956738,0.0,0.0,-1.9835727,0.49091527,0.0,0.0,0.0,-0.015247452,0.0,0.0,0.0,0.0,0.0,-0.10307902
312051909,0.0,0.0,-1.9856263,0.49091527,0.0,0.0,0.0,-0.016477762,0.0,0.0,0.0,0.0,0.0,-0.14199404
312155764,0.0,0.0,-1.988495,0.49091527,0.0,0.0,0.0,-0.018042114,0.0,0.0,0.0,0.0,0.0,-0.15837622
312261847,0.0,0.0,-1.9905621,0.49091527,0.0,0.0,0.0,-0.017593378,0.0,0.0,0.0,0.0,0.0,-0.17289451
312357235,0.0,0.0,-1.9911215,0.49091527,0.0,0.0,0.0,-0.01795904,0.0,0.0,0.0,0.0,0.0,-0.1823735
312461800,0.0,0.0,-1.9901912,0.49091527,0.0,0.0,0.0,-0.017621715,0.0,0.0,0.0,0.0,0.0,-0.1920637
312565245,0.0,0.0,-1.9909649,0.49091527,0.0,0.0,0.0,-0.017885229,0.0,0.0,0.0,0.0,0.0,-0.20961471
312661738,0.0,0.0,-1.9908818,0.49091527,0.0,0.0,0.0,-0.018533736,0.0,0.0,0.0,0.0,0.0,-0.21160078
312765249,0.0,0.0,-1.9901713,0.49091527,0.0,0.0,0.0,-0.017209742,0.0,0.0,0.0,0.0,0.0,-0.20954505
312869225,0.0,0.0,-1.9868572,0.49091527,0.0,0.0,0.0,-0.016220897,0.0,0.0,0.0,0.0,0.0,-0.21384062
312966921,0.0,0.0,-1.9824632,0.49091527,0.0,0.0,0.0,-0.013315358,0.0,0.0,0.0,0.0,0.0,-0.2156927
313070994,0.0,0.0,-1.9734757,0.49091527,0.0,0.0,0.0,-0.011552937,0.0,0.0,0.0,0.0,0.0,-0.22697048
313175400,0.0,0.0,-1.9638007,0.49091527,0.0,0.0,0.0,-0.007938512,0.0,0.0,0.0,0.0,0.0,-0.23995814
313278847,0.0,0.0,-1.9543875,0.49091527,0.0,0.0,0.0,-0.006871534,0.0,0.0,0.0,0.0,0.0,-0.24893862
313374918,0.0,0.0,-1.9499463,0.49091527,0.0,0.0,0.0,-0.0061600683,0.0,0.0,0.0,0.0,0.0,-0.25103414
313479423,0.0,0.0,-1.9472431,0.49091527,0.0,0.0,0.0,-0.0012290948,0.0,0.0,0.0,0.00021925912,0.000117208125,-0.25613186
313583110,0.0,0.0,-1.9451181,0.49091527,0.0,0.0,0.0,-0.0027577686,0.0,0.0,0.0,0.0021996195,0.006663677,-0.2667244
313684216,0.0,0.0,-1.9420974,0.49091527,0.0,0.0,0.0,-0.0026028135,0.0,0.0,0.0,0.0028183167,0.009236179,-0.29009113
313780481,0.0,0.0,-1.9390779,0.49091527,0.0,0.0,0.0,-0.0011349078,0.0,0.0,0.0,0.0029173216,0.009813529,-0.2993925
313885116,0.0,0.0,-1.9309244,0.49091527,0.0,0.0,0.0,0.0023790172,0.0,0.0,0.0,0.0037051695,0.011761661,-0.32305035
313989188,0.0,0.0,-1.922944,0.49091527,0.0,0.0,0.0,0.004116609,0.0,0.0,0.0,0.0055065686,0.015514472,-0.32124496
314092431,0.0,0.0,-1.9149493,0.49091527,0.0,0.0,0.0,0.008704532,0.0,0.0,0.0,0.0067490297,0.021980954,-0.32243818
314188546,0.0,0.0,-1.9112612,0.49091527,0.0,0.0,0.0,0.011057896,0.0,0.0,0.0,0.0072049433,0.023338033,-0.32232535
314292592,0.0,0.0,-1.9121021,0.49091527,0.0,0.0,0.0,0.006592171,0.0,0.0,0.0,0.008374215,0.026927037,-0.3455377
314397026,0.0,0.0,-1.9131851,0.49091527,0.0,0.0,0.0,0.0046158447,0.0,0.0,0.0,0.00949366,0.03102586,-0.3506957
314494179,0.0,0.0,-1.912341,0.49091527,0.0,0.0,0.0,0.001960875,0.0,0.0,0.0,0.010543323,0.03473961,-0.375241
