timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
309747471,inf,1,0,0,0
310747480,inf,1,0,0,0
311747859,inf,1,0,0,0
311789155,inf,0,0,1,0
312792747,inf,0,0,1,0
313124505,inf,0,0,0,0
314133897,inf,0,0,0,0
315136533,inf,0,0,0,0
316143558,inf,0,0,0,0
317149526,inf,0,0,0,0
318170574,inf,0,0,0,0
320194611,inf,0,0,0,0
321213911,inf,0,0,0,0
322218984,inf,0,0,0,0
323235491,inf,0,0,0,0
324236479,inf,0,0,0,0
325237496,inf,0,0,0,0
326239888,inf,0,0,0,0
327240951,inf,0,0,0,0
328250728,inf,0,0,0,0
329266605,inf,0,0,0,0
330281479,inf,0,0,0,0
331293115,inf,0,0,0,0
332309560,inf,0,0,0,0
333328262,inf,0,0,0,0
334328480,inf,0,0,0,0
335341489,inf,0,0,0,0
336356249,inf,0,0,0,0
337373995,inf,0,0,0,0
338374176,inf,0,0,0,0
339394165,inf,0,0,0,0
340395550,inf,0,0,0,0
341399786,inf,0,0,0,0
342416491,inf,0,0,0,0
343436681,inf,0,0,0,0
344454890,inf,0,0,0,0
345464539,inf,0,0,0,0
345569486,inf,0,0,1,0
346175484,inf,1,0,0,0
347180378,inf,1,0,0,0
348182599,inf,1,0,0,0
349186613,inf,1,0,0,0
350205479,inf,1,0,0,0
351206174,inf,1,0,0,0
352223368,inf,1,0,0,0
353224491,inf,1,0,0,0
354224991,inf,1,0,0,0
355235528,inf,1,0,0,0
356242651,inf,1,0,0,0
357246559,inf,1,0,0,0
358266609,inf,1,0,0,0
359282696,inf,1,0,0,0
360300488,inf,1,0,0,0
361319480,inf,1,0,0,0
361527078,inf,0,0,1,0
361965493,inf,0,0,0,0
362982600,inf,0,0,0,0
364000482,inf,0,0,0,0
365000491,inf,0,0,0,0
366005480,inf,0,0,0,0
367009496,inf,0,0,0,0
368013435,inf,0,0,0,0
369019494,inf,0,0,0,0
370021966,inf,0,0,0,0
371038606,inf,0,0,0,0
372041507,inf,0,0,0,0
373061564,inf,0,0,0,0
374065479,inf,0,0,0,0
375065536,inf,0,0,0,0
376080950,inf,0,0,0,0
376163480,inf,0,0,1,0
376435485,inf,0,0,0,1
376767764,inf,1,0,0,0
377690711,inf,0,0,1,0
378044579,inf,0,0,0,0
379056679,inf,0,0,0,0
380076479,inf,0,0,0,0
381096479,inf,0,0,0,0
382111578,inf,0,0,0,0
383114589,inf,0,0,0,0
384123903,inf,0,0,0,0
385131554,inf,0,0,0,0
386135961,inf,0,0,0,0
387137479,inf,0,0,0,0
388137978,inf,0,0,0,0
389154665,inf,0,0,0,0
390159579,inf,0,0,0,0
391167613,inf,0,0,0,0
392188754,inf,0,0,0,0
393205789,inf,0,0,0,0
394207504,inf,0,0,0,0
395207616,inf,0,0,0,0
396220533,inf,0,0,0,0
397223061,inf,0,0,0,0
398244431,inf,0,0,0,0
399249884,inf,0,0,0,0
400252327,inf,0,0,0,0
401268217,inf,0,0,0,0
402277165,inf,0,0,0,0
403284500,inf,0,0,0,0
404301397,inf,0,0,0,0
405315930,inf,0,0,0,0
406331898,inf,0,0,0,0
407348227,inf,0,0,0,0
408351437,inf,0,0,0,0
409353480,inf,0,0,0,0
410373909,inf,0,0,0,0
411388486,inf,0,0,0,0
412389537,inf,0,0,0,0
413407631,inf,0,0,0,0
414425541,inf,0,0,0,0
415428514,inf,0,0,0,0
416446615,inf,0,0,0,0
417447470,inf,0,0,0,0
418464480,inf,0,0,0,0
419480177,inf,0,0,0,0
420499926,inf,0,0,0,0
421500662,inf,0,0,0,0
422504973,inf,0,0,0,0
423524480,inf,0,0,0,0
424525566,inf,0,0,0,0
425525782,inf,0,0,0,0
426531800,inf,0,0,0,0
427543582,inf,0,0,0,0
428560494,inf,0,0,0,0
430568534,inf,0,0,0,0
431574761,inf,0,0,0,0
432577098,inf,0,0,0,0
433592491,inf,0,0,0,0
434593486,inf,0,0,0,0
435604728,inf,0,0,0,0
436607819,inf,0,0,0,0
437620427,inf,0,0,0,0
438630617,inf,0,0,0,0
439648480,inf,0,0,0,0
440661899,inf,0,0,0,0
441677504,inf,0,0,0,0
442693251,inf,0,0,0,0
443695583,inf,0,0,0,0
444703480,inf,0,0,0,0
445718981,inf,0,0,0,0
446731009,inf,0,0,0,0
447741881,inf,0,0,0,0
448751155,inf,0,0,0,0
449768480,inf,0,0,0,0
450773520,inf,0,0,0,0
451792488,inf,0,0,0,0
452809945,inf,0,0,0,0
453813495,inf,0,0,0,0
454817942,inf,0,0,0,0
455828349,inf,0,0,0,0
456849273,inf,0,0,0,0
457863827,inf,0,0,0,0
458883940,inf,0,0,0,0
459893785,inf,0,0,0,0
460914614,inf,0,0,0,0
461926606,inf,0,0,0,0
462947458,inf,0,0,0,0
463955897,inf,0,0,0,0
464956480,inf,0,0,0,0
466991698,inf,0,0,0,0
468002119,inf,0,0,0,0
469015567,inf,0,0,0,0
470034665,inf,0,0,0,0
471051697,inf,0,0,0,0
472073303,inf,0,0,0,0
473073319,inf,0,0,0,0
474082100,inf,0,0,0,0
475083381,inf,0,0,0,0
476094607,inf,0,0,0,0
477107518,inf,0,0,0,0
478121489,inf,0,0,0,0
479125289,inf,0,0,0,0
480126642,inf,0,0,0,0
482138737,inf,0,0,0,0
483151037,inf,0,0,0,0
484164143,inf,0,0,0,0
486192506,inf,0,0,0,0
487206811,inf,0,0,0,0
488209065,inf,0,0,0,0
489217172,inf,0,0,0,0
490225356,inf,0,0,0,0
491231916,inf,0,0,0,0
492249444,inf,0,0,0,0
493261479,inf,0,0,0,0
494277813,inf,0,0,0,0
495283480,inf,0,0,0,0
496289551,inf,0,0,0,0
497290585,inf,0,0,0,0
498300189,inf,0,0,0,0
499320501,inf,0,0,0,0
500339659,inf,0,0,0,0
501349089,inf,0,0,0,0
502359009,inf,0,0,0,0
503378602,inf,0,0,0,0
504383025,inf,0,0,0,0
505395574,inf,0,0,0,0
506397479,inf,0,0,0,0
507415414,inf,0,0,0,0
508434916,inf,0,0,0,0
509453209,inf,0,0,0,0
510464553,inf,0,0,0,0
511469486,inf,0,0,0,0
512488480,inf,0,0,0,0
513490687,inf,0,0,0,0
