timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
50799541,0,263178,0.17384127,-0.08943354,0.35150898,49.27448,0.0015,252,-138,-250,0
50899508,0,263178,0.15041569,-0.09465784,0.35908195,49.27448,0.0015,255,-125,-255,0
51001155,0,263178,0.17023733,-0.08943354,0.35150898,49.31941,0.0015,252,-136,-250,0
51101965,0,263178,0.16843536,-0.08072637,0.3409068,49.265495,0.0015,247,-135,-243,0
51201902,0,263178,0.15221764,-0.08595067,0.3727133,49.295444,0.0015,250,-126,-264,0
51311502,0,263178,0.15762354,0.34592468,0.34393597,49.277473,0.0015,2,-129,-245,0
51413151,0,263178,0.16302946,-0.0929164,0.36059654,49.262497,0.0015,254,-132,-256,0
51513108,0,263178,0.15401962,-0.101623565,0.38028628,49.277473,0.0015,259,-127,-269,0
51614703,0,263178,0.16122748,-0.09465784,0.35605276,49.283466,0.0015,255,-131,-253,0
51713918,0,263178,0.1666334,-0.08943354,0.35453814,49.271484,0.0015,252,-134,-252,0
51815549,0,263178,0.15582158,-0.08943354,0.36665493,49.280468,0.0015,252,-128,-260,0
51915502,0,263178,0.1720393,-0.105106436,0.35605276,49.27448,0.0015,261,-137,-253,0
52015502,0,263178,0.1486137,-0.103365,0.36665493,49.280468,0.0015,260,-124,-260,0
52116313,0,263178,0.17023733,-0.09639927,0.36059654,49.280468,0.0015,256,-136,-256,0
52217902,0,263178,0.1666334,-0.09988214,0.36968413,49.283466,0.0015,258,-134,-262,0
52317901,0,263178,0.1774452,-0.08943354,0.36968413,49.31941,0.0015,252,-140,-262,0
52427502,0,263178,0.17023733,0.34244183,0.36362574,49.271484,0.0015,4,-136,-258,0
52529102,0,263178,0.15942553,-0.0929164,0.35756737,49.283466,0.0015,254,-130,-254,0
52629118,0,263178,0.18285112,-0.07724351,0.36514032,49.280468,0.0015,245,-143,-259,0
52729902,0,263178,0.1666334,-0.08943354,0.36059654,49.289455,0.0015,252,-134,-256,0
52831514,0,263178,0.16302946,-0.0824678,0.36665493,49.307426,0.0015,248,-132,-260,0
52931502,0,263178,0.17023733,-0.075502075,0.36362574,49.283466,0.0015,244,-136,-258,0
53041102,0,263178,0.17384127,-0.0929164,0.35908195,49.325397,0.0015,254,-138,-255,0
53132302,0,263178,0.18285112,-0.08072637,0.35605276,49.28646,0.0015,247,-143,-253,0
53242713,0,263178,0.16483141,-0.0981407,0.35908195,49.307426,0.0015,257,-133,-255,0
53343502,0,263178,0.17023733,-0.09639927,0.35453814,49.27448,0.0015,256,-136,-252,0
53443528,0,263178,0.15762354,-0.08420924,0.36816952,49.265495,0.0015,249,-129,-261,0
53545101,0,263178,0.1720393,-0.105106436,0.35302356,49.289455,0.0015,261,-137,-251,0
53645144,0,263178,0.16483141,-0.087692104,0.35908195,49.265495,0.0015,251,-133,-255,0
53745944,0,263178,0.16483141,-0.09117497,0.3772571,49.313416,0.0015,253,-133,-267,0
53845902,0,263178,0.14140584,-0.10684787,0.3757425,49.277473,0.0015,262,-120,-266,0
53947502,0,263178,0.1666334,-0.0824678,0.36362574,49.331387,0.0015,248,-134,-258,0
54047501,0,263178,0.15221764,-0.08943354,0.3727133,49.29844,0.0015,252,-126,-264,0
54158701,0,263178,0.16843536,-0.0981407,0.34999436,49.34337,0.0015,257,-135,-249,0
54259502,0,263178,0.16483141,-0.09117497,0.36211112,49.262497,0.0015,253,-133,-257,0
54359502,0,263178,0.18104914,-0.09639927,0.35756737,49.283466,0.0015,256,-142,-254,0
54459529,0,263178,0.16843536,-0.08072637,0.36816952,49.31042,0.0015,247,-135,-261,0
54561130,0,263178,0.16843536,-0.105106436,0.35908195,49.352352,0.0015,261,-135,-255,0
54661118,0,263178,0.17924717,-0.087692104,0.36211112,49.358345,0.0015,251,-141,-257,0
54772302,0,263178,0.1666334,-0.09639927,0.35756737,49.307426,0.0015,256,-134,-254,0
54873102,0,263178,0.17384127,-0.0929164,0.35150898,49.31641,0.0015,254,-138,-250,0
54973102,0,263178,0.15401962,-0.08420924,0.36514032,49.325397,0.0015,249,-127,-259,0
55073102,0,263178,0.18645506,-0.0981407,0.34999436,49.283466,0.0015,257,-145,-249,0
55175501,0,263178,0.17023733,-0.0824678,0.35453814,49.322403,0.0015,248,-136,-252,0
55274704,0,263178,0.18645506,-0.087692104,0.35302356,49.31641,0.0015,251,-145,-251,0
55375510,0,263178,0.1720393,-0.0981407,0.35302356,49.340374,0.0015,257,-137,-251,0
55475547,0,263178,0.1666334,-0.0929164,0.36362574,49.304432,0.0015,254,-134,-258,0
55577904,0,263178,0.18465307,-0.0824678,0.34847978,49.33738,0.0015,248,-144,-248,0
55687503,0,263178,0.16302946,-0.103365,0.35756737,49.27448,0.0015,260,-132,-254,0
55777902,0,263178,0.15582158,-0.08595067,0.3757425,49.322403,0.0015,250,-128,-266,0
55889121,0,263178,0.16483141,-0.0981407,0.36211112,49.35535,0.0015,257,-133,-257,0
55989104,0,263178,0.19366291,-0.0981407,0.36211112,49.36134,0.0015,257,-149,-257,0
56089129,0,263178,0.15401962,-0.09117497,0.3711987,49.36733,0.0015,253,-127,-263,0
56191501,0,263178,0.16843536,-0.1085893,0.37422788,49.358345,0.0015,263,-135,-265,0
56291501,0,263178,0.17023733,-0.08595067,0.36665493,49.358345,0.0015,250,-136,-260,0
56391510,0,263178,0.15401962,-0.087692104,0.36514032,49.358345,0.0015,251,-127,-259,0
56491502,0,263178,0.15582158,-0.09988214,0.36665493,49.31941,0.0015,258,-128,-260,0
56602702,0,263178,0.16302946,-0.10684787,0.36665493,49.391293,0.0015,262,-132,-260,0
56702702,0,263178,0.16843536,-0.105106436,0.36211112,49.382305,0.0015,261,-135,-257,0
56805118,0,263178,0.16302946,-0.09988214,0.35150898,49.382305,0.0015,258,-132,-250,0
56905102,0,263178,0.17023733,-0.08943354,0.36362574,49.37931,0.0015,252,-136,-258,0
57005102,0,263178,0.1666334,-0.0929164,0.35756737,49.394287,0.0015,254,-134,-254,0
57105102,0,263178,0.16122748,-0.09117497,0.36816952,49.37931,0.0015,253,-131,-261,0
57207502,0,263178,0.16302946,-0.08943354,0.35756737,49.364334,0.0015,252,-132,-254,0
57307519,0,263178,0.15041569,-0.087692104,0.3711987,49.40327,0.0015,251,-125,-263,0
57417102,0,263178,0.16483141,-0.087692104,0.35908195,49.39728,0.0015,251,-133,-255,0
57507502,0,263178,0.1720393,-0.0981407,0.36816952,49.388294,0.0015,257,-137,-261,0
57618702,0,263178,0.16843536,-0.08072637,0.36211112,49.40327,0.0015,247,-135,-257,0
57718702,0,263178,0.17564324,-0.087692104,0.36816952,49.3853,0.0015,251,-139,-261,0
57820302,0,263178,0.14500977,-0.103365,0.35453814,49.382305,0.0015,260,-122,-252,0
57921104,0,263178,0.1486137,-0.08595067,0.36059654,49.382305,0.0015,250,-124,-256,0
58021121,0,263178,0.16122748,-0.101623565,0.3772571,49.409264,0.0015,259,-131,-267,0
58121102,0,263178,0.15762354,-0.08420924,0.3772571,49.388294,0.0015,249,-129,-267,0
