timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
50803354,16.520123,16.551989,38.936,38.937325,0.0,514.5098,0.8759945,1.0149838,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
51302526,16.510393,16.545626,38.936,38.93667,0.0,519.90857,0.87281305,1.0153741,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
51811294,16.481205,16.537706,38.9484,38.936245,0.0,525.41113,0.8688534,1.0158603,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
52312124,16.500664,16.532396,38.936,38.937653,0.0,530.82825,0.86619836,1.0161866,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
52816034,16.510393,16.528395,38.936,38.937923,0.0,536.2785,0.86419755,1.0164326,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
53312113,16.52985,16.52628,38.936,38.937634,0.0,541.64386,0.8631399,1.0165627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
53816076,16.500664,16.524681,38.936,38.93754,0.0,547.09503,0.86234075,1.016661,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
54316128,16.520123,16.524817,38.9484,38.938618,0.0,552.50385,0.86240846,1.0166527,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
54820131,16.510393,16.524061,38.9484,38.93784,0.0,557.9551,0.8620308,1.0166992,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
55312164,16.52985,16.52361,38.998,38.937798,0.0,563.27686,0.8618048,1.016727,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
55820103,16.471476,16.523476,38.9484,38.93582,0.0,568.77045,0.861738,1.0167352,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
56312180,16.520123,16.523594,38.936,38.938423,0.0,574.0931,0.86179715,1.0167279,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
56816106,16.510393,16.521706,38.9608,38.938026,0.0,579.5435,0.860853,1.0168442,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
57320099,16.52985,16.52239,38.936,38.940617,0.0,584.9953,0.8611954,1.016802,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
57824093,16.52985,16.522755,38.936,38.93981,0.0,590.44653,0.86137754,1.0167795,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
58328141,16.520123,16.521305,38.9484,38.94172,0.0,595.89905,0.86065274,1.0168688,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
58832209,16.520123,16.520771,38.936,38.93999,0.0,601.3512,0.8603857,1.0169016,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59336108,16.520123,16.522661,38.936,38.93933,0.0,606.8016,0.8613308,1.0167853,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59840130,16.520123,16.5228,38.9608,38.937374,0.0,612.25275,0.8614004,1.0167768,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60344119,16.53958,16.522165,38.936,38.938618,0.0,617.7043,0.86108285,1.0168158,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60848130,16.53958,16.522623,38.936,38.93914,0.0,623.1559,0.86131173,1.0167876,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61352184,16.52985,16.523315,38.936,38.937283,0.0,628.60754,0.8616579,1.0167451,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61856887,16.500664,16.521996,38.911198,38.935207,0.0,634.0658,0.860998,1.0168263,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62360093,16.52985,16.52147,38.936,38.938145,0.0,639.5088,0.86073476,1.0168587,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62864135,16.520123,16.521824,38.9484,38.93838,0.0,644.9607,0.86091214,1.0168369,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63355983,16.52985,16.521246,38.936,38.93608,0.0,650.28015,0.8606232,1.0168724,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63860102,16.510393,16.52224,38.936,38.93819,0.0,655.7331,0.86112005,1.0168113,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
64364107,16.53958,16.522848,38.936,38.94001,0.0,661.18506,0.86142427,1.0167738,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
64856168,16.53958,16.523111,38.936,38.93989,0.0,666.5075,0.8615559,1.0167576,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
65360058,16.500664,16.522251,38.9856,38.94318,0.0,671.9588,0.86112577,1.0168105,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
65860111,16.520123,16.521994,38.9484,38.941536,0.0,677.36755,0.860997,1.0168264,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
66364089,16.520123,16.522642,38.9236,38.94139,0.0,682.8191,0.8613213,1.0167865,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
66868120,16.500664,16.522186,38.936,38.9423,0.0,688.2716,0.86109334,1.0168146,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
67372162,16.520123,16.522049,38.936,38.942257,0.0,693.72406,0.8610247,1.0168229,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
67876114,16.520123,16.522263,38.9484,38.942444,0.0,699.1754,0.8611315,1.0168098,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
69388119,16.549309,16.520794,38.911198,38.938198,0.0,715.5296,0.86039716,1.0169002,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
69892196,16.53958,16.520884,38.9484,38.940224,0.0,720.9822,0.860442,1.0168947,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
70396126,16.500664,16.513231,38.9484,38.94254,0.0,726.43365,0.87546617,1.0150485,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
70900342,16.29635,16.467234,38.9484,38.938248,0.0,731.8867,0.8925789,1.0129539,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
71404097,15.809893,16.347477,38.9236,38.937157,0.0,737.3352,0.8873928,1.0135877,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
71908032,15.566664,16.234875,38.936,38.937733,0.0,742.78595,0.88040715,1.0144428,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
72412147,15.819622,16.102985,38.9236,38.934784,0.0,748.2377,0.8486088,1.0183536,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
72920137,16.30608,16.11801,38.936,38.938618,0.0,753.73267,0.8655594,1.0162652,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
73420087,15.936372,16.09249,38.9484,38.93857,0.0,759.1404,0.86289865,1.0165924,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
73920096,15.985018,16.045145,38.9236,38.93683,0.0,764.54834,0.8537968,1.0177134,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
74417623,16.004477,16.032703,38.936,38.93589,0.0,769.9292,0.8552416,1.0175353,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
74915349,16.053122,16.029139,38.936,38.936756,0.0,775.31274,0.85787755,1.0172105,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
75414453,15.95583,16.023836,38.936,38.936153,0.0,780.7109,0.85696584,1.0173228,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
75923329,15.82935,16.003098,38.911198,38.939754,0.0,786.21564,0.850787,1.0180846,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
76424132,15.95583,15.961882,38.911198,38.93783,0.0,791.6319,0.8372238,1.0197611,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
76924131,15.916913,15.925666,38.936,38.936317,0.0,797.0395,0.824436,1.0213466,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
77426808,15.790434,15.899373,38.936,38.93677,0.0,802.4766,0.8160332,1.0223912,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
77927336,15.907185,15.859806,38.9484,38.93695,0.0,807.8902,0.8020809,1.0241303,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
78431364,15.518018,15.824451,38.9484,38.936924,0.0,813.3414,0.78737336,1.0259701,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
78923345,15.6834135,15.797449,38.936,38.935696,0.0,818.6622,0.77667123,1.0273129,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
79427366,15.819622,15.772939,38.936,38.934757,0.0,824.11334,0.7686117,1.0283265,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
79931296,15.83908,15.755787,38.9484,38.938164,0.0,829.56433,0.76189405,1.0291729,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
80435345,15.625038,15.731111,38.911198,38.93833,0.0,835.01605,0.7530201,1.030293,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
81443307,15.566664,15.699754,38.936,38.933685,0.0,845.91644,0.7410086,1.0318131,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
81947338,15.576392,15.685488,38.9484,38.934174,0.0,851.3675,0.7349356,1.0325835,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
82451582,15.537476,15.664151,38.9236,38.932922,0.0,856.821,0.72441465,1.0339206,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
82955334,15.790434,15.661291,38.936,38.93361,0.0,862.26917,0.7199877,1.0344843,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
84971298,15.790434,15.639574,38.936,38.93238,0.0,884.0711,0.7084072,1.0359617,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
85475332,15.809893,15.627752,38.9236,38.934124,0.0,889.5225,0.7057274,1.0363042,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
85979331,15.381809,15.608466,38.9484,38.933865,0.0,894.9731,0.69999295,1.037038,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
86483311,15.226143,15.602402,38.911198,38.933506,0.0,900.4239,0.6968668,1.0374383,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
86987299,15.634768,15.604541,38.936,38.93529,0.0,905.875,0.69756395,1.037349,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
87491317,15.479101,15.602473,38.9236,38.933674,0.0,911.32574,0.6975916,1.0373454,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
87995325,15.82935,15.58305,38.9236,38.936485,0.0,916.7774,0.69105417,1.0381836,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
88499397,15.586122,15.630559,38.911198,38.934948,0.0,922.22925,0.70771486,1.0360502,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
89003332,15.449913,15.606092,38.936,38.936104,0.0,927.6799,0.6981886,1.037269,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
89507273,15.644497,15.575763,38.8988,38.933887,0.0,933.1297,0.68624383,1.0388012,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
90011331,15.6834135,15.566685,38.936,38.934525,0.0,938.5813,0.68283826,1.0392389,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
90515363,15.770976,15.550977,38.9484,38.932606,0.0,944.03204,0.6746262,1.0402958,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
91019317,15.420726,15.562344,38.936,38.935287,0.0,949.483,0.6786297,1.0397803,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
91523257,15.625038,15.607597,38.936,38.9367,0.0,954.9334,0.6966904,1.0374609,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
92027236,15.518018,15.598664,38.9484,38.936195,0.0,960.3843,0.69342595,1.0378793,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
92531318,15.819622,15.598025,38.911198,38.933838,0.0,965.8356,0.6940363,1.0378011,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
93035340,15.537476,15.588278,38.936,38.93403,0.0,971.28644,0.6898754,1.0383348,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
93539196,15.644497,15.595126,38.9484,38.935394,0.0,976.73596,0.6925419,1.0379927,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
94043447,15.673684,15.583509,38.936,38.934216,0.0,982.18933,0.6870144,1.0387022,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
94547256,15.566664,15.582613,38.9484,38.935745,0.0,987.6387,0.6869114,1.0387155,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
95051354,15.537476,15.567439,38.9608,38.934914,0.0,993.09033,0.68171674,1.039383,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
95555290,15.547205,15.566644,38.936,38.933353,0.0,998.54016,0.6807583,1.0395064,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
96055256,15.323434,15.505398,38.936,38.932682,0.0,1003.9472,0.6550692,1.0428215,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
96553625,15.410996,15.482591,38.936,38.931065,0.0,1009.33624,0.6460379,1.043992,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
97054468,15.547205,15.449305,38.9236,38.931923,0.0,1014.7526,0.6328333,1.0457082,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
97546933,15.527747,15.471029,38.9236,38.930275,0.0,1020.0783,0.6409386,1.0446541,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
