timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
132640068,inf,1,0,0,0,0
134659063,inf,1,0,0,0,0
135646174,inf,1,0,0,0,1
135956065,inf,0,0,1,0,1
136288106,inf,0,0,0,0,0
137298135,inf,0,0,0,0,0
138314216,inf,0,0,0,0,0
139327076,inf,0,0,0,0,0
140336573,inf,0,0,0,0,0
141351064,inf,0,0,0,0,0
142363073,inf,0,0,0,0,0
142384792,inf,0,0,0,0,1
143403123,inf,0,0,0,0,1
143774425,inf,0,0,0,0,0
144789179,inf,0,0,0,0,0
144893073,inf,0,0,0,0,1
145908600,inf,0,0,0,0,1
146801073,inf,0,0,0,0,0
147822111,inf,0,0,0,0,0
148841059,inf,0,0,0,0,0
149853238,inf,0,0,0,0,0
150854371,inf,0,0,0,0,0
151856058,inf,0,0,0,0,0
152868068,inf,0,0,0,0,0
153871069,inf,0,0,0,0,0
154876071,inf,0,0,0,0,0
155886265,inf,0,0,0,0,0
156901214,inf,0,0,0,0,0
157921736,inf,0,0,0,0,0
158937732,inf,0,0,0,0,0
159956059,inf,0,0,0,0,0
161656071,inf,0,0,0,0,1
162669125,inf,0,0,0,0,1
163683059,inf,0,0,0,0,1
164698276,inf,0,0,0,0,1
165706173,inf,0,0,0,0,1
166721667,inf,0,0,0,0,1
167723792,inf,0,0,0,0,1
168744635,inf,0,0,0,0,1
169748688,inf,0,0,0,0,1
170761173,inf,0,0,0,0,1
171765059,inf,0,0,0,0,1
172770363,inf,0,0,0,0,1
173782358,inf,0,0,0,0,1
174786139,inf,0,0,0,0,1
175795082,inf,0,0,0,0,1
176804059,inf,0,0,0,0,1
177813183,inf,0,0,0,0,1
178820058,inf,0,0,0,0,1
179254491,inf,0,0,0,0,0
181267106,inf,0,0,0,0,0
182282391,inf,0,0,0,0,0
183297611,inf,0,0,0,0,0
184313058,inf,0,0,0,0,0
185317168,inf,0,0,0,0,0
185421147,inf,0,1,0,0,0
185442144,inf,0,0,0,0,0
186456138,inf,0,0,0,0,0
187472144,inf,0,0,0,0,0
188491714,inf,0,0,0,0,0
189507787,inf,0,0,0,0,0
190514375,inf,0,0,0,0,0
191520059,inf,0,0,0,0,0
192527909,inf,0,0,0,0,0
193533421,inf,0,0,0,0,0
193819151,inf,0,0,0,0,1
194828069,inf,0,0,0,0,1
195835059,inf,0,0,0,0,1
196848096,inf,0,0,0,0,1
198867070,inf,0,0,0,0,1
199875069,inf,0,0,0,0,1
200882136,inf,0,0,0,0,1
201889156,inf,0,0,0,0,1
202225522,inf,0,0,0,0,0
202874374,inf,0,0,0,0,1
203887075,inf,0,0,0,0,1
204522113,inf,0,0,0,0,0
204963716,inf,0,0,0,0,1
205978114,inf,0,0,0,0,1
206996063,inf,0,0,0,0,1
208015470,inf,0,0,0,0,1
209019059,inf,0,0,0,0,1
210033059,inf,0,0,0,0,1
211042447,inf,0,0,0,0,1
212049067,inf,0,0,0,0,1
212975141,inf,0,0,0,0,0
213988432,inf,0,0,0,0,0
215003061,inf,0,0,0,0,0
216020059,inf,0,0,0,0,0
217031613,inf,0,0,0,0,0
218039097,inf,0,0,0,0,0
219051058,inf,0,0,0,0,0
221081059,inf,0,0,0,0,0
222088530,inf,0,0,0,0,0
223099604,inf,0,0,0,0,0
224113681,inf,0,0,0,0,0
225126159,inf,0,0,0,0,0
226143330,inf,0,0,0,0,0
227149278,inf,0,0,0,0,0
228161059,inf,0,0,0,0,0
229176753,inf,0,0,0,0,0
230189061,inf,0,0,0,0,0
231201062,inf,0,0,0,0,0
232210147,inf,0,0,0,0,0
233224123,inf,0,0,0,0,0
234239422,inf,0,0,0,0,0
235257661,inf,0,0,0,0,0
236268069,inf,0,0,0,0,0
237282512,inf,0,0,0,0,0
238300788,inf,0,0,0,0,0
239304968,inf,0,0,0,0,0
240308535,inf,0,0,0,0,0
242342111,inf,0,0,0,0,0
243358114,inf,0,0,0,0,0
244358128,inf,0,0,0,0,0
245371059,inf,0,0,0,0,0
246381064,inf,0,0,0,0,0
247396100,inf,0,0,0,0,0
248404107,inf,0,0,0,0,0
249420194,inf,0,0,0,0,0
250439063,inf,0,0,0,0,0
251457059,inf,0,0,0,0,0
252475063,inf,0,0,0,0,0
253496059,inf,0,0,0,0,0
254515088,inf,0,0,0,0,0
255532069,inf,0,0,0,0,0
256548062,inf,0,0,0,0,0
257559079,inf,0,0,0,0,0
258581431,inf,0,0,0,0,0
259598737,inf,0,0,0,0,0
260616178,inf,0,0,0,0,0
262621185,inf,0,0,0,0,0
263640596,inf,0,0,0,0,0
264642415,inf,0,0,0,0,0
265645288,inf,0,0,0,0,0
266657123,inf,0,0,0,0,0
267671063,inf,0,0,0,0,0
268679061,inf,0,0,0,0,0
269693069,inf,0,0,0,0,0
270711291,inf,0,0,0,0,0
271726925,inf,0,0,0,0,0
272728076,inf,0,0,0,0,0
273738146,inf,0,0,0,0,0
274748058,inf,0,0,0,0,0
275558493,inf,0,0,0,0,1
276574144,inf,0,0,0,0,1
277589433,inf,0,0,0,0,1
278598183,inf,0,0,0,0,1
279363060,inf,0,0,0,0,0
280375822,inf,0,0,0,0,0
281391748,inf,0,0,0,0,0
282393064,inf,0,0,0,0,0
284040112,inf,0,0,0,0,1
284394112,inf,0,0,1,0,1
284683568,inf,0,0,0,1,1
285014340,inf,1,0,0,0,1
285034336,inf,1,0,0,0,0
286041059,inf,1,0,0,0,0
287052052,inf,1,0,0,0,0
