timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
133185271,-0.20442715,0.39640373,-0.096340664,-0.13907957,0.33422703,0.15795135,0.0,0.0,0.0,-0.006434679,0.0,0.0,0.0,0.0,0.0,0.2626622,0.2626547,0.5732991,0.41745573,0.4174455,4.05527,0.0,0.0,0.0,0.090151,0.0,0.0,0.0,0.0,0.0,0.0014494185,0.015920566,0.032594137,0.0,0.0,0.0,0.0,0.0,0.0
133385283,-0.16501406,0.3454005,0.029197238,-0.13784313,0.32745707,-0.10206604,0.0,0.0,0.0,0.0019083023,0.0,0.0,0.0,0.0,0.0,0.26250985,0.26250288,0.57322294,0.41408578,0.41407615,4.0551267,0.0,0.0,0.0,0.090151094,0.0,0.0,0.0,0.0,0.0,0.0013609936,0.0125025,0.02597904,0.0,0.0,0.0,0.0,0.0,0.0
133993270,-0.18679321,0.34860903,0.06339863,-0.16155207,0.34243688,0.059402466,0.0,0.0,0.0,0.014862895,0.0,0.0,0.0,0.0,0.0,0.2625326,0.26252678,0.5732804,0.40650344,0.40649465,4.0559287,0.0,0.0,0.0,0.09015106,0.0,0.0,0.0,0.0,0.0,0.0013666449,0.009174716,0.01862927,0.0,0.0,0.0,0.0,0.0,0.0
134193282,-0.16342518,0.33544558,0.06493841,-0.16106892,0.3406638,-0.033546448,0.0,0.0,0.0,-0.010140061,0.0,0.0,0.0,0.0,0.0,0.26244855,0.26244316,0.5734049,0.40355805,0.40354976,4.0562873,0.0,0.0,0.0,0.09015098,0.0,0.0,0.0,0.0,0.0,0.0013041949,0.007495976,0.015549094,0.0,0.0,0.0,0.0,0.0,0.0
134401310,-0.16786005,0.29726338,0.045318276,-0.1640315,0.33538958,-0.28564453,0.0,0.0,0.0,-0.041380048,0.0,0.0,0.0,0.0,0.0,0.26243374,0.2624287,0.5732935,0.40097353,0.4009656,4.0559998,0.0,0.0,0.0,0.090150915,0.0,0.0,0.0,0.0,0.0,0.0012202002,0.004357993,0.0099611115,0.0,0.0,0.0,0.0,0.0,0.0
134601276,-0.15182424,0.34657797,0.01486313,-0.16482139,0.3305899,0.0053634644,0.0,0.0,0.0,-0.04298985,0.0,0.0,0.0,0.0,0.0,0.26235926,0.26235455,0.57332784,0.3981005,0.39809301,4.055912,0.0,0.0,0.0,0.09015085,0.0,0.0,0.0,0.0,0.0,0.0012243572,0.0028727239,0.006455841,0.0,0.0,0.0,0.0,0.0,0.0
134809277,-0.15538602,0.2889468,0.029219283,-0.15845633,0.33525413,-0.22232056,0.0,0.0,0.0,-0.056056738,0.0,0.0,0.0,0.0,0.0,0.2624102,0.26240572,0.57326794,0.39587328,0.39586607,4.055674,0.0,0.0,0.0,0.09015078,0.0,0.0,0.0,0.0,0.0,0.0012968715,0.0029351779,0.007770045,0.0,0.0,0.0,0.0,0.0,0.0
135009271,-0.17185044,0.32693005,-0.082358755,-0.17336297,0.32568675,-0.13672638,0.0,0.0,0.0,0.047572613,0.0,0.0,0.0,0.0,0.0,0.26238865,0.26238447,0.57326204,0.3944865,0.39447957,4.0556235,0.0,0.0,0.0,0.0901508,0.0,0.0,0.0,0.0,0.0,0.0011431118,0.0022440546,0.0048865713,0.0,0.0,0.0,0.0,0.0,0.0
135208516,-0.21365756,0.3693729,-0.012978296,-0.17394996,0.33615792,-0.06341553,0.0,0.0,0.0,-0.096725464,0.0,0.0,0.0,0.0,0.0,0.2623685,0.2623646,0.57325757,0.39194974,0.39194313,4.0555925,0.0,0.0,0.0,0.09015074,0.0,0.0,0.0,0.0,0.0,0.0012599479,0.0033397248,0.0068794633,0.0,0.0,0.0,0.0,0.0,0.0
135415704,-0.17794254,0.31903058,0.04492691,-0.18182147,0.33382827,0.17832947,0.0,0.0,0.0,0.0041456223,0.0,0.0,0.0,0.0,0.0,0.26234633,0.26234266,0.5732579,0.39058527,0.390579,4.055573,0.0,0.0,0.0,0.09015085,0.0,0.0,0.0,0.0,0.0,0.0012239555,0.003080556,0.007855097,0.0,0.0,0.0,0.0,0.0,0.0
