timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
133182271,0,131618,0.08146629,0.18604113,0.36267918,40.625,8e-05,-3910,1179,4634,0
133282296,0,131618,0.0791219,0.18843462,0.36696792,40.75,8e-05,-3940,1150,4695,0
133392270,0,131618,0.07726256,0.18811549,0.36134335,40.625,8e-05,-3936,1127,4615,0
133902270,0,131618,0.07516069,0.18987072,0.36717886,40.75,8e-05,-3958,1101,4698,0
134002270,0,131618,0.07394808,0.18867399,0.36921775,40.625,8e-05,-3943,1086,4727,0
134102270,0,131618,0.075322375,0.18819527,0.36647576,40.625,8e-05,-3937,1103,4688,0
134202270,0,131618,0.075726576,0.18891333,0.36788192,40.625,8e-05,-3946,1108,4708,0
134302270,0,131618,0.075807415,0.19130683,0.36633515,40.75,8e-05,-3976,1109,4686,0
134402270,0,131618,0.07564574,0.18819527,0.36921775,40.625,8e-05,-3937,1107,4727,0
134512270,0,131618,0.07548405,0.18755701,0.36352286,40.75,8e-05,-3929,1105,4646,0
134612270,0,131618,0.0759691,0.19082813,0.36949897,40.625,8e-05,-3970,1111,4731,0
134712318,0,131618,0.0777476,0.18803571,0.3679522,40.625,8e-05,-3935,1133,4709,0
134812270,0,131618,0.0773434,0.18979093,0.36949897,40.625,8e-05,-3957,1128,4731,0
134912270,0,131618,0.078636855,0.18915267,0.36148396,40.5,8e-05,-3949,1144,4617,0
135012270,0,131618,0.07483732,0.18612091,0.36837408,40.625,8e-05,-3911,1097,4715,0
135122270,0,131618,0.07653499,0.18803571,0.36612424,40.75,8e-05,-3935,1118,4683,0
135222270,0,131618,0.07378639,0.18843462,0.36696792,40.625,8e-05,-3940,1084,4695,0
135322307,0,131618,0.081547126,0.18699853,0.36049965,40.75,8e-05,-3922,1180,4603,0
135422295,0,131618,0.07629246,0.18931223,0.36781162,40.5,8e-05,-3951,1115,4707,0
135522271,0,131618,0.07968778,0.18707831,0.36753038,40.625,8e-05,-3923,1157,4703,0
135622271,0,131618,0.07718172,0.18907289,0.368585,40.75,8e-05,-3948,1126,4718,0
135722305,0,131618,0.07936443,0.18580177,0.35958567,40.75,8e-05,-3907,1153,4590,0
135832270,0,131618,0.07839433,0.18675919,0.36521026,40.625,8e-05,-3919,1141,4670,0
135932339,0,131618,0.08098124,0.18516351,0.3590232,40.625,8e-05,-3899,1173,4582,0
136032275,0,131618,0.08009199,0.18931223,0.34489146,40.75,8e-05,-3951,1162,4381,0
136132270,0,131618,0.07799013,0.1866794,0.34116518,40.625,8e-05,-3918,1136,4328,0
136242271,0,131618,0.07815181,0.19202487,0.34622732,40.625,8e-05,-3985,1138,4400,0
136342298,0,131618,0.08251722,0.19178551,0.3176123,40.75,8e-05,-3982,1192,3993,0
136442271,0,131618,0.085265815,0.1928227,0.31838566,40.75,8e-05,-3995,1226,4004,0
136542270,0,131618,0.08292142,0.20127973,0.30087918,40.625,8e-05,-4101,1197,3755,0
136642270,0,131618,0.07362471,0.19832774,0.2951843,40.75,8e-05,-4064,1082,3674,0
136742270,0,131618,0.08332563,0.20215733,0.27085802,40.625,8e-05,-4112,1202,3328,0
136842270,0,131618,0.07313967,0.19393967,0.2617181,40.625,8e-05,-4009,1076,3198,0
136952270,0,131618,0.090277955,0.1928227,0.27880272,40.625,8e-05,-3995,1288,3441,0
137052297,0,131618,0.08429572,0.19194509,0.27247506,40.625,8e-05,-3984,1214,3351,0
137152270,0,131618,0.08971207,0.19050899,0.30341023,40.75,8e-05,-3966,1281,3791,0
137252270,0,131618,0.08025367,0.18197218,0.3365952,40.625,8e-05,-3859,1164,4263,0
137362271,0,131618,0.08073872,0.19529597,0.29448122,40.625,8e-05,-4026,1170,3664,0
137462270,0,131618,0.074109755,0.18013717,0.346157,40.625,8e-05,-3836,1088,4399,0
137562273,0,131618,0.07758592,0.18428591,0.3503051,40.625,8e-05,-3888,1131,4458,0
137662317,0,131618,0.08372983,0.19074833,0.28618497,40.625,8e-05,-3969,1207,3546,0
137762277,0,131618,0.069906026,0.18651982,0.34475085,40.625,8e-05,-3916,1036,4379,0
