timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
140875697,49.089805938211114,2.110432189666051,91.00835,135.7858,-0.0,-0.9287467,0.20352285,-1.5011808,-1.155611,0.9016377,1.3669152,0.0,2,0,0,0
141083708,49.089804459183,2.1104318953554166,91.31266,136.08615,-0.0,-0.9464256,0.19723938,-1.4559351,-1.1529891,0.89502597,1.3667185,0.0,2,0,0,0
141283670,49.089803023921284,2.1104316005739356,91.59353,136.3636,-0.0,-0.9535437,0.19355139,-1.4833329,-1.1506946,0.9029279,1.3668782,0.0,2,0,0,0
141491702,49.08980153035799,2.1104312173947393,91.90812,136.67531,-0.0,-0.9598109,0.20331162,-1.5992724,-1.1508353,0.8959165,1.3666711,0.0,2,0,0,0
141691671,49.08980009246539,2.1104309015117053,92.140366,136.90594,-0.0,-0.9498236,0.1833009,-0.63111734,-1.1508136,0.8962676,1.3668715,0.0,2,0,0,0
141891688,49.08979864066585,2.110430500691923,92.14434,136.9114,-0.0,-0.9597416,0.18886885,0.108820714,-1.1511753,0.9048846,1.3667423,0.0,2,0,0,0
142099675,49.08979718689795,2.110430025173617,92.10791,136.87733,-0.0,-0.94357514,0.18522595,0.03272482,-1.1513636,0.8971763,1.3665642,0.0,2,0,0,0
142299671,49.08979575493607,2.1104295459089086,92.12012,136.89148,-0.0,-0.9310874,0.16673261,-0.052289587,-1.1535001,0.89746463,1.3665189,0.0,2,0,0,0
142499702,49.089794301914345,2.1104291153719354,92.08966,136.86353,-0.0,-0.9174106,0.16057502,0.45203885,-1.164524,0.8977502,1.3664745,0.0,2,0,0,0
142699720,49.08979288679261,2.110428672260263,91.95184,136.72968,-0.0,-0.9173296,0.17259751,0.75663877,-1.2359498,0.89806557,1.366447,0.0,2,0,0,0
142899677,49.08979144207303,2.110428258022795,91.796814,136.57927,-0.0,-0.91040975,0.15652335,0.67706186,-1.3488868,0.8983149,1.3664355,0.0,2,0,0,0
143107677,49.08978993221848,2.110427827281272,91.66093,136.44756,-0.0,-0.92047805,0.18033618,0.6571349,-1.4957237,0.8989121,1.3662728,0.0,2,0,0,0
143307670,49.08978847583901,2.1104274871784203,91.527435,136.3183,-0.0,-0.9074757,0.17948496,0.71508086,-1.6616607,0.8991486,1.3662924,0.0,2,0,0,0
143507711,49.0897870559444,2.1104272650295086,91.40988,136.2045,-0.0,-0.8900881,0.19521466,0.6316778,-1.9121083,0.89930093,1.366567,0.0,2,0,0,0
143707689,49.08978567223877,2.1104271108704364,91.297714,136.09555,-0.0,-0.89161086,0.22870858,0.6690603,-2.1147962,0.89946395,1.3665446,0.0,2,0,0,0
143915671,49.0897842114681,2.1104271207168055,91.191284,135.99295,-0.0,-0.8667569,0.2637925,0.3360081,-2.1485548,0.8997963,1.3663638,0.0,2,0,0,0
