timestamp,error_count,device_id,x,y,z,integral_dt,x_integral,y_integral,z_integral,temperature,scaling,x_raw,y_raw,z_raw
133188639,0,1114658,-0.305361,0.018065939,-9.955188,4194,-0.0011107792,-0.0004128712,-0.041423667,40.625,0.0071784677,456,471,-944
133290472,0,1114658,-0.26230207,-0.0606243,-9.996465,4199,-0.0017485562,-0.00057883514,-0.041784756,40.75,0.0071784677,457,429,-942
133392387,0,1114658,-0.29240224,0.016336696,-10.054217,5314,-0.0012001438,0.00012409723,-0.053071216,40.625,0.0071784677,429,474,-937
133903734,0,1114658,-0.32358932,-0.1331835,-10.013804,5311,-0.0014582044,-0.00022850675,-0.053262588,40.75,0.0071784677,436,462,-950
134002372,0,1114658,-0.28774592,-0.056072146,-9.926759,4190,-0.0013134355,-0.00033275905,-0.04137315,40.625,0.0071784677,459,442,-942
134103203,0,1114658,-0.17470296,-0.015196805,-10.026765,4231,-0.0006474936,-0.0005232124,-0.04250944,40.625,0.0071784677,473,490,-967
134207144,0,1114658,-0.2684249,-0.076486565,-10.112076,4178,-0.0011741809,-2.6330542e-06,-0.04213747,40.625,0.0071784677,460,465,-958
134307922,0,1114658,-0.32220137,-0.12373126,-10.230239,4156,-0.001792564,-0.0001679011,-0.041975655,40.75,0.0071784677,450,435,-950
134409817,0,1114658,-0.1467827,-0.07471383,-10.047144,4245,-0.0010516967,-8.0134065e-05,-0.04307267,40.625,0.0071784677,447,466,-984
134511625,0,1114658,-0.2993694,-0.12177487,-10.0800905,5253,-0.0012886077,-0.0010618967,-0.052846465,40.75,0.0071784677,485,475,-954
134612422,0,1114658,-0.41963154,0.06863758,-10.006941,4200,-0.0016812698,-0.00016979862,-0.04214442,40.625,0.0071784677,445,437,-960
134711158,0,1114658,-0.34746736,0.060480747,-10.049848,4183,-0.0014962234,-0.00072987337,-0.042539366,40.75,0.0071784677,466,449,-971
134817220,0,1114658,-0.3156239,-0.12069978,-9.9554615,4247,-0.0012753233,-0.0009211443,-0.041812643,40.625,0.0071784677,467,456,-943
134914825,0,1114658,-0.22320022,-0.10025479,-9.909108,5224,-0.0013761679,-0.00033068215,-0.050898314,40.5,0.0071784677,444,439,-918
135017724,0,1114658,-0.31459516,-0.064999595,-10.070274,4195,-0.0014106322,0.00011994299,-0.042187206,40.625,0.0071784677,450,452,-970
135119618,0,1114658,-0.21078742,-0.08650966,-10.090838,5295,-0.001098943,0.00018677591,-0.053859416,40.625,0.0071784677,445,467,-978
135220411,0,1114658,-0.2639995,-0.04052292,-10.068475,4211,-0.0011222841,-8.4690415e-05,-0.04241455,40.625,0.0071784677,435,454,-983
135324385,0,1114658,-0.26339749,-0.10626017,-10.019901,4228,-0.0008275429,-0.00023541464,-0.041784883,40.75,0.0071784677,433,464,-923
135423045,0,1114658,-0.35351047,-0.13624887,-10.042653,4223,-0.0018113283,-0.00030424653,-0.042178802,40.5,0.0071784677,462,441,-943
135526972,0,1114658,-0.28445873,-0.02457566,-10.024172,4160,-0.00033804044,-2.1914886e-05,-0.04171098,40.625,0.0071784677,454,481,-946
135625673,0,1114658,-0.33648762,-0.056404363,-9.98802,4201,-0.0007301811,-0.00031346554,-0.042522892,40.75,0.0071784677,447,480,-978
135727590,0,1114658,-0.24172038,-0.09772518,-9.9499855,4268,-0.0015535037,-0.00043628056,-0.04215145,40.75,0.0071784677,446,449,-939
135828386,0,1114658,-0.4205925,-0.05651215,-10.130744,4228,-0.0024516752,7.0647407e-06,-0.043040108,40.625,0.0071784677,450,435,-954
135930182,0,1114658,-0.2661411,-0.007940889,-10.039427,4163,-0.0009985821,1.5325697e-05,-0.041325312,40.625,0.0071784677,431,446,-965
136034126,0,1114658,-0.25996488,0.031415492,-10.14816,5251,-0.0018588674,0.0009518707,-0.052788645,40.75,0.0071784677,443,474,-957
136134967,0,1114658,-0.4290185,-0.10004715,-10.175596,4228,0.00201221,0.0017666683,-0.045451116,40.625,0.0071784677,420,731,-966
136238942,0,1114658,-0.083667435,-0.08125142,-10.360826,5319,-0.00789967,0.0007522189,-0.05536418,40.625,0.0071784677,389,280,-714
136341772,0,1114658,-0.4359809,-0.37168702,-10.118526,4200,0.0031717864,0.0013028942,-0.040041313,40.625,0.0071784677,523,645,-1224
136443622,0,1114658,-0.25812164,-0.01957028,-10.737901,4199,-0.01889788,0.0010531922,-0.051104102,40.75,0.0071784677,547,8,-982
136545482,0,1114658,-0.2078472,-0.13907312,-10.307309,5260,0.014597124,0.0010511795,-0.0488729,40.625,0.0071784677,568,613,-1238
136646301,0,1114658,-0.20416752,-0.1097525,-12.883626,4162,-0.012938,0.0031876368,-0.051940273,40.75,0.0071784677,240,-156,-850
136747073,0,1114658,0.5099298,-0.5462862,-12.291725,4113,-0.007872199,0.0012098065,-0.060828164,40.625,0.0071784677,179,-417,-1614
136848932,0,1114658,-0.24859697,0.27829364,-12.585499,4200,-0.018985821,0.006447838,-0.048275005,40.625,0.0071784677,491,587,-783
136948673,0,1114658,-0.18529151,-0.17159608,-11.669737,5251,-0.0013932538,0.0052859955,-0.044815175,40.75,0.0071784677,271,1033,-1521
137051590,0,1114658,0.21270008,-0.09046492,-12.602579,6254,0.0018244438,0.00022751714,-0.09046971,40.625,0.0071784677,733,161,-2447
137154472,0,1114658,0.30901802,-0.12561922,-11.186294,4200,0.009248613,-0.0023515215,-0.05354399,40.75,0.0071784677,353,268,-1349
137256360,0,1114658,-1.0710474,-0.22708137,-9.563643,4203,-0.0059631444,0.0003232132,-0.03061158,40.625,0.0071784677,442,1326,-727
137360272,0,1114658,-0.28524253,0.16478075,-8.494047,4200,-0.000925955,-0.0022197047,-0.03905088,40.5,0.0071784677,671,1080,-984
137461072,0,1114658,0.5524922,0.26590958,-8.298621,4199,-0.022825481,0.0029449551,-0.04683587,40.625,0.0071784677,726,-683,-852
137562958,0,1114658,-0.77664727,-0.0977796,-5.04103,5285,0.007848805,-0.010407046,-0.019748293,40.625,0.0071784677,666,932,-339
137663772,0,1114658,0.38256484,-0.00011104901,-6.824323,4184,0.0062640803,0.0013528976,-0.037852995,40.625,0.0071784677,559,175,-1561
137765572,0,1114658,-0.51011264,-0.14920469,-7.0577273,4199,-0.0014795413,-0.008257484,-0.019281106,40.625,0.0071784677,501,795,-269
137868554,0,1114658,-0.96896154,-0.034515876,-8.947375,4282,-0.010531959,-0.0004531175,-0.027417742,40.625,0.0071784677,622,895,116
137970322,0,1114658,-0.37173256,-0.058149334,-9.725438,4151,-0.002699644,-0.007505492,-0.042790573,40.625,0.0071784677,477,824,-797
138071123,0,1114658,-0.39164785,0.22214389,-10.319055,4157,-0.0247304,0.013516623,-0.036241796,40.5,0.0071784677,496,349,-396
138171922,0,1114658,-0.4012504,-0.6766146,-10.730387,4177,0.00079329667,0.009698833,-0.033649452,40.75,0.0071784677,54,739,-578
138273772,0,1114658,-0.5780085,-0.23789972,-10.58827,4200,0.013551634,-0.0033648403,-0.0527385,40.625,0.0071784677,535,1204,-1484
139293324,0,1114658,-0.790763,0.14380695,-9.803459,4154,0.00097076804,-0.0005921069,-0.023899715,40.625,0.0071784677,1084,1005,-876
139394148,0,1114658,-0.4205751,-0.18569766,-10.913323,4188,0.00930316,-0.010906808,-0.056331415,40.625,0.0071784677,662,936,-1513
139493872,0,1114658,-0.6493994,-0.35587814,-11.072747,4199,-0.020171607,0.0013487019,-0.044244353,40.625,0.0071784677,441,765,-842
139594685,0,1114658,0.23888578,-0.2426228,-10.054077,4213,0.022721622,-0.008545745,-0.042532813,40.625,0.0071784677,613,441,-1291
139696577,0,1114658,0.17048316,-0.28391546,-9.91367,4205,0.005602386,-0.002252297,-0.047108132,40.75,0.0071784677,153,111,-1034
139799450,0,1114658,1.1477367,-0.3228441,-9.7558,4200,-0.010814951,0.01285114,-0.049978666,40.75,0.0071784677,153,-773,-1050
139903372,0,1114658,-0.27002752,0.2274021,-10.437402,4161,-0.018926557,0.009970604,-0.03626374,40.5,0.0071784677,464,122,-272
140005223,0,1114658,-0.15660766,0.22771907,-10.322576,4201,-0.017334647,0.008623652,-0.041937582,40.625,0.0071784677,483,71,-657
140103923,0,1114658,-0.8560224,-0.02107457,-10.544683,4150,0.011732462,3.5378685e-05,-0.022558786,40.625,0.0071784677,657,1447,-690
140205772,0,1114658,-0.7109861,0.5339102,-9.720789,5205,-0.011880179,-0.00024193453,-0.0413056,40.75,0.0071784677,765,956,-878
140308679,0,1114658,-0.1948467,0.18332808,-9.522392,4143,-0.018172309,0.004285197,-0.04250864,40.75,0.0071784677,603,304,-1008
140410539,0,1114658,0.073467955,-0.04896748,-9.972488,5224,-0.003978539,0.009480302,-0.060355958,40.75,0.0071784677,22,35,-1116
140511322,0,1114658,-0.047566254,-0.23943187,-10.688041,4165,0.009861495,0.006745665,-0.044603657,40.875,0.0071784677,24,360,-1000
140613203,0,1114658,-0.97105485,0.30726334,-10.041513,4231,-0.007300597,0.002311246,-0.030426893,40.625,0.0071784677,852,1318,-696
140718184,0,1114658,-0.5976179,-0.12555066,-9.832439,4197,0.004079072,-0.006752739,-0.03960487,40.75,0.0071784677,816,864,-852
140820022,0,1114658,-0.14141715,0.11607181,-10.835778,4194,0.0037649104,0.008184882,-0.039059885,40.75,0.0071784677,391,601,-727
140921872,0,1114658,-0.5090492,0.09394742,-10.184756,5249,0.010778317,0.002269138,-0.04456423,40.75,0.0071784677,836,932,-870
141024772,0,1114658,-0.6951876,-0.08381745,-10.1236925,4198,0.01794121,-0.010522877,-0.023788434,40.625,0.0071784677,693,1748,-160
141126622,0,1114658,-0.3808769,-0.07053905,-9.547738,5250,-0.0125454385,-0.005460257,-0.048625387,40.625,0.0071784677,803,609,-1335
141227422,0,1114658,-0.5300647,0.17020929,-10.241758,4200,0.002715927,8.12332e-05,-0.043592293,40.75,0.0071784677,685,1261,-1254
141329315,0,1114658,0.5388726,-0.28879717,-11.364447,4243,-0.0135969985,-0.0039570844,-0.046839997,40.75,0.0071784677,278,-267,-343
141430134,0,1114658,-0.18893826,0.09828037,-10.918755,4262,0.020955604,0.0018805732,-0.042293582,40.75,0.0071784677,662,557,-1343
141529822,0,1114658,-0.07655627,-0.172103,-7.240419,5248,0.0065467902,-0.009706579,-0.02906529,40.625,0.0071784677,494,916,-157
141634839,0,1114658,0.15995872,-0.33602166,-4.199287,4217,0.0067370837,-0.005155812,-0.025615744,40.75,0.0071784677,460,531,-266
141735622,0,1114658,-0.315132,-0.2963245,-4.398207,4200,-0.0056194384,-0.0055725253,-0.0057467297,40.625,0.0071784677,477,353,243
141835372,0,1114658,0.35521612,-0.04541675,-7.5417566,4177,0.002721994,0.0018044524,-0.046667352,40.625,0.0071784677,405,-38,-897
141937272,0,1114658,-0.21172437,0.45097783,-9.222515,4214,-0.015039408,0.003340655,-0.027492058,40.75,0.0071784677,912,191,-814
142038022,0,1114658,-0.15315795,-0.14041822,-11.099102,4160,0.0021979383,0.005994569,-0.046253692,40.625,0.0071784677,303,692,-1138
142139873,0,1114658,0.4104963,0.047474667,-11.379478,4104,-0.0056295865,0.00089105975,-0.04142134,40.75,0.0071784677,485,65,-1043
142240673,0,1114658,-0.83303225,0.35923895,-10.007869,4151,0.010559453,0.0018749598,-0.027848221,40.75,0.0071784677,594,1528,-680
142342522,0,1114658,0.6981158,0.25424036,-9.033627,5181,-0.01505266,0.0141989,-0.059503194,40.625,0.0071784677,414,-532,-961
142445423,0,1114658,0.056228664,-0.06853841,-6.4097953,4201,-0.0029004342,0.007831544,-0.035264827,40.75,0.0071784677,157,227,-900
142549414,0,1114658,-0.19451495,-0.07362944,-7.3925557,4225,0.013195316,0.00077794405,-0.029256487,40.625,0.0071784677,323,601,-1206
142650220,0,1114658,-0.3789861,0.24489981,-8.670139,4245,0.0025661306,0.0009813774,-0.027417451,40.625,0.0071784677,552,996,-947
142752023,0,1114658,-0.119556494,-0.47636876,-11.086798,4195,-0.017267825,0.0019944787,-0.05307563,40.625,0.0071784677,452,20,-558
142853873,0,1114658,-0.25861576,-0.4023877,-11.160758,5249,-0.006778342,-0.00691906,-0.07364495,40.625,0.0071784677,513,-118,-939
142952613,0,1114658,-0.12957853,0.036621638,-10.148345,4242,0.025559975,-0.005237705,-0.040149532,40.75,0.0071784677,741,539,-1264
143053373,0,1114658,-0.3836724,-0.2247145,-10.169584,4172,-0.01990113,0.009160332,-0.047315978,40.625,0.0071784677,265,309,-791
143155222,0,1114658,-0.4145735,0.11101566,-8.904765,4200,0.011387533,-0.010796815,-0.035458397,40.625,0.0071784677,813,929,-1008
143258171,0,1114658,-0.27985826,-0.4785013,-9.97865,4233,-0.0107092615,-0.0057230433,-0.050020218,40.75,0.0071784677,159,-70,-791
143357872,0,1114658,-0.20053169,-0.22804523,-11.454409,4199,-0.012362988,-0.005308813,-0.039410494,40.75,0.0071784677,437,282,186
143461862,0,1114658,-0.093456745,-0.41095924,-11.0831,5290,-1.773741e-05,-0.007117203,-0.07253288,40.75,0.0071784677,636,127,-883
143564722,0,1114658,-0.26898345,-0.2120543,-9.198866,4199,-0.0130062,0.003426442,-0.048480965,40.625,0.0071784677,446,407,-1351
143661366,0,1114658,-0.45275745,-0.6734947,-9.511366,4194,0.021132188,-0.0038913642,-0.02932011,40.75,0.0071784677,88,1403,-1112
143763195,0,1114658,0.44625324,-0.81563795,-10.277137,4223,0.006152765,-0.005024333,-0.055527743,40.75,0.0071784677,399,392,-1315
143869260,0,1114658,-0.31639174,-0.29703742,-14.080194,4231,-0.015254644,-0.00415248,-0.05875882,40.625,0.0071784677,498,431,-1647
143974223,0,1114658,-0.30580395,-0.29701895,-13.24352,4164,0.011266992,0.0015753242,-0.06955957,40.625,0.0071784677,560,540,-2138
144076078,0,1114658,0.62291145,-0.5755772,-10.917359,4205,-0.0059124865,0.0026420413,-0.053016767,40.875,0.0071784677,236,-405,-1299
144177960,0,1114658,-0.6318746,-0.25347114,-9.027519,5287,0.011704282,-0.012663594,-0.039032586,40.625,0.0071784677,351,857,-932
144278738,0,1114658,-0.12755364,0.28048655,-9.911238,4216,-0.005885959,0.0102158245,-0.040803798,40.625,0.0071784677,747,410,-152
144380573,0,1114658,0.48807117,-0.27495065,-8.88899,4161,0.02030249,0.004669,-0.03740767,40.75,0.0071784677,110,215,-1061
144485597,0,1114658,0.3465929,-0.12765862,-10.148011,4215,-0.016533028,0.014580603,-0.05090049,40.75,0.0071784677,-57,-98,-1163
144589523,0,1114658,-0.19693244,-0.5393332,-11.171484,4157,0.0043620146,-0.0070893196,-0.0507268,40.75,0.0071784677,100,168,-801
144689327,0,1114658,-0.84935516,0.10501896,-10.799772,5304,-0.007955302,0.0029758667,-0.053649448,40.625,0.0071784677,333,1104,-576
144792205,0,1114658,-0.19136973,-0.6234909,-9.916341,4212,0.021837689,-1.553729e-05,-0.036631033,40.625,0.0071784677,67,822,-853
144888772,0,1114658,0.07585935,0.1993058,-9.036866,6300,-0.021145578,0.00221635,-0.06948209,40.5,0.0071784677,749,645,-558
144994822,0,1114658,-0.415641,-0.5278736,-5.5739336,4200,0.00996423,-0.0018268124,-0.012320321,40.625,0.0071784677,177,823,-854
145093522,0,1114658,0.02407141,-0.52523816,-6.699256,4150,0.005446978,-0.0022357746,-0.026528718,40.625,0.0071784677,246,341,-1203
145197472,0,1114658,-0.3145183,0.50364226,-9.363148,4151,-0.0210561,-0.011121568,-0.04297174,40.625,0.0071784677,1324,394,-784
145299322,0,1114658,0.20573163,-0.10041217,-10.868164,4164,0.009608545,-0.0018255082,-0.05776805,40.75,0.0071784677,551,21,-1058
145405373,0,1114658,0.10552312,-0.18661796,-11.214285,5216,0.014153013,-0.010034065,-0.05700602,40.875,0.0071784677,516,161,-734
145502007,0,1114658,-0.049834393,-0.3176608,-10.136262,4235,-0.012504701,0.00768038,-0.040477276,40.875,0.0071784677,300,253,-1200
145605940,0,1114658,-0.1487158,-0.29411927,-9.209647,4218,0.022512099,-0.010506265,-0.024818247,40.75,0.0071784677,622,1322,-1124
145706768,0,1114658,0.025725806,-0.3601318,-9.973538,4242,0.029165894,-3.4082215e-05,-0.04171303,40.625,0.0071784677,157,835,-1333
145808572,0,1114658,-0.18343621,-0.44616762,-10.51325,4160,-0.014456281,0.0020023182,-0.048534572,40.75,0.0071784677,304,-3,-1124
145910422,0,1114658,0.31820434,-0.005089167,-10.303978,5233,0.009336138,-0.0006162395,-0.057536416,40.75,0.0071784677,621,366,-1634
146011223,0,1114658,0.4135847,-0.33319378,-9.9156275,4192,-0.00030728558,0.00086136383,-0.037771385,40.75,0.0071784677,281,-632,-1405
146115195,0,1114658,0.5534202,-0.7318754,-11.089112,4207,-0.0047772652,-0.0013256817,-0.05120217,40.625,0.0071784677,201,42,-616
