timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
133177305,0.06947236,0.17873554,0.34726727
133186868,0.06418632,0.17692019,0.3457793
133197318,0.06414436,0.1661201,0.35467005
133206068,0.06592956,0.16790478,0.3502518
133217314,0.06415825,0.16610476,0.35172525
133226068,0.06940259,0.16796608,0.36204752
133245268,0.062428996,0.1787202,0.34428918
133254875,0.07473042,0.1733508,0.3546824
133265268,0.062401023,0.17152014,0.35021633
133274881,0.07828676,0.16970481,0.34882832
133285283,0.07651562,0.17513551,0.35026413
133294869,0.073014714,0.17148949,0.3443768
133305272,0.073014624,0.16787413,0.3443956
133314869,0.06770113,0.18055089,0.3487219
133325269,0.06770113,0.18055089,0.3487219
133334069,0.06417233,0.17332014,0.34874287
133345278,0.06235923,0.16795076,0.35906944
133354068,0.07295955,0.18962757,0.35606176
133365282,0.07295902,0.16793543,0.35617465
133374068,0.076529354,0.16788946,0.34735703
133385274,0.07474414,0.16610476,0.35177523
133394069,0.080043994,0.16428941,0.35033724
133405268,0.07480001,0.17688955,0.33993974
133414069,0.07480001,0.17688955,0.33993974
133721275,0.06944439,0.17153548,0.35319442
133730069,0.08355909,0.17876619,0.3532234
133741315,0.0694721,0.16788946,0.34732372
133750069,0.080044344,0.17875086,0.350262
133818868,0.06063015,0.1877969,0.35159573
133829300,0.06947245,0.18235089,0.34724844
133839685,0.07125748,0.17690487,0.34286785
133849296,0.07473051,0.17696618,0.35466358
133858869,0.06595781,0.18595092,0.34426823
133869283,0.07825896,0.16973546,0.35471785
133879678,0.07825896,0.16973546,0.35471785
133889268,0.060643427,0.1624741,0.34878266
133898069,0.0747306,0.18058154,0.35464475
133909301,0.06588821,0.18241219,0.35901085
133918069,0.06947254,0.18596625,0.34722963
133929268,0.06595746,0.17148949,0.34434348
133938069,0.08003028,0.17153548,0.35324436
133948468,0.07304251,0.17145884,0.33848727
133958069,0.067714855,0.17330481,0.3458148
133978069,0.067714855,0.17330481,0.3458148
133986869,0.07118833,0.1914429,0.3575164
133997306,0.07300125,0.1895816,0.34722748
134006877,0.0783011,0.18776625,0.3457895
134017351,0.07473069,0.18419687,0.35462594
134026869,0.057129055,0.17692019,0.34574598
134037360,0.0800857,0.16424344,0.34150296
134046869,0.092331775,0.16978143,0.36361876
134057321,0.07831465,0.1732895,0.34291998
134067669,0.07831465,0.1732895,0.34291998
134077295,0.06417242,0.17693552,0.34872407
134086084,0.08534438,0.18416622,0.34878638
134097295,0.06770095,0.17332014,0.34875953
134106069,0.06944421,0.16430475,0.35323203
134117343,0.06592956,0.16790478,0.3502518
134126072,0.06415834,0.16972013,0.35170645
134137295,0.06414498,0.19142759,0.35453835
134146069,0.07651554,0.17152014,0.35028297
134165312,0.05530205,0.17156613,0.3590173
134174869,0.05887239,0.17152014,0.35019967
134185278,0.07121604,0.1877969,0.35164568
134194868,0.06765917,0.16975078,0.35761264
134205268,0.07473051,0.17696618,0.35466358
134214868,0.06945828,0.17152014,0.35024965
134225268,0.08888656,0.16968948,0.34593353
134234870,0.073014535,0.16425876,0.3444144
134245269,0.073014535,0.16425876,0.3444144
134255669,0.073014535,0.16425876,0.3444144
134265268,0.07308422,0.17141287,0.329653
134274069,0.081745796,0.16616607,0.3635876
134285286,0.065943465,0.16788946,0.34730706
134294073,0.07830083,0.17692019,0.34584594
134305268,0.074744314,0.17333546,0.3517376
134314069,0.069416665,0.1751815,0.35906512
134325268,0.06943066,0.17878151,0.35610154
134334069,0.06771521,0.18776625,0.3457395
134353268,0.07997467,0.17159677,0.36502346
134362869,0.06951397,0.1750742,0.33845177
134373268,0.07122985,0.18416622,0.34871975
134382869,0.07470261,0.17338145,0.3605719
134393268,0.06064405,0.18778159,0.34865096
134402880,0.07298717,0.1823662,0.35020986
134413268,0.06241492,0.17150483,0.3472716
134422869,0.076543346,0.17148949,0.34439346
134433269,0.076543346,0.17148949,0.34439346
134442080,0.07651554,0.17152014,0.35028297
134453268,0.060629707,0.16972013,0.3516898
134462087,0.06417233,0.17332014,0.34874287
134473268,0.0748001,0.18050492,0.33992094
134482084,0.09245662,0.15879743,0.33717236
134493268,0.06238738,0.18238154,0.35310465
134502069,0.074758396,0.18055089,0.3487552
134513268,0.08005772,0.1570434,0.3474301
134522088,0.08005772,0.1570434,0.3474301
134541268,0.07655716,0.16785881,0.34146747
134550905,0.07121568,0.17333546,0.35172096
134561268,0.07831465,0.1732895,0.34291998
134570868,0.07478602,0.1732895,0.34290332
134581268,0.06771468,0.16607411,0.3458524
134590870,0.081829466,0.17692019,0.3458626
134601268,0.06947236,0.17873554,0.34726727
134610876,0.07122941,0.16608945,0.34881383
134621303,0.07122941,0.16608945,0.34881383
134630070,0.07648774,0.1715508,0.3561725
134641268,0.08181556,0.17693552,0.34880733
134650073,0.060616072,0.18058154,0.35457814
134661268,0.071285106,0.1696435,0.33701596
134670123,0.08184346,0.18052024,0.342899
134681268,0.08005816,0.17512019,0.34733605
134690084,0.05712923,0.18415089,0.34570837
134701268,0.06414445,0.16973546,0.35465124
134710089,0.06414445,0.16973546,0.35465124
134718868,0.072973095,0.17515084,0.35319224
134729268,0.05885884,0.1859969,0.3530692
134738869,0.069458365,0.17513551,0.35023084
134749268,0.07295928,0.17878151,0.3561182
134758869,0.053544823,0.1769815,0.3575084
134769268,0.07121577,0.17695084,0.35170212
134778869,0.07828711,0.18416622,0.34875306
134789287,0.055329673,0.16430475,0.3531654
134799680,0.055329673,0.16430475,0.3531654
134809269,0.055329673,0.16430475,0.3531654
134818077,0.07300072,0.16788946,0.34734038
134829268,0.07825913,0.17696618,0.35468024
134838080,0.058900192,0.17148949,0.34431016
134849268,0.060671676,0.18052024,0.34279904
134858104,0.06948626,0.1787202,0.3443225
134869268,0.060698856,0.15518208,0.33704126
134878074,0.08003036,0.17515084,0.35322556
134889268,0.06950016,0.17870489,0.34137774
134898083,0.06950016,0.17870489,0.34137774
134906878,0.06774274,0.17688955,0.33990642
134917294,0.08182938,0.17330481,0.3458814
134926868,0.079974934,0.18244283,0.36496702
134937295,0.07652944,0.17150483,0.3473382
134946869,0.07125757,0.18052024,0.34284902
134957292,0.07823107,0.16615075,0.3606262
134966869,0.08360079,0.1787202,0.34438914
134977295,0.07832872,0.18050492,0.3399376
134987669,0.07832872,0.18050492,0.3399376
134997303,0.06591593,0.17876619,0.35314012
135006069,0.07298699,0.17513551,0.3502475
135017297,0.06598543,0.17868955,0.3384163
135026069,0.055274427,0.17882748,0.3648692
135037295,0.085316144,0.1661201,0.35476997
135046068,0.06591567,0.16792011,0.35319656
135056468,0.057115242,0.18055089,0.34867194
135066086,0.050071437,0.16245876,0.34578794
135085269,0.08531658,0.18419687,0.35467592
135095689,0.058844857,0.18239686,0.35603276
135105268,0.08538573,0.16965884,0.34002733
135116482,0.069458015,0.16067408,0.3503061
135125268,0.06768723,0.1805662,0.35166666
135134903,0.06592982,0.17875086,0.35019535
135145269,0.06417251,0.18055089,0.34870526
135154914,0.07654343,0.17510486,0.34437463
135165268,0.073014446,0.16064343,0.34443325
135175683,0.073014446,0.16064343,0.34443325
135185268,0.06597171,0.1859356,0.34132344
135194069,0.08353093,0.1643354,0.3591882
135205268,0.072931305,0.17158145,0.36204535
135214104,0.08184328,0.1732895,0.34293664
135224468,0.073014446,0.16064343,0.34443325
135234086,0.081787676,0.1733508,0.3547157
135245268,0.065985166,0.16784348,0.33847275
135254102,0.07470279,0.18061219,0.36053428
135273268,0.073014975,0.18233556,0.34432036
135283706,0.07828667,0.16608945,0.34884712
135293268,0.07122976,0.18055089,0.34873855
135302906,0.06768679,0.16248941,0.35176075
135313268,0.080044344,0.17875086,0.350262
135323692,0.062428825,0.17148949,0.34432682
135333268,0.069472186,0.17150483,0.34730488
135344501,0.081856735,0.15519741,0.34008595
135353273,0.081856735,0.15519741,0.34008595
135362069,0.080044255,0.17513551,0.3502808
135373268,0.057073362,0.17336611,0.35754386
135382068,0.074758396,0.18055089,0.3487552
135392468,0.065902025,0.17878151,0.3560849
135402089,0.085399985,0.18410492,0.3370073
135412468,0.078231506,0.18422753,0.3605321
135422101,0.062373392,0.17878151,0.35606825
135432468,0.07651554,0.17152014,0.35028297
135442072,0.069472186,0.17150483,0.34730488
135452511,0.069472186,0.17150483,0.34730488
135461288,0.07298717,0.1823662,0.35020986
135471695,0.06770087,0.16970481,0.34877834
135481269,0.07832828,0.16242813,0.34003165
135492500,0.06595719,0.16064343,0.34439993
135501268,0.07118815,0.1842122,0.35755405
135511688,0.07125713,0.16244344,0.3429431
135521269,0.07121604,0.1877969,0.35164568
135531714,0.062415004,0.17512019,0.34725276
135541269,0.062415004,0.17512019,0.34725276
135550070,0.078342274,0.16602814,0.33706808
135560468,0.06768697,0.16972013,0.3517231
135570075,0.07825922,0.18058154,0.3546614
135580469,0.07832854,0.17327417,0.3399752
135590078,0.07478611,0.17690487,0.34288448
135601274,0.07830083,0.17692019,0.34584594
135610079,0.06595746,0.17148949,0.34434348
135620507,0.07121613,0.19141226,0.35162687
135630069,0.07121613,0.19141226,0.35162687
135640513,0.07825949,0.19142759,0.35460496
135649269,0.07302844,0.16424344,0.34146965
135658904,0.07652944,0.17150483,0.3473382
135669269,0.0748001,0.18050492,0.33992094
135680469,0.065943725,0.17873554,0.3472506
135689268,0.06591584,0.17515084,0.35315892
135699713,0.06774301,0.18773562,0.33984998
135709271,0.06591567,0.16792011,0.35319656
135718878,0.06591567,0.16792011,0.35319656
135729268,0.06591567,0.16792011,0.35319656
135738071,0.0783011,0.18776625,0.3457895
135748468,0.07122976,0.18055089,0.34873855
135758077,0.06595737,0.16787413,0.3443623
135769294,0.06771477,0.16968948,0.3458336
135778078,0.065943636,0.17512019,0.34726942
135788482,0.06245671,0.1750742,0.33841848
135798079,0.08184311,0.1660588,0.34297425
135808514,0.08184293,0.15882808,0.3430119
135818069,0.08184293,0.15882808,0.3430119
135827714,0.07295893,0.16432007,0.35619348
135837320,0.06947236,0.17873554,0.34726727
135848469,0.0695138,0.16784348,0.3384894
135857308,0.08004417,0.17152014,0.35029963
135868474,0.06949981,0.16424344,0.341453
135877312,0.08008605,0.17870489,0.34142768
135887704,0.06943022,0.16070473,0.35619563
135897295,0.067728676,0.16967416,0.3428888
135906869,0.067728676,0.16967416,0.3428888
135916468,0.08181556,0.17693552,0.34880733
135926083,0.07654308,0.16064343,0.3444499
135936468,0.080058336,0.18235089,0.3472984
135946073,0.055357475,0.1642741,0.34727588
135956511,0.062442634,0.16785881,0.34140086
135966070,0.072973184,0.17876619,0.35317343
135976504,0.07824497,0.16613542,0.35768142
135986068,0.07479992,0.17327417,0.33995855
136006074,0.07479992,0.17327417,0.33995855
136016499,0.06602696,0.17141287,0.32961968
136025269,0.07654317,0.16425876,0.34443107
136036498,0.069541775,0.17504355,0.33256227
136045268,0.07477212,0.17330481,0.34584808
136056468,0.0818432,0.16967416,0.34295544
136065269,0.07129909,0.17324352,0.33405238
136076479,0.066026695,0.1605668,0.32967612
136085269,0.066026695,0.1605668,0.32967612
136094869,0.066026695,0.1605668,0.32967612
136104468,0.064255655,0.16961285,0.33109313
136114072,0.0801274,0.16419746,0.3326687
