timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
349475531,0.0,0.0,0.49369434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
349702974,0.0,0.0,0.49322766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
349882798,0.0,0.0,0.4934738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
350098745,0.0,0.0,0.49261317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
350294316,0.0,0.0,0.49370155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
350510183,0.0,0.0,0.49298918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
350714195,0.0,0.0,0.49322978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
350906337,0.0,0.0,0.49302357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
351101934,0.0,0.0,0.49277955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
351321384,0.0,0.0,0.4934696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
351513514,0.0,0.0,0.49252817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
351717356,0.0,0.0,0.49234045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
351916379,0.0,0.0,0.49276453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
352116368,0.0,0.0,0.49369022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
352336366,0.0,0.0,0.49321532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
352536349,0.0,0.0,0.49353918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
352739562,0.0,0.0,0.4937314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
352943745,0.0,0.0,0.49263707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
353147570,0.0,0.0,0.4923902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0
