timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
349499734,349499734,12,45,0,0,30003,1497,1509,1507,1504,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
349702974,349702974,12,45,0,0,30003,1498,1508,1507,1505,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
349902852,349902852,12,45,0,0,30004,1497,1508,1507,1504,1505,1257,1106,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
350098745,350098745,12,45,0,0,30004,1498,1509,1507,1504,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
350294316,350294316,12,45,0,0,30003,1498,1508,1507,1504,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
350510183,350510183,12,45,0,0,30003,1497,1508,1507,1504,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
350714195,350714195,12,45,0,0,30003,1498,1508,1508,1504,1505,1257,1105,1105,1505,1106,1505,1257,0,0,0,0,0,0,0,0,2
350906337,350906337,12,45,0,0,30003,1497,1508,1507,1504,1506,1257,1105,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
351121940,351121940,12,45,0,0,30003,1497,1508,1507,1504,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
351321384,351321384,12,45,0,0,30003,1497,1509,1507,1504,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
351513514,351513514,12,45,0,0,30003,1498,1508,1507,1504,1506,1257,1105,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
351717356,351717356,12,45,0,0,30003,1497,1508,1506,1504,1505,1257,1106,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
351916379,351916379,12,45,0,0,30004,1496,1509,1506,1504,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
352136394,352136394,12,45,0,0,30003,1497,1508,1506,1505,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
352336366,352336366,12,45,0,0,30003,1498,1508,1506,1504,1506,1257,1105,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
352536349,352536349,12,45,0,0,30003,1497,1509,1506,1504,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
352739562,352739562,12,45,0,0,30004,1498,1508,1506,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
352943745,352943745,12,45,0,0,30003,1498,1508,1506,1504,1506,1257,1105,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
