timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
349563869,-0.001979271,0.0015767126,-0.0038633994,-0.36829254,-0.0033302456,-0.0012186426,-0.92970324,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349595069,-0.0017571752,0.0017607703,-0.0058960696,-0.3683684,-0.0033192222,-0.0012008515,-0.92967325,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349625484,-8.688087e-05,-0.0017532147,-0.0040591517,-0.36843047,-0.003313291,-0.0011959691,-0.92964864,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349658291,0.0013179189,0.00040245953,-0.0033207855,-0.36850443,-0.003320764,-0.0011987961,-0.9296193,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349689504,-0.00025588193,-0.00054841465,-0.0047133802,-0.36858237,-0.003314952,-0.0011955807,-0.9295885,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349721517,4.803075e-05,0.0005157891,-0.0038618864,-0.3686583,-0.0033025844,-0.0011912236,-0.92955834,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349753474,0.00090527086,-0.0010808187,-0.0034410479,-0.36873782,-0.0033221492,-0.001208981,-0.9295267,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349785469,-0.0017498087,0.0017797906,-0.004932013,-0.36881173,-0.0033196572,-0.0012129238,-0.9294975,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349813487,-0.002085664,-0.0018283848,-0.0031150177,-0.36886913,-0.0033304975,-0.0012106651,-0.92947465,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349845469,-0.00037505932,-0.0015139163,-0.003856147,-0.36893836,-0.0033430487,-0.0012080286,-0.9294471,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349877469,-0.001124961,-0.0006582337,-0.0026991633,-0.36900836,-0.0033401,-0.0012235055,-0.92941934,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349909475,-0.0005763158,0.00041084742,-0.004514554,-0.3690809,-0.0033308784,-0.0012337769,-0.9293905,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349941491,-5.4666772e-05,0.0006154799,-0.004081395,-0.3691616,-0.0033347001,-0.0012405847,-0.9293584,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
349973468,-0.00101785,-0.0006564449,-0.0028025038,-0.36922804,-0.0033440322,-0.0012388024,-0.9293321,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350005469,-0.0010164432,-1.8300314e-05,-0.0029104487,-0.36929965,-0.0033354952,-0.0012415661,-0.92930365,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350037475,-5.0206552e-05,0.0017770764,-0.0041923732,-0.36936796,-0.003323279,-0.0012564972,-0.9292765,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350069503,0.0006917375,0.0005151876,-0.0033315015,-0.36943996,-0.0033232188,-0.0012563332,-0.92924786,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350097489,-0.00025943248,0.0005097033,-0.0042813336,-0.3695004,-0.0033221212,-0.0012403027,-0.9292239,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350129493,-0.00058469514,-0.000977657,-0.003965915,-0.36955416,-0.0033265005,-0.0012356511,-0.92920244,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350161469,-0.00069588644,-0.0012974875,-0.002897061,-0.36960334,-0.0033174618,-0.0012352784,-0.9291829,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350193469,0.0010035767,-0.0013977712,-0.002784661,-0.36966318,-0.0033337255,-0.0012207039,-0.9291591,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350225521,-0.00048508367,0.00082694826,-0.00227417,-0.3697095,-0.0033539534,-0.0012126549,-0.9291406,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350257495,0.0007960346,0.0013533188,-0.005237735,-0.36976892,-0.003357551,-0.0012150799,-0.9291169,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350287917,-0.00022002566,-0.0005711599,-0.0031240936,-0.36982948,-0.00335507,-0.0012113225,-0.9290928,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350320669,-0.0006908787,-0.00012827915,-0.0035503474,-0.36988306,-0.0033560519,-0.0012131941,-0.92907155,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350351927,-0.0010117849,0.0009214489,-0.004602459,-0.36995244,-0.0033704776,-0.0012073948,-0.9290439,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350380669,-0.0013183862,0.0006224256,-0.00514277,-0.37000233,-0.003364783,-0.001209598,-0.92902404,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350411905,0.0003228446,-0.00015768479,-0.0032711565,-0.37005976,-0.0033634782,-0.0012147463,-0.9290011,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350444675,0.00080440636,0.0015704527,-0.0042897733,-0.37012348,-0.003359872,-0.0012301389,-0.92897564,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
