,motor_dyn,vanilla,with_c3,dij,with_wind,ct1,ct2,ch1,ch2,di,dj,dk,ct3,kt,vwi,vwj,score_opti,score_rms,score_x,score_y,score_z,duration
0,0.0,0.0,0.0,1.0,0.0,0.0131840851305314,0.0305914343643856,0.0055075872491124,-0.1774121865676897,0.0043209806162699,0.0234071231149355,0.3359951585247656,0.0,6.923363148205088,0.0,0.0,0.0191325853229393,0.8281699206426026,0.0629922815669891,0.0709485563991701,0.1006521739993642,235.43514752388
0,0.0,0.0,0.0,0.0,0.0,0.0131845386562639,0.0305978422305816,0.0052685201057144,-0.1771969236534587,0.0316525761623918,0.0048451609843725,0.3359505024382779,0.0,6.923363148205088,0.0,0.0,0.019100106350662,0.8280176638256256,0.0628171443802253,0.0708749078513077,0.1006521741426612,256.67927527427673
0,0.0,1.0,1.0,0.0,1.0,0.0109183332978413,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2321136310025945,0.1765495067085927,0.4394167563133878,0.0,6.923363148205088,-1.287071463389626,0.1284296919216775,0.0213978901946853,0.8360676281085456,0.0683211473259775,0.0799962994990369,0.1016400663577501,259.1223773956299
0,1.0,0.0,0.0,0.0,1.0,0.0145966007091305,0.047929349851684,0.0064593550256763,-0.1548746404073559,0.0439002914221553,0.0085140483837883,0.2593821877373651,0.0,6.187018573113932,-1.0582337458704083,-0.2040495147878788,0.0126482547730845,0.74713249643929,0.1708301313525083,0.2321366089814495,0.6314036249705888,564.4162871837616
0,0.0,0.0,0.0,1.0,0.0,0.0131840851305314,0.0305914343643856,0.0055075872491124,-0.1774121865676897,0.0043209806162699,0.0234071231149355,0.3359951585247656,0.0,6.923363148205088,0.0,0.0,0.0191325853229393,0.8281699206426026,0.0629922815669891,0.0709485563991701,0.1006521739993642,287.98770809173584
0,1.0,1.0,0.0,1.0,0.0,0.0110027126263736,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1867317362358696,0.0234071231149355,0.5147042185100525,0.0,6.540212426354434,0.0,0.0,0.0212173211226006,0.823356173140002,0.2373684552422856,0.4128443210326305,0.6451480580783143,139.30824375152588
0,0.0,0.0,1.0,1.0,0.0,0.012097368806955,0.0176159321178691,0.0053157655711982,-0.186118590964077,-0.0079601119293588,0.0234071231149355,0.5300156126696325,0.1079273680498309,6.923363148205088,0.0,0.0,0.0175981860337831,0.817854113885208,0.062916401789976,0.0707834648157218,0.092894636703455,326.1643319129944
0,1.0,0.0,0.0,0.0,0.0,0.0144723409684189,0.0464452435838944,0.0050354576569594,-0.1844245122859029,0.0268409161897355,0.0008763051154823,0.2985477355521005,0.0,6.188117705328209,0.0,0.0,0.0159571094164438,0.7897352577476402,0.0626967424276152,0.0705097548052712,0.0839916804374672,627.0028736591339
0,0.0,0.0,0.0,0.0,1.0,0.0134882674209587,0.0345414233634881,0.0065312239468428,-0.1504270377733893,0.0478182087975935,0.0119429446168008,0.2848298643743034,0.0,6.923363148205088,-1.0613152427878378,-0.2013815498452484,0.0158140079776965,0.7906481156768145,0.0561741902951336,0.0501230904095114,0.1007280702196891,266.0865705013275
0,1.0,1.0,1.0,0.0,1.0,0.0110118340272533,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2307094095218089,0.1765011568158263,0.4670712235128029,0.0,6.486077896619873,-1.293997148916071,0.1398955415700783,0.0184260208199268,0.7999161495494702,0.0683399597014887,0.0799864300182469,0.0857778627669274,206.7740631103516
0,0.0,0.0,1.0,0.0,1.0,0.0128855500501085,0.0283167787104675,0.006355816422548,-0.15963628832411,0.0366908769286115,0.0010453773673073,0.4249237122667684,0.1034924627534017,6.923363148205088,-1.0432475070910192,-0.1951392094957002,0.0143429393118227,0.7836110560952197,0.0560940946452723,0.0501043211012145,0.0931984381024508,284.55744647979736
0,1.0,0.0,1.0,0.0,0.0,0.0131852090181487,0.0309770448148154,0.0050299152408305,-0.1901038928080526,0.0150302026470046,-0.0107621702903079,0.4981216424621945,0.1134990185420428,6.587176812433313,0.0,0.0,0.0143989808533074,0.7752913129353151,0.1906287541104739,0.3293397278926467,0.5592267970400554,1048.0720109939575
0,1.0,1.0,0.0,1.0,0.0,0.0110027133633579,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1867317586732581,0.0234071231149355,0.5147045433906955,0.0,6.540098008346905,0.0,0.0,0.0212173211234672,0.8233562239115231,0.077997770702386,0.0882589108686367,0.0856973368384766,94.92868065834044
0,0.0,0.0,1.0,0.0,1.0,0.0128855500501085,0.0283167787104675,0.006355816422548,-0.15963628832411,0.0366908769286115,0.0010453773673073,0.4249237122667684,0.1034924627534017,6.923363148205088,-1.0432475070910192,-0.1951392094957002,0.0143429393118227,0.7836110560952197,0.0560940946452723,0.0501043211012145,0.0931984381024508,282.4613966941833
0,1.0,0.0,0.0,1.0,1.0,0.0145930819601315,0.0478814002112277,0.0067287528259014,-0.1551928591107904,0.0084430644309407,0.0234071231149355,0.2598526912885811,0.0,6.1837211282845885,-1.059222544013343,-0.1799708597911657,0.0127145220918846,0.7473870971219132,0.1723001673045673,0.232856852355442,0.6312464163023126,554.8550136089325
0,1.0,0.0,0.0,1.0,0.0,0.0144732140453496,0.0464564758716215,0.0052688370751401,-0.1846763382520919,0.0003075521501914,0.0234071231149355,0.2985167221167746,0.0,6.184149754014407,0.0,0.0,0.0159875929630538,0.789877747179059,0.0628628997156287,0.070577670165384,0.0839919119702782,369.4009554386139
0,1.0,1.0,0.0,0.0,1.0,0.0110118340272533,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2307094095218089,0.1765011568158263,0.4670712235128029,0.0,6.486077896619873,-1.293997148916071,0.1398955415700783,0.0184260208199268,0.7999161495494702,0.0683399597014887,0.0799864300182469,0.0857778627669274,204.7091977596283
0,0.0,0.0,1.0,0.0,0.0,0.012097440277864,0.0176164131460682,0.0050892494759213,-0.1857521733718429,0.0191742074297036,-0.0074016797329756,0.5299725384398057,0.1079008497068454,6.923363148205088,0.0,0.0,0.0175662409192142,0.8176570786681933,0.0627420557451864,0.070712578600045,0.0928945993468653,299.12729597091675
0,1.0,0.0,0.0,0.0,0.0,0.014472311368664,0.0464448489383873,0.0050356122374295,-0.1844225842072484,0.0268408758205235,0.0008763606309439,0.298549420669295,0.0,6.188203992368492,0.0,0.0,0.0159571094210967,0.7897352200874987,0.1908032462787121,0.329820021797289,0.63230747119756,844.9653644561768
0,0.0,0.0,1.0,1.0,1.0,0.0128782058726114,0.0282173078071538,0.0066105308036365,-0.1601057614062398,0.0009912579568256,0.0234071231149355,0.4257925177076974,0.1035531494291116,6.923363148205088,-1.044632517960036,-0.1711554554810348,0.0144100144664609,0.7840119631880802,0.1721907578778993,0.235119865885721,0.7014627455397404,342.7217605113983
0,0.0,1.0,1.0,1.0,1.0,0.0109190332813667,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1774680668945667,0.0234071231149355,0.4352570501913047,0.0,6.923363148205088,-1.4602505959468546,0.4787156455365816,0.0214969014534557,0.8356403932069769,0.0696835883536007,0.079691721140669,0.1014412566427461,131.88642191886902
0,1.0,0.0,1.0,0.0,1.0,0.0138868668517553,0.0404552171076156,0.0063634691143972,-0.162430631914115,0.0333887372020782,-0.0018538916633875,0.4031694364756737,0.1093179967582684,6.547248253020271,-1.0434089630990315,-0.199930229448727,0.0111231825165869,0.7364273782295204,0.0560691525140638,0.0496459069728248,0.0742611377086778,488.2336242198944
0,0.0,1.0,0.0,1.0,0.0,0.0109108628688523,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1867346315055689,0.0234071231149355,0.4854562231653955,0.0,6.923363148205088,0.0,0.0,0.0241458288096626,0.8575982160162867,0.0779976415281037,0.0882590250868358,0.1013535456530127,42.90140247344971
0,1.0,0.0,1.0,1.0,1.0,0.0138798112388212,0.0403594343016027,0.006623051328208,-0.1629103085662138,-0.0019985195813906,0.0234071231149355,0.4040066406561349,0.109374417731096,6.54427979167714,-1.0441898385675965,-0.1767429181967072,0.0111887106854637,0.7369085717209408,0.0565452466133153,0.0497997042054934,0.0742383676541211,452.7122712135315
0,1.0,1.0,0.0,0.0,1.0,0.0110118346701183,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2307100552563863,0.1765011419198614,0.4670713149724881,0.0,6.485975640320166,-1.2939972480531343,0.1398873914418905,0.018426020819495,0.7999162049874421,0.2079770657606511,0.3741485404948647,0.6457543673727442,289.1086492538452
0,1.0,1.0,1.0,0.0,0.0,0.0110027137198162,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2574545773551349,0.1818680480775775,0.5147053094541238,0.0,6.540083401202417,0.0,0.0,0.0209522236062905,0.8227511973009445,0.0763912138744065,0.0881621943227768,0.0856973368388898,115.94892597198486
0,0.0,1.0,0.0,0.0,0.0,0.0109108743271069,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2574720002764128,0.1818712574260098,0.4854817285074206,0.0,6.923363148205088,0.0,0.0,0.0238807312708221,0.8570543687096865,0.2324792626580519,0.4123919192552022,0.7630113777179587,66.22231841087341
0,0.0,1.0,0.0,1.0,1.0,0.0109190332813667,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1774680668945667,0.0234071231149355,0.4352570501913047,0.0,6.923363148205088,-1.4602505959468546,0.4787156455365816,0.0214969014534557,0.8356403932069769,0.0696835883536007,0.079691721140669,0.1014412566427461,148.87279319763184
0,0.0,0.0,1.0,0.0,0.0,0.0120974306657598,0.0176162826950668,0.0050892493223487,-0.1857522370412921,0.0191739725138563,-0.0074017333048528,0.5299733507480248,0.1079008368675461,6.923363148205088,0.0,0.0,0.0175662409200926,0.8176570798680928,0.190941155209153,0.3307687220548435,0.699330604178016,429.77525997161865
0,1.0,0.0,0.0,1.0,0.0,0.014473187080355,0.0464561475682454,0.0052688622928527,-0.1846757616702899,0.0003078357915916,0.0234071231149355,0.298517217231543,0.0,6.184455726122911,0.0,0.0,0.0159875929528229,0.7898775624693495,0.1913089380750378,0.3301377381364123,0.6323091148256589,415.9419107437134
0,0.0,0.0,0.0,0.0,1.0,0.0134882705349775,0.0345414644442081,0.0065312532673667,-0.1504268175935058,0.0478183438369749,0.011942893006185,0.2848295622399243,0.0,6.923363148205088,-1.061316372516801,-0.2013829722983253,0.0158140079775318,0.790648109240324,0.1709533560923203,0.2344582682958,0.7583026821654184,431.0892503261566
0,1.0,0.0,1.0,0.0,1.0,0.0138868668517553,0.0404552171076156,0.0063634691143972,-0.162430631914115,0.0333887372020782,-0.0018538916633875,0.4031694364756737,0.1093179967582684,6.547248253020271,-1.0434089630990315,-0.199930229448727,0.0111231825165869,0.7364273782295204,0.0560691525140638,0.0496459069728248,0.0742611377086778,516.1372420787811
0,1.0,1.0,0.0,1.0,1.0,0.0110128060855262,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1772611530594838,0.0234071231149355,0.4628791957181461,0.0,6.468620952692989,-1.4663453228028045,0.4938467346410027,0.0185154039999554,0.7993331544821354,0.0697222553417722,0.0796734479447091,0.0854772063336999,230.7384901046753
0,0.0,0.0,1.0,0.0,1.0,0.0128855296392567,0.0283165017970499,0.0063558545555089,-0.1596360893286248,0.0366906992325367,0.0010452469336626,0.4249259042320212,0.1034926185686447,6.923363148205088,-1.0432413316128473,-0.195136497839266,0.0143429393165252,0.7836110632651859,0.1707095652092873,0.234370653122749,0.7016178870578413,328.79245829582214
0,1.0,0.0,1.0,0.0,1.0,0.0138868502963267,0.0404549995308226,0.0063634853072776,-0.1624304788485081,0.0333887124132253,-0.0018538923938861,0.4031705012253422,0.1093180282096243,6.547297430128363,-1.04340713752535,-0.1999287287476748,0.0111231825196388,0.7364273875933355,0.1706336849915141,0.2322262605925181,0.5590538317960988,574.3361854553223
0,0.0,1.0,0.0,0.0,0.0,0.0109108742997166,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.257471823065532,0.1818712497213428,0.485481669811142,0.0,6.923363148205088,0.0,0.0,0.0238807312704956,0.8570543694316577,0.0763912139774951,0.0881621943729027,0.1013535454776728,66.6607654094696
0,1.0,0.0,1.0,0.0,0.0,0.0131852017737561,0.0309769415848923,0.0050299386186993,-0.1901035851506903,0.0150302783929082,-0.0107621475304038,0.4981224987915436,0.1134990410416304,6.587122530441172,0.0,0.0,0.0143989808559641,0.775291329237208,0.0626394010104863,0.0704070831133563,0.0742841096364528,691.3625178337097
0,1.0,0.0,0.0,0.0,0.0,0.0144723409684189,0.0464452435838944,0.0050354576569594,-0.1844245122859029,0.0268409161897355,0.0008763051154823,0.2985477355521005,0.0,6.188117705328209,0.0,0.0,0.0159571094164438,0.7897352577476402,0.0626967424276152,0.0705097548052712,0.0839916804374672,594.0204708576202
0,1.0,0.0,0.0,0.0,1.0,0.0145966000307346,0.0479293524260795,0.0064593611504783,-0.154874414933128,0.043900490532796,0.0085141455659925,0.2593817225908735,0.0,6.18711423131191,-1.0582356408841131,-0.204051414514906,0.0126482547721207,0.7471324356253845,0.0561337049576319,0.0496267501316972,0.0838716138584224,525.1719188690186
0,1.0,1.0,0.0,0.0,0.0,0.0110027137198162,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2574545773551349,0.1818680480775775,0.5147053094541238,0.0,6.540083401202417,0.0,0.0,0.0209522236062905,0.8227511973009445,0.0763912138744065,0.0881621943227768,0.0856973368388898,140.46363258361816
0,1.0,1.0,0.0,0.0,0.0,0.0110027128143798,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2574547076284266,0.1818680631701178,0.5147048126756828,0.0,6.540215668266856,0.0,0.0,0.0209522236053057,0.8227511397455658,0.232479262338219,0.4123919190198811,0.6451480580740044,168.6258671283722
0,1.0,1.0,1.0,1.0,1.0,0.0110128060855262,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1772611530594838,0.0234071231149355,0.4628791957181461,0.0,6.468620952692989,-1.4663453228028045,0.4938467346410027,0.0185154039999554,0.7993331544821354,0.0697222553417722,0.0796734479447091,0.0854772063336999,189.85354566574097
0,0.0,1.0,1.0,0.0,0.0,0.0109108742997166,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.257471823065532,0.1818712497213428,0.485481669811142,0.0,6.923363148205088,0.0,0.0,0.0238807312704956,0.8570543694316577,0.0763912139774951,0.0881621943729027,0.1013535454776728,55.350712060928345
0,0.0,0.0,0.0,1.0,1.0,0.0134830090654581,0.0344700595430265,0.0067956531674827,-0.1507362654303476,0.0119697105690018,0.0234071231149355,0.2854030432826485,0.0,6.923363148205088,-1.062976366676024,-0.1763700862288572,0.0158821536753344,0.7908903924595158,0.0566687028432551,0.0502832566650716,0.1007095124233644,267.2105865478516
0,0.0,0.0,0.0,0.0,0.0,0.0131845310745895,0.03059774128575,0.0052685058826231,-0.1771971604508556,0.0316524864705184,0.0048451014696931,0.3359509978893715,0.0,6.923363148205088,0.0,0.0,0.0191001063520959,0.8280176646059861,0.1911696716895098,0.3315280394864027,0.757731302818568,314.4475655555725
0,0.0,1.0,0.0,0.0,1.0,0.0109183332978413,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2321136310025945,0.1765495067085927,0.4394167563133878,0.0,6.923363148205088,-1.287071463389626,0.1284296919216775,0.0213978901946853,0.8360676281085456,0.0683211473259775,0.0799962994990369,0.1016400663577501,297.6080048084259
0,1.0,0.0,1.0,1.0,0.0,0.0131864219395976,0.0309932326997797,0.0052544080540579,-0.1904585616005693,-0.0113551808967618,0.0234071231149355,0.4980791967471399,0.1135181243185326,6.583438721240233,0.0,0.0,0.0144290624329847,0.775513810124528,0.0628050471574121,0.0704728721564552,0.0742843373434794,651.2194821834564
0,0.0,0.0,0.0,0.0,1.0,0.0134882674209587,0.0345414233634881,0.0065312239468428,-0.1504270377733893,0.0478182087975935,0.0119429446168008,0.2848298643743034,0.0,6.923363148205088,-1.0613152427878378,-0.2013815498452484,0.0158140079776965,0.7906481156768145,0.0561741902951336,0.0501230904095114,0.1007280702196891,312.3798110485077
0,0.0,1.0,0.0,1.0,1.0,0.010919033472959,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1774681276176307,0.0234071231149355,0.4352579698409393,0.0,6.923363148205088,-1.4602428643820342,0.478731357625129,0.0214969014532816,0.8356404000070285,0.2120662097480568,0.3727700824313053,0.7636714584375154,164.35282111167908
0,0.0,0.0,0.0,0.0,0.0,0.0131845386562639,0.0305978422305816,0.0052685201057144,-0.1771969236534587,0.0316525761623918,0.0048451609843725,0.3359505024382779,0.0,6.923363148205088,0.0,0.0,0.019100106350662,0.8280176638256256,0.0628171443802253,0.0708749078513077,0.1006521741426612,212.56185698509216
0,1.0,0.0,0.0,1.0,1.0,0.0145930877974622,0.0478814714414817,0.0067287703376799,-0.1551927757051799,0.0084429687726682,0.0234071231149355,0.2598524824330396,0.0,6.18364971950875,-1.059221778132948,-0.1799702902642442,0.0127145220905364,0.7473871394143562,0.0566167405333998,0.049780731456758,0.0838507337924975,497.2846806049347
0,1.0,0.0,1.0,1.0,0.0,0.0131864219395976,0.0309932326997797,0.0052544080540579,-0.1904585616005693,-0.0113551808967618,0.0234071231149355,0.4980791967471399,0.1135181243185326,6.583438721240233,0.0,0.0,0.0144290624329847,0.775513810124528,0.0628050471574121,0.0704728721564552,0.0742843373434794,703.8546907901764
0,0.0,1.0,1.0,1.0,0.0,0.0109108628688523,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1867346315055689,0.0234071231149355,0.4854562231653955,0.0,6.923363148205088,0.0,0.0,0.0241458288096626,0.8575982160162867,0.0779976415281037,0.0882590250868358,0.1013535456530127,37.38265633583069
0,0.0,0.0,0.0,1.0,1.0,0.0134830090654581,0.0344700595430265,0.0067956531674827,-0.1507362654303476,0.0119697105690018,0.0234071231149355,0.2854030432826485,0.0,6.923363148205088,-1.062976366676024,-0.1763700862288572,0.0158821536753344,0.7908903924595158,0.0566687028432551,0.0502832566650716,0.1007095124233644,223.61819553375244
0,1.0,1.0,1.0,1.0,0.0,0.0110027133633579,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1867317586732581,0.0234071231149355,0.5147045433906955,0.0,6.540098008346905,0.0,0.0,0.0212173211234672,0.8233562239115231,0.077997770702386,0.0882589108686367,0.0856973368384766,93.66046357154846
0,1.0,1.0,0.0,1.0,1.0,0.0110128060855262,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1772611530594838,0.0234071231149355,0.4628791957181461,0.0,6.468620952692989,-1.4663453228028045,0.4938467346410027,0.0185154039999554,0.7993331544821354,0.0697222553417722,0.0796734479447091,0.0854772063336999,187.67799615859985
0,0.0,0.0,1.0,1.0,1.0,0.0128782357430868,0.0282177136810059,0.0066105333612446,-0.160105915895821,0.0009911863299112,0.0234071231149355,0.4257901852007056,0.1035532316361426,6.923363148205088,-1.0446370805065113,-0.1711597843118023,0.0144100144605479,0.7840119592429795,0.0565807968321386,0.0502645000733607,0.0931778295667126,289.3936281204224
0,1.0,0.0,1.0,0.0,0.0,0.0131852017737561,0.0309769415848923,0.0050299386186993,-0.1901035851506903,0.0150302783929082,-0.0107621475304038,0.4981224987915436,0.1134990410416304,6.587122530441172,0.0,0.0,0.0143989808559641,0.775291329237208,0.0626394010104863,0.0704070831133563,0.0742841096364528,670.6778175830841
0,0.0,0.0,0.0,1.0,0.0,0.0131840880141054,0.0305914735969999,0.0055076142535703,-0.177411761444552,0.0043210785094301,0.0234071231149355,0.3359949733907993,0.0,6.923363148205088,0.0,0.0,0.0191325853223537,0.828169921247548,0.1917026651815906,0.331872536976952,0.7577313017750613,358.3018841743469
0,0.0,1.0,0.0,0.0,1.0,0.0109183332978413,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2321136310025945,0.1765495067085927,0.4394167563133878,0.0,6.923363148205088,-1.287071463389626,0.1284296919216775,0.0213978901946853,0.8360676281085456,0.0683211473259775,0.0799962994990369,0.1016400663577501,243.2808175086975
0,0.0,0.0,1.0,1.0,0.0,0.012097368806955,0.0176159321178691,0.0053157655711982,-0.186118590964077,-0.0079601119293588,0.0234071231149355,0.5300156126696325,0.1079273680498309,6.923363148205088,0.0,0.0,0.0175981860337831,0.817854113885208,0.062916401789976,0.0707834648157218,0.092894636703455,377.27820777893066
0,1.0,1.0,0.0,1.0,1.0,0.0110128054268789,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.1772613579121054,0.0234071231149355,0.4628801745446749,0.0,6.468746142390916,-1.4663259354258888,0.4938659694370348,0.0185154039993586,0.799333125249954,0.2121838808013115,0.372684736951145,0.6434904086911463,276.3848602771759
0,0.0,0.0,1.0,0.0,0.0,0.012097440277864,0.0176164131460682,0.0050892494759213,-0.1857521733718429,0.0191742074297036,-0.0074016797329756,0.5299725384398057,0.1079008497068454,6.923363148205088,0.0,0.0,0.0175662409192142,0.8176570786681933,0.0627420557451864,0.070712578600045,0.0928945993468653,343.9144401550293
0,0.0,0.0,1.0,1.0,0.0,0.012097370506117,0.0176159547381471,0.0053158018732491,-0.1861180929003947,-0.0079600314872736,0.0234071231149355,0.53001550067925,0.1079273773727654,6.923363148205088,0.0,0.0,0.0175981860336788,0.8178541129522225,0.1914717390101034,0.331100300759743,0.6993308858957608,512.0015769004822
0,0.0,1.0,0.0,0.0,0.0,0.0109108742997166,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.257471823065532,0.1818712497213428,0.485481669811142,0.0,6.923363148205088,0.0,0.0,0.0238807312704956,0.8570543694316577,0.0763912139774951,0.0881621943729027,0.1013535454776728,47.83722114562988
0,1.0,1.0,0.0,0.0,1.0,0.0110118340272533,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2307094095218089,0.1765011568158263,0.4670712235128029,0.0,6.486077896619873,-1.293997148916071,0.1398955415700783,0.0184260208199268,0.7999161495494702,0.0683399597014887,0.0799864300182469,0.0857778627669274,250.50172662734985
0,1.0,0.0,0.0,1.0,1.0,0.0145930877974622,0.0478814714414817,0.0067287703376799,-0.1551927757051799,0.0084429687726682,0.0234071231149355,0.2598524824330396,0.0,6.18364971950875,-1.059221778132948,-0.1799702902642442,0.0127145220905364,0.7473871394143562,0.0566167405333998,0.049780731456758,0.0838507337924975,529.4132974147797
0,1.0,1.0,0.0,0.0,0.0,0.0110027137198162,0.0386507143458353,0.0019445037192226,-0.1937209094907704,0.2574545773551349,0.1818680480775775,0.5147053094541238,0.0,6.540083401202417,0.0,0.0,0.0209522236062905,0.8227511973009445,0.0763912138744065,0.0881621943227768,0.0856973368388898,110.74860405921936
0,1.0,0.0,1.0,1.0,1.0,0.0138797877065681,0.0403591245480911,0.0066230735144552,-0.1629101782215509,-0.0019985562862517,0.0234071231149355,0.4040084240379746,0.1093745215542675,6.544346266566297,-1.04418567223312,-0.1767405536971717,0.0111887106895166,0.7369085872358412,0.1720825505526841,0.2329457393917999,0.5588823739644307,560.5994780063629
