timestamp,type,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],_padding0[5],_padding0[6],waypoints[0].timestamp,waypoints[0].position[0],waypoints[0].position[1],waypoints[0].position[2],waypoints[0].velocity[0],waypoints[0].velocity[1],waypoints[0].velocity[2],waypoints[0].acceleration[0],waypoints[0].acceleration[1],waypoints[0].acceleration[2],waypoints[0].yaw,waypoints[0].yaw_speed,waypoints[0].point_valid,waypoints[0]._padding0[0],waypoints[0]._padding0[1],waypoints[0]._padding0[2],waypoints[1].timestamp,waypoints[1].position[0],waypoints[1].position[1],waypoints[1].position[2],waypoints[1].velocity[0],waypoints[1].velocity[1],waypoints[1].velocity[2],waypoints[1].acceleration[0],waypoints[1].acceleration[1],waypoints[1].acceleration[2],waypoints[1].yaw,waypoints[1].yaw_speed,waypoints[1].point_valid,waypoints[1]._padding0[0],waypoints[1]._padding0[1],waypoints[1]._padding0[2],waypoints[2].timestamp,waypoints[2].position[0],waypoints[2].position[1],waypoints[2].position[2],waypoints[2].velocity[0],waypoints[2].velocity[1],waypoints[2].velocity[2],waypoints[2].acceleration[0],waypoints[2].acceleration[1],waypoints[2].acceleration[2],waypoints[2].yaw,waypoints[2].yaw_speed,waypoints[2].point_valid,waypoints[2]._padding0[0],waypoints[2]._padding0[1],waypoints[2]._padding0[2],waypoints[3].timestamp,waypoints[3].position[0],waypoints[3].position[1],waypoints[3].position[2],waypoints[3].velocity[0],waypoints[3].velocity[1],waypoints[3].velocity[2],waypoints[3].acceleration[0],waypoints[3].acceleration[1],waypoints[3].acceleration[2],waypoints[3].yaw,waypoints[3].yaw_speed,waypoints[3].point_valid,waypoints[3]._padding0[0],waypoints[3]._padding0[1],waypoints[3]._padding0[2],waypoints[4].timestamp,waypoints[4].position[0],waypoints[4].position[1],waypoints[4].position[2],waypoints[4].velocity[0],waypoints[4].velocity[1],waypoints[4].velocity[2],waypoints[4].acceleration[0],waypoints[4].acceleration[1],waypoints[4].acceleration[2],waypoints[4].yaw,waypoints[4].yaw_speed,waypoints[4].point_valid,waypoints[4]._padding0[0],waypoints[4]._padding0[1],waypoints[4]._padding0[2]
175603801,0,0,0,0,0,0,0,0,0,nan,nan,-0.9785359,nan,nan,-0.9785359,nan,nan,-0.9785359,2.9825392,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175612950,0,0,0,0,0,0,0,0,0,nan,nan,-0.97899884,nan,nan,-0.97899884,nan,nan,-0.97899884,2.9825366,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175620626,0,0,0,0,0,0,0,0,0,nan,nan,-0.9795313,nan,nan,-0.9795313,nan,nan,-0.9795313,2.9825568,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175628474,0,0,0,0,0,0,0,0,0,nan,nan,-0.98003703,nan,nan,-0.98003703,nan,nan,-0.98003703,2.9825573,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175637152,0,0,0,0,0,0,0,0,0,nan,nan,-0.98053676,nan,nan,-0.98053676,nan,nan,-0.98053676,2.9825559,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175644670,0,0,0,0,0,0,0,0,0,nan,nan,-0.9809808,nan,nan,-0.9809808,nan,nan,-0.9809808,2.9825666,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175652342,0,0,0,0,0,0,0,0,0,nan,nan,-0.98141927,nan,nan,-0.98141927,nan,nan,-0.98141927,2.9825711,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175661174,0,0,0,0,0,0,0,0,0,nan,nan,-0.9818527,nan,nan,-0.9818527,nan,nan,-0.9818527,2.9825766,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175668741,0,0,0,0,0,0,0,0,0,nan,nan,-0.98228806,nan,nan,-0.98228806,nan,nan,-0.98228806,2.9825847,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175676486,0,0,0,0,0,0,0,0,0,nan,nan,-0.982718,nan,nan,-0.982718,nan,nan,-0.982718,2.9825785,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
