timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
175374821,0.01,50.0,8.389999,0.0,1,0,4,6
175406876,0.01,50.0,8.45,0.0,0,0,4,6
175438865,0.01,50.0,8.42,0.0,64,0,4,6
175471521,0.01,50.0,8.46,0.0,64,0,4,6
175503493,0.01,50.0,8.42,0.0,64,0,4,6
175535765,0.01,50.0,8.4,0.0,0,0,4,6
175567677,0.01,50.0,8.42,0.0,64,0,4,6
175599684,0.01,50.0,8.389999,0.0,4,0,4,6
175632454,0.01,50.0,8.45,0.0,64,0,4,6
175664758,0.01,50.0,8.41,0.0,64,0,4,6
175696522,0.01,50.0,8.46,0.0,4,0,4,6
175728742,0.01,50.0,8.57,0.0,64,0,4,6
175760759,0.01,50.0,8.389999,0.0,64,0,4,6
175792786,0.01,50.0,8.42,0.0,52,0,4,6
175824759,0.01,50.0,8.33,0.0,64,0,4,6
175856742,0.01,50.0,8.349999,0.0,64,0,4,6
175888742,0.01,50.0,8.28,0.0,64,0,4,6
175920928,0.01,50.0,8.309999,0.0,64,0,4,6
175952763,0.01,50.0,8.23,0.0,64,0,4,6
175984295,0.01,50.0,8.34,0.0,64,0,4,6
176014842,0.01,50.0,8.23,0.0,64,0,4,6
176046930,0.01,50.0,8.309999,0.0,0,0,4,6
176078890,0.01,50.0,8.29,0.0,0,0,4,6
176110850,0.01,50.0,8.179999,0.0,64,0,4,6
176141918,0.01,50.0,8.23,0.0,64,0,4,6
176174011,0.01,50.0,8.32,0.0,0,0,4,6
176205949,0.01,50.0,8.26,0.0,64,0,4,6
176238109,0.01,50.0,8.25,0.0,0,0,4,6
176269934,0.01,50.0,8.309999,0.0,64,0,4,6
176302007,0.01,50.0,8.29,0.0,64,0,4,6
176333918,0.01,50.0,8.46,0.0,64,0,4,6
176365913,0.01,50.0,8.33,0.0,64,0,4,6
176398178,0.01,50.0,8.38,0.0,0,0,4,6
176429572,0.01,50.0,8.33,0.0,64,0,4,6
176461932,0.01,50.0,8.29,0.0,64,0,4,6
176493980,0.01,50.0,8.22,0.0,0,0,4,6
176526039,0.01,50.0,8.21,0.0,0,0,4,6
176558147,0.01,50.0,8.26,0.0,64,0,4,6
176590049,0.01,50.0,8.28,0.0,64,0,4,6
176622009,0.01,50.0,8.26,0.0,64,0,4,6
176653922,0.01,50.0,8.099999,0.0,64,0,4,6
176686133,0.01,50.0,8.26,0.0,64,0,4,6
176718209,0.01,50.0,8.26,0.0,0,0,4,6
