timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
175388475,13.5956,13.606613,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
175883765,13.571,13.595921,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
176389347,13.571,13.585606,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
176893284,13.5628,13.573509,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
177398859,13.5628,13.567667,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
177890795,13.5546,13.56202,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
178396415,13.5546,13.560007,0.0,3.5e-44,0.0,0.70442605,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
178902030,13.4398,13.522763,0.19839999,0.21342444,0.0,0.7507692,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
179394211,13.3906,13.479982,0.5456,0.40882847,0.0,0.8290706,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
179899697,12.8986,13.395337,3.7324,1.0828426,0.0,1.028446,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
180403635,12.956,13.246639,3.3727999,2.4148374,0.0,1.502938,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
180897805,12.4722,12.988173,6.696,4.7237678,0.0,2.3725994,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
181906921,12.3738,12.664757,6.5843997,6.232761,0.0,4.2130075,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
182410911,11.9966,12.478763,8.8907995,7.4358916,0.0,5.3422585,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
182904498,12.2918005,12.414202,6.82,7.1986485,0.0,6.3201528,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
183408577,12.2672,12.380498,6.7952,6.9585147,0.0,7.2695518,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
183913325,12.3,12.35377,6.6836,6.812496,0.0,8.210012,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
184405244,12.259,12.3028,6.9068,7.0854354,0.0,9.209626,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
184910844,12.3,12.265074,6.7827997,7.104994,0.0,10.227004,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
185414914,12.2016,12.264914,6.9936,6.8772135,0.0,11.166107,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
186918167,12.2836,12.199053,6.6588,7.0571465,0.0,14.108804,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
187423716,13.2512,12.263877,0.248,6.2138433,0.0,14.932778,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
187915662,13.2758,12.606616,0.0,2.714567,0.0,14.932943,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
188421446,13.2758,12.8399105,0.0,1.1619734,0.0,14.932943,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
188925288,13.2922,12.996584,0.0,0.49738365,0.0,14.932943,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
189418839,13.3496,13.100392,0.0,0.21725057,0.0,14.932943,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
189922836,13.3332,13.17911,0.0,0.09299433,0.0,14.932943,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
190428483,13.3004,13.233756,0.0,0.03980632,0.0,14.932943,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
190920416,13.3086,13.247892,0.0,0.09255657,0.0,14.957575,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
191426133,13.243,13.235866,0.124,0.33258122,0.0,15.02384,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
