timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
175651222,-0.0032426754,0.0016852437,-0.001662472,4000,0,0.013633949,0.03922306,-9.751115,4000
175655222,-0.0027072448,0.0015840888,-0.001443081,4000,0,0.01574567,0.032337315,-9.737748,4000
175659221,-0.0016648325,0.0019063625,0.00047433525,3999,0,0.005845862,0.027119193,-9.735563,3999
175663230,-0.0022774462,-0.0018182609,-0.0017676383,4009,0,-0.016523805,0.050003707,-9.734319,4009
175667223,-0.0012016165,0.002016009,-0.002697498,3993,0,-0.0070567266,0.028996868,-9.745646,3993
175671222,-0.0018575737,0.0024444696,-0.0013184999,3999,0,-0.009329878,0.017566064,-9.751414,3999
175675222,-0.0029382776,0.0017932553,-6.1625964e-05,4000,0,-0.022284862,0.022254122,-9.723565,4000
175679237,-0.0005014449,0.00041019366,0.00082369545,4015,0,-0.02390354,0.04854003,-9.705174,4015
175683230,-0.0018531554,0.0013797178,-0.0021856686,3993,0,0.0049509713,0.026119845,-9.737518,3993
175687247,-0.0015328901,0.0029574204,-0.0017301197,4017,0,-0.008260038,0.017582206,-9.732014,4017
175691222,-0.001535891,9.148417e-05,-0.0013250448,3975,0,-0.031493127,0.049585667,-9.73687,3975
175695222,-0.0042858804,0.0007363975,-0.002849349,4000,0,-0.0114433495,0.054312892,-9.730927,4000
175699228,-0.0029285066,0.00083988486,-0.0008032721,4006,0,-0.009035991,0.034241423,-9.74185,4006
175703226,-0.0021586874,0.0005240094,-0.0026120576,3998,0,0.00079871964,0.06052226,-9.738356,3998
175707222,-0.0017055777,0.0025577724,-0.004400165,3996,0,-0.007991447,0.002024469,-9.743736,3996
175711222,-0.0007528786,0.0030927588,-0.005571598,4000,0,-0.006301285,0.05191657,-9.74303,4000
175715248,-0.0006560614,0.0029728932,-0.005883329,4026,0,0.002531458,0.006157546,-9.762327,4026
175719222,-0.00290599,0.0020148822,-0.0046519293,3974,0,-0.0035090044,0.076286845,-9.7417145,3974
175723246,-0.0013738272,0.0009608677,-0.0069706403,4024,0,-0.004604148,0.0415186,-9.739905,4024
175727222,-0.00013796415,0.0035304846,-0.00885282,3976,0,-0.012261889,0.055568144,-9.718006,3976
175731222,-0.0010039759,0.000116583244,-0.009406993,4000,0,0.013561617,0.0696554,-9.704391,4000
175735222,-0.0005569071,0.003208202,-0.011308714,4000,0,-0.024595302,0.027988115,-9.725474,4000
175739222,-0.0016456704,0.00074581295,-0.008889138,4000,0,-0.015754463,0.07413769,-9.731157,4000
175743262,-0.0023278329,0.0011659892,-0.009537701,4040,0,0.019074637,-0.04110111,-9.7243805,4040
175747222,-0.00082539365,0.0014097947,-0.010355777,3960,0,0.024066277,0.11949866,-9.7146225,3960
175751228,-0.005474675,0.0004417339,-0.011059397,4006,0,-0.011601189,-0.051031835,-9.72379,4006
175755222,0.001844923,0.002454822,-0.00968093,3994,0,0.027906934,0.09792596,-9.745512,3994
175759222,-0.0060698404,-0.0005576843,-0.00968047,4000,0,-0.040617865,0.029843114,-9.671506,4000
175763230,0.000334313,0.0031880895,-0.0065105986,4008,0,0.05434538,0.03324753,-9.731053,4008
175767222,-0.0060177413,-0.00041737736,-0.008089913,3992,0,-0.068903364,0.08802236,-9.6888685,3992
175771257,-0.0046191067,0.0034943032,-0.004867855,4035,0,0.009820826,-0.01238774,-9.807463,4035
175775222,0.0009838741,0.0006361367,-0.00394831,3965,0,0.009320188,0.039346527,-9.69567,3965
175779222,-0.01429901,0.0029405418,-0.004143832,4000,0,-0.02070214,0.10677148,-9.78385,4000
175783222,0.009235904,0.001804075,-0.0021416598,4000,0,0.025272591,-0.08335145,-9.7042055,4000
175787222,-0.011469871,0.0042152163,0.0017416856,4000,0,0.013598966,0.14651869,-9.767343,4000
175791234,0.0006880176,-0.00033808275,0.0011474876,4012,0,-0.025222521,-0.03989172,-9.744696,4012
175795222,-0.009690277,-0.000895037,0.0023940832,3988,0,0.024640288,0.06819828,-9.7581005,3988
175799248,-0.004024381,0.0026505564,0.0032230713,4026,0,0.016453456,0.05859646,-9.780831,4026
175803222,-0.007254421,0.00010926669,0.0040358193,3974,0,-0.034065135,0.03427284,-9.724796,3974
175807221,-0.0041754954,-0.0010890819,0.0050224126,3999,0,0.028921226,0.0806151,-9.738385,3999
175811222,-0.0048317253,0.0015617887,0.006404665,4001,0,-0.008302856,-0.022683239,-9.723046,4001
175815222,-0.0052493815,0.0033748099,0.005231404,4000,0,0.0075197937,0.06640326,-9.757701,4000
175819222,-0.007245685,0.0017038966,0.0077309553,4000,0,0.01983805,0.01058421,-9.744256,4000
175823222,-0.0030529888,-0.0018465684,0.00758685,4000,0,-0.031659782,0.053084277,-9.74477,4000
175827239,-0.003350643,0.00029827317,0.008555698,4017,0,-0.017118625,0.027662367,-9.732826,4017
175831223,-0.009152577,0.002080774,0.0090127215,3984,0,0.0361798,0.011285457,-9.770823,3984
175835222,0.002041076,0.0012356935,0.009047264,3999,0,-0.005230538,0.054827865,-9.704787,3999
175839222,-0.008522722,0.0026406264,0.0088084275,4000,0,-0.009507678,0.068497255,-9.77401,4000
175843231,0.0013778255,0.003332907,0.008831289,4009,0,0.016839653,-0.019467182,-9.763,4009
175847225,-0.0039748517,0.00093252707,0.006737744,3994,0,-0.0010313895,0.19597362,-9.7683525,3994
175851263,-0.0033847294,0.0047313166,0.007272871,4038,0,-0.029153971,-0.030476259,-9.735896,4038
175855248,0.0033368424,0.0031299514,0.009090492,3985,0,-0.008817031,-0.02243978,-9.812013,3985
175859221,-0.0066000912,0.0011292247,0.010251761,3973,0,-0.037201848,0.16828965,-9.684082,3973
175863227,0.0014236653,0.00060700846,0.00946283,4006,0,0.020623758,-0.03776439,-9.722077,4006
175867222,0.005157582,0.0011994519,0.0097264,3995,0,-0.065542206,0.013109047,-9.742572,3995
175871231,-0.008238952,0.0014525759,0.00838286,4009,0,0.015274333,0.14983073,-9.820058,4009
175875221,0.005977576,0.0017467858,0.008774627,3990,0,0.06524173,-0.0070182947,-9.663322,3990
175879222,-0.0033719193,-0.003073251,0.007277729,4001,0,-0.13100393,0.12187833,-9.816639,4001
175883248,0.0018306134,0.002158175,0.0038383505,4026,0,0.044331245,0.012281615,-9.709365,4026
175887222,-0.0060477215,0.0009234795,0.0037235033,3974,0,-0.0006805364,0.09620939,-9.740084,3974
175891222,-0.0006087515,-0.005657271,0.0007990709,4000,0,-0.07737829,0.003907695,-9.65559,4000
175895234,-0.0025037876,0.0026400029,-0.00048439277,4012,0,-0.009298986,0.058988318,-9.7497225,4012
175899222,-0.0037502672,0.0008466941,0.00025435214,3988,0,-0.019286484,0.13709287,-9.730627,3988
175903222,-0.003985638,-0.0042693876,-0.0013692194,4000,0,-0.005682842,0.007381356,-9.706789,4000
175907222,-0.00079493533,-0.0019625023,-0.0032295485,4000,0,-0.027944092,0.09329386,-9.726811,4000
175911234,-0.00864241,-0.0035094032,-0.0038805036,4012,0,-0.0029983283,0.069574684,-9.782858,4012
175915222,-0.0031745282,-0.00043395304,-0.0056004943,3988,0,0.02236835,0.051618755,-9.737578,3988
175919222,-0.005711291,0.004037525,-0.0071258275,4000,0,-0.0147429835,0.045039967,-9.682565,4000
175923222,-0.008477413,-0.0035071294,-0.007918025,4000,0,0.0063794875,0.12761442,-9.772244,4000
175927222,-0.0037371258,0.001248389,-0.009947778,4000,0,-0.0396533,-0.04205576,-9.741596,4000
175931229,-0.0059645195,0.0023531679,-0.011701088,4007,0,0.042451773,0.11279943,-9.722398,4007
175935227,-0.00195398,0.00065613847,-0.010272332,3998,0,0.005749457,0.056191355,-9.723148,3998
175939239,-0.0047012796,0.000119454045,-0.009876072,4012,0,0.018440086,0.05398487,-9.7382,4012
175943222,0.0027479313,0.0054565184,-0.009873103,3983,0,-1.7785385e-05,-0.022980768,-9.775374,3983
175947222,-0.007633452,0.00018145937,-0.010120707,4000,0,-0.013202085,0.09916318,-9.694738,4000
175951222,0.0066553145,0.0040534623,-0.009509465,4000,0,0.019239988,-0.026265882,-9.827538,4000
175955222,-0.0034778686,-0.0015881537,-0.008591902,4000,0,0.019335397,0.081012614,-9.721023,4000
175959263,0.0013075717,0.0030868633,-0.008405353,4041,0,-0.029417448,-0.014517556,-9.774233,4041
175963222,0.0016460652,0.0050062127,-0.009569315,3959,0,0.047342688,0.031903565,-9.7026,3959
175967248,-0.0034806486,0.005847049,-0.0077138017,4026,0,-0.051853698,0.035477247,-9.7820215,4026
175971221,0.0015752893,0.008289736,-0.0063677835,3973,0,0.055197172,-0.043849066,-9.68813,3973
175975224,-0.0008515038,-0.00031684063,-0.0055739423,4003,0,-0.07884464,0.107685246,-9.706483,4003
175979261,-0.0018383272,0.006677871,-0.0024826068,4037,0,0.045286853,-0.025386276,-9.695393,4037
175983221,0.0017778089,0.0045786276,-0.001798251,3960,0,-0.010528713,0.017200002,-9.740999,3960
175987221,-0.0026598538,0.00017062564,0.00036109993,4000,0,-0.055646945,0.11769631,-9.716535,4000
175991222,-0.00022592294,0.003165322,0.004233497,4001,0,0.054123882,-0.042302072,-9.709994,4001
175995235,-2.1743785e-05,0.0034702006,0.0033840847,4013,0,-0.06440675,0.09216572,-9.851378,4013
175999232,-0.0013232392,0.0028786669,0.004118729,3997,0,0.039279282,0.013657756,-9.691615,3997
176003221,-0.0003225165,0.0013602149,0.0044379393,3989,0,-0.029398194,0.06855648,-9.740042,3989
176007229,-0.0015112008,-0.0022766015,0.0045200153,4008,0,-0.03847087,0.04915652,-9.679011,4008
176011221,-0.00045951287,0.0013455867,0.0057173637,3992,0,0.047670145,0.028454393,-9.787221,3992
176015222,-0.006123904,-0.000569295,0.0075537954,4001,0,-0.051818922,0.075223766,-9.681107,4001
176019249,-0.0024622087,-0.0015211812,0.005258638,4027,0,0.037158094,0.051361974,-9.736499,4027
176023248,-0.0010471538,0.0030689212,0.0056922724,3999,0,-0.05124205,-0.021632211,-9.697442,3999
176027222,-0.00702217,-0.0014099294,0.00423984,3974,0,0.04236324,0.124220796,-9.745194,3974
176031221,0.00032689326,0.00018227872,0.0034893965,3999,0,-0.008651747,-0.048175015,-9.659223,3999
176035222,-0.008705204,-0.0059791114,0.001332308,4001,0,0.020909183,0.105677925,-9.810511,4001
176039222,0.0051264856,0.002694241,0.00057732576,4000,0,-0.051053643,-0.026617233,-9.652096,4000
176043221,-0.013022415,-0.0057567134,0.0003121929,3999,0,-0.008094668,0.1340576,-9.798122,3999
176047222,-0.002064927,0.0049259057,0.00050142076,4001,0,0.023326525,-0.070132986,-9.565004,4001
176051256,-0.00825842,-0.0023126327,-0.0009961645,4034,0,-0.015586408,0.1627531,-9.895615,4034
176055222,-0.004023784,0.003172446,-0.0002876566,3966,0,-0.00884663,-0.06543305,-9.536943,3966
176059226,-0.0063180705,0.0032768182,-0.0026476786,4004,0,0.008018853,0.085027985,-9.886238,4004
176063222,-0.005572264,0.00020022765,-0.0025473593,3996,0,0.040336978,0.119853556,-9.660268,3996
176067221,0.003746597,0.0038321656,-0.0036895985,3999,0,0.02112946,-0.10395843,-9.762291,3999
176071222,-0.00094152684,0.003060536,-0.002588699,4001,0,-0.015199007,0.19178501,-9.742754,4001
176075222,-0.0085671935,0.0017172361,-0.004595428,4000,0,0.025313677,-0.0064608403,-9.726079,4000
176079237,0.0073345895,0.0030883476,-0.0055610067,4015,0,0.038812734,0.12614201,-9.781045,4015
176083222,-0.0033812663,0.003526931,-0.007506108,3985,0,-0.066213466,0.0011342701,-9.669711,3985
176087261,0.007124206,0.004802023,-0.008654782,4039,0,-0.00858714,0.04785931,-9.802635,4039
176091222,-0.009010162,0.0048392396,-0.0078881495,3961,0,0.10092984,0.08371767,-9.700404,3961
176095221,0.012203678,0.004629763,-0.0043205307,3999,0,-0.09385433,-0.061434373,-9.715529,3999
176099222,-0.0025378831,0.003845903,-0.0021777113,4001,0,0.024057705,0.014306754,-9.78721,4001
176103222,-0.0038328154,0.0009396267,-0.0043311142,4000,0,-0.036671758,0.08053575,-9.726573,4000
176107223,0.008375179,0.0006323293,-0.0027918397,4001,0,0.0426095,-0.042159226,-9.758955,4001
176111222,0.00036134137,0.0027674055,-0.00022560838,3999,0,-0.03391464,0.025442624,-9.717826,3999
176115222,0.00013950147,0.0050482336,-0.0013903622,4000,0,-0.038970016,0.04040455,-9.80139,4000
176119222,-0.0038966897,-0.0025530367,-0.002104472,4000,0,0.06366455,0.06970504,-9.721759,4000
176123222,0.0051214295,-0.0013124766,0.0015116787,4000,0,-0.016716706,0.0037719824,-9.644164,4000
176127225,-0.0017078207,0.0020820117,-0.0008017938,4003,0,-0.0735426,0.033028305,-9.812719,4003
176132021,-0.004979639,-0.0054644207,0.00093894475,4796,0,-0.022629393,0.19607075,-9.754722,4796
176136821,-0.0012606755,-0.0056450823,-0.0013009497,4800,0,-0.0121306125,-0.0019505916,-9.69418,4800
176140851,0.0033761763,0.0043863086,0.0007505816,4030,0,-0.016155679,0.12477718,-9.690301,4030
176144822,-0.010515023,0.0019023104,0.003792417,3971,0,-0.03042146,0.014619206,-9.840771,3971
176148822,0.0038481955,-0.007044838,0.0007468968,4000,0,0.010871486,0.120725915,-9.586652,4000
176152822,0.0004714746,0.0060443394,0.00020731032,4000,0,0.015043347,-0.03768239,-9.807803,4000
176156822,-0.011063113,-0.005036922,0.0009877718,4000,0,-0.12713432,0.1827826,-9.795536,4000
176160865,-0.007447579,0.0046076425,0.0027289265,4043,0,0.076902,-0.09770509,-9.606665,4043
176164837,0.00969945,-0.0054387455,0.0007077939,3972,0,0.016280124,0.10736254,-9.786661,3972
176168821,-0.013480967,0.0035040649,0.0010941263,3984,0,-0.03289071,0.08847951,-9.680417,3984
176172822,-0.0025170087,0.005091243,0.0011177597,4001,0,0.055189032,-0.026347611,-9.913366,4001
