timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
175388022,32767,32767,32767,32767,32767,-65,32767,32767
175392830,32767,-1,32767,32767,-79,32767,32767,32767
175396823,32767,32767,32767,32767,32767,32767,32767,32767
175400826,32767,32767,32767,32767,32767,32767,32767,32767
175404822,32767,32767,32767,32767,32767,32767,32767,32767
175436822,32767,32767,32767,32767,-63,-87,32767,32767
175440860,32767,32767,32767,32767,32767,32767,32767,32767
175444828,32767,32767,32767,32767,32767,32767,32767,32767
175448822,32767,32767,32767,32767,32767,32767,32767,32767
175452822,32767,32767,32767,32767,32767,32767,32767,32767
175456835,32767,-20,32767,32767,-53,-53,32767,32767
175460822,32767,32767,32767,32767,32767,32767,32767,32767
175465621,32767,32767,32767,32767,32767,32767,32767,32767
175470422,32767,32767,32767,32767,-83,32767,32767,32767
175474456,32767,32767,32767,32767,32767,32767,32767,32767
175478421,32767,32767,32767,32767,-68,32767,32767,32767
175482421,32767,32767,32767,32767,32767,-65,32767,32767
175486421,32767,32767,32767,32767,32767,32767,32767,32767
175490421,32767,-30,32767,32767,32767,32767,32767,32767
175494473,32767,32767,32767,32767,32767,32767,32767,32767
175498422,32767,32767,32767,32767,-61,32767,32767,32767
175502421,32767,32767,32767,32767,32767,32767,32767,32767
175506427,32767,32767,32767,32767,32767,-90,32767,32767
175510421,32767,32767,32767,32767,-68,32767,32767,32767
175514459,32767,32767,32767,32767,32767,32767,32767,32767
175518421,32767,32767,32767,32767,32767,32767,32767,32767
175522422,32767,-29,32767,32767,-58,32767,32767,32767
175526427,32767,32767,32767,32767,32767,32767,32767,32767
175530424,32767,32767,32767,32767,32767,32767,32767,32767
175534422,32767,32767,32767,32767,32767,-94,32767,32767
175538471,32767,32767,32767,32767,32767,32767,32767,32767
175542422,32767,32767,32767,32767,-50,32767,32767,32767
175546461,32767,32767,32767,32767,32767,32767,32767,32767
175550422,32767,32767,32767,32767,32767,32767,32767,32767
175554423,32767,-27,32767,32767,-59,-58,32767,32767
175558422,32767,32767,32767,32767,32767,32767,32767,32767
175562422,32767,32767,32767,32767,32767,32767,32767,32767
175566427,32767,32767,32767,32767,-69,32767,32767,32767
175570421,32767,32767,32767,32767,32767,32767,32767,32767
175574422,32767,32767,32767,32767,32767,32767,32767,32767
175578435,32767,32767,32767,32767,32767,-58,32767,32767
175582423,32767,32767,32767,32767,32767,32767,32767,32767
175586422,32767,-26,-62,32767,-67,32767,32767,32767
175590422,32767,32767,32767,32767,32767,32767,32767,32767
175594422,32767,32767,32767,32767,-45,32767,32767,32767
175598422,32767,32767,32767,32767,32767,32767,32767,32767
175602443,32767,32767,32767,32767,32767,32767,32767,32767
175607227,32767,32767,32767,32767,-74,-98,32767,32767
175611221,32767,32767,32767,32767,32767,32767,32767,32767
175615232,32767,32767,32767,32767,32767,32767,32767,32767
175619222,32767,-30,32767,32767,32767,32767,32767,32767
175623236,32767,32767,32767,32767,32767,32767,32767,32767
175627222,32767,32767,32767,32767,-53,-53,32767,32767
175631248,32767,32767,32767,32767,32767,32767,32767,32767
175635222,32767,32767,32767,32767,32767,32767,32767,32767
175639229,32767,32767,32767,32767,-66,32767,32767,32767
175643222,32767,32767,32767,32767,32767,32767,32767,32767
175647222,32767,32767,32767,32767,32767,32767,32767,32767
175651222,32767,-27,32767,32767,-63,-63,32767,32767
175655222,32767,32767,32767,32767,32767,32767,32767,32767
175659221,32767,32767,32767,32767,32767,32767,32767,32767
175663230,32767,32767,32767,32767,32767,32767,32767,32767
175667223,32767,32767,32767,32767,32767,32767,32767,32767
175671222,32767,32767,32767,32767,-46,32767,32767,32767
175675222,32767,32767,32767,32767,32767,-58,32767,32767
175679237,32767,32767,32767,32767,32767,32767,32767,32767
175683230,32767,-23,32767,32767,-66,32767,32767,32767
175687247,32767,32767,32767,32767,32767,32767,32767,32767
175691222,32767,32767,32767,32767,-45,32767,32767,32767
175695222,32767,32767,32767,32767,32767,32767,32767,32767
175699228,32767,32767,32767,32767,32767,32767,32767,32767
175703226,32767,32767,32767,32767,32767,-87,32767,32767
175707222,32767,32767,32767,32767,32767,32767,32767,32767
175711222,32767,32767,32767,32767,32767,32767,32767,32767
175715248,32767,-30,32767,32767,-54,32767,32767,32767
175719222,32767,32767,32767,32767,32767,32767,32767,32767
175723246,32767,32767,32767,32767,32767,-52,32767,32767
175727222,32767,32767,32767,32767,-68,32767,32767,32767
175731222,32767,32767,32767,32767,32767,32767,32767,32767
175735222,32767,32767,32767,32767,32767,32767,32767,32767
175739222,32767,32767,32767,32767,-58,32767,32767,32767
175743262,32767,32767,32767,32767,32767,32767,32767,32767
175747222,32767,-25,32767,32767,32767,-58,32767,32767
175751228,32767,32767,32767,32767,32767,32767,32767,32767
175755222,32767,32767,32767,32767,32767,32767,32767,32767
175759222,32767,32767,32767,32767,-47,32767,32767,32767
175763230,32767,32767,32767,32767,32767,32767,32767,32767
175767222,32767,32767,32767,32767,32767,32767,32767,32767
175771257,32767,32767,32767,32767,-63,-63,32767,32767
175775222,32767,32767,32767,32767,32767,32767,32767,32767
175779222,32767,-29,32767,32767,32767,32767,32767,32767
175783222,32767,32767,-46,32767,-68,32767,32767,32767
175787222,32767,32767,32767,32767,32767,32767,32767,32767
175791234,32767,32767,32767,32767,32767,32767,32767,32767
175795222,32767,32767,32767,32767,32767,-87,32767,32767
175799248,32767,32767,32767,32767,32767,32767,32767,32767
175803222,32767,32767,32767,32767,-58,32767,32767,32767
175807221,32767,32767,32767,32767,32767,32767,32767,32767
175811222,32767,-29,32767,32767,32767,32767,32767,32767
175815222,32767,32767,32767,32767,-68,32767,32767,32767
175819222,32767,32767,32767,32767,32767,32767,32767,32767
175823222,32767,32767,32767,32767,32767,-90,32767,32767
175827239,32767,32767,32767,32767,-59,32767,32767,32767
175831223,32767,32767,32767,32767,32767,32767,32767,32767
175835222,32767,32767,32767,32767,32767,32767,32767,32767
175839222,32767,32767,32767,32767,32767,32767,32767,32767
175843231,32767,-25,32767,32767,32767,-58,32767,32767
175847225,32767,32767,32767,32767,-46,32767,32767,32767
175851263,32767,32767,32767,32767,32767,32767,32767,32767
175855248,32767,32767,32767,32767,32767,32767,32767,32767
175859221,32767,32767,32767,32767,-62,32767,32767,32767
175863227,32767,32767,32767,32767,32767,32767,32767,32767
175867222,32767,32767,32767,32767,32767,-63,32767,32767
175871231,32767,32767,32767,32767,-73,32767,32767,32767
175875221,32767,-25,32767,32767,32767,32767,32767,32767
175879222,32767,32767,32767,32767,32767,32767,32767,32767
175883248,32767,32767,32767,32767,32767,32767,32767,32767
175887222,32767,32767,32767,32767,32767,32767,32767,32767
175891222,32767,32767,32767,32767,-62,-87,32767,32767
175895234,32767,32767,32767,32767,32767,32767,32767,32767
175899222,32767,32767,32767,32767,-46,32767,32767,32767
175903222,32767,32767,32767,32767,32767,32767,32767,32767
175907222,32767,-25,32767,32767,32767,32767,32767,32767
175911234,32767,32767,32767,32767,-61,32767,32767,32767
175915222,32767,32767,32767,32767,32767,-87,32767,32767
175919222,32767,32767,32767,32767,32767,32767,32767,32767
175923222,32767,32767,32767,32767,32767,32767,32767,32767
175927222,32767,32767,32767,32767,32767,32767,32767,32767
175931229,32767,32767,32767,32767,32767,32767,32767,32767
175935227,32767,32767,32767,32767,-70,32767,32767,32767
175939239,32767,-25,32767,32767,32767,-87,32767,32767
175943222,32767,32767,32767,32767,-46,32767,32767,32767
175947222,32767,32767,32767,32767,32767,32767,32767,32767
175951222,32767,32767,32767,32767,32767,32767,32767,32767
175955222,32767,32767,32767,32767,-58,32767,32767,32767
175959263,32767,32767,32767,32767,32767,32767,32767,32767
175963222,32767,32767,32767,32767,32767,-86,32767,32767
175967248,32767,32767,32767,32767,32767,32767,32767,32767
175971221,32767,-25,32767,32767,32767,32767,32767,32767
175975224,32767,32767,32767,32767,32767,32767,32767,32767
175979261,32767,32767,32767,32767,-59,32767,32767,32767
175983221,32767,32767,-46,32767,32767,32767,32767,32767
175987221,32767,32767,32767,32767,32767,-59,32767,32767
175991222,32767,32767,32767,32767,-67,32767,32767,32767
175995235,32767,32767,32767,32767,32767,32767,32767,32767
175999232,32767,32767,32767,32767,32767,32767,32767,32767
176003221,32767,-27,32767,32767,-58,32767,32767,32767
176007229,32767,32767,32767,32767,32767,32767,32767,32767
176011221,32767,32767,32767,32767,32767,-52,32767,32767
176015222,32767,32767,32767,32767,32767,32767,32767,32767
176019249,32767,32767,32767,32767,32767,32767,32767,32767
176023248,32767,32767,32767,32767,32767,32767,32767,32767
176027222,32767,32767,32767,32767,-58,32767,32767,32767
176031221,32767,32767,32767,32767,32767,32767,32767,32767
176035222,32767,-29,32767,32767,32767,-63,32767,32767
176039222,32767,32767,32767,32767,-68,32767,32767,32767
176043221,32767,32767,32767,32767,32767,32767,32767,32767
176047222,32767,32767,32767,32767,-43,32767,32767,32767
176051256,32767,32767,32767,32767,32767,32767,32767,32767
176055222,32767,32767,32767,32767,32767,32767,32767,32767
176059226,32767,32767,32767,32767,32767,-87,32767,32767
176063222,32767,32767,32767,32767,32767,32767,32767,32767
176067221,32767,-25,32767,32767,32767,32767,32767,32767
176071222,32767,32767,32767,32767,-62,32767,32767,32767
176075222,32767,32767,32767,32767,32767,32767,32767,32767
176079237,32767,32767,32767,32767,32767,32767,32767,32767
176083222,32767,32767,32767,32767,-60,32767,32767,32767
176087261,32767,32767,32767,32767,32767,-82,32767,32767
176091222,32767,32767,32767,32767,32767,32767,32767,32767
176095221,32767,32767,32767,32767,-70,32767,32767,32767
176099222,32767,-25,32767,32767,32767,32767,32767,32767
176103222,32767,32767,32767,32767,32767,32767,32767,32767
176107223,32767,32767,32767,32767,32767,32767,32767,32767
176111222,32767,32767,32767,32767,32767,-84,32767,32767
