timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
179254799,-0.0,-0.0,2.9827893,-0.0,0.07931828,0.0,-0.0,0.99684936,0.26624385,0.0,1,0,0,0,0,0,0
179358922,-0.0,-0.0,2.9827893,-0.0,0.07931828,0.0,-0.0,0.99684936,0.26581436,0.0,1,0,0,0,0,0,0
179463610,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.27299178,0.0,1,0,0,0,0,0,0
179559637,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.2943384,0.0,1,0,0,0,0,0,0
179663404,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.29573372,0.0,1,0,0,0,0,0,0
179766929,-0.0,-0.0,2.9827893,-0.0,0.07931828,0.0,-0.0,0.99684936,0.3224322,0.0,1,0,0,0,0,0,0
179868508,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.3649047,0.0,1,0,0,0,0,0,0
179973486,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.37277392,0.0,1,0,0,0,0,0,0
180076413,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.3847174,0.0,1,0,0,0,0,0,0
180172530,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.39997587,0.0,1,0,0,0,0,0,0
180276966,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.39911878,0.0,1,0,0,0,0,0,0
180380730,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.40040135,0.0,1,0,0,0,0,0,0
180476647,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.4185152,0.0,1,0,0,0,0,0,0
180580434,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49555466,0.0,1,0,0,0,0,0,0
180684385,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49171928,0.0,1,0,0,0,0,0,0
180786227,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49089515,0.0,1,0,0,0,0,0,0
180882257,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49183583,0.0,1,0,0,0,0,0,0
180986045,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49187654,0.0,1,0,0,0,0,0,0
181090530,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.4924925,0.0,1,0,0,0,0,0,0
181186561,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49092713,0.0,1,0,0,0,0,0,0
181290046,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.48701113,0.0,1,0,0,0,0,0,0
181699626,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49122417,0.0,1,0,0,0,0,0,0
181804530,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49230418,0.0,1,0,0,0,0,0,0
181908608,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49093106,0.0,1,0,0,0,0,0,0
182011697,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.49900842,0.0,1,0,0,0,0,0,0
182107713,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.5074112,0.0,1,0,0,0,0,0,0
182212942,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.522276,0.0,1,0,0,0,0,0,0
182315647,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.5555904,0.0,1,0,0,0,0,0,0
182411695,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.5404444,0.0,1,0,0,0,0,0,0
182515620,-0.011189692,0.011673805,2.9827893,0.0,0.07928313,-0.0062621515,-0.00511413,0.9968194,0.5213275,0.0,1,0,0,0,0,0,0
182621463,-0.014898717,0.0149460705,2.9827893,0.0,0.07925837,-0.008040062,-0.0068328846,0.9967983,0.5010404,0.0,1,0,0,0,0,0,0
182717513,-0.032323964,0.032727618,2.9827893,0.0,0.07903369,-0.017591108,-0.014810479,0.99660665,0.49911395,0.0,1,0,0,0,0,0,0
182821303,-0.031183833,0.034427978,2.9827893,0.0,0.07902937,-0.01839331,-0.014174709,0.99660176,0.4973598,0.0,1,0,0,0,0,0,0
182925789,-0.050080653,0.04939977,2.9827893,0.0,0.078652814,-0.026597183,-0.022992874,0.9962819,0.4973439,0.0,1,0,0,0,0,0,0
183021440,-0.080854915,0.07557252,2.9827893,0.0,0.07767488,-0.040830947,-0.03726637,0.99544495,0.49620312,0.0,1,0,0,0,0,0,0
183125339,-0.067372926,0.06729357,2.9827893,0.0,0.07809897,-0.036185358,-0.030888189,0.9958098,0.49650356,0.0,1,0,0,0,0,0,0
183229302,-0.068992436,0.066829965,2.9827893,0.0,0.078078225,-0.0360178,-0.031713165,0.99579155,0.4962295,0.0,1,0,0,0,0,0,0
183325320,-0.01633172,0.010803711,2.9827893,0.0,0.07927052,-0.006032315,-0.0077114743,0.9968051,0.49629077,0.0,1,0,0,0,0,0,0
183429997,0.00019066296,2.6819696e-05,2.9827893,0.0,0.07931828,-5.8060687e-06,9.609476e-05,0.99684936,0.497206,0.0,1,0,0,0,0,0,0
183530146,0.013119121,-0.024964968,2.9827893,0.0,0.07922878,0.012962814,0.005548295,0.99675673,0.4964809,0.0,1,0,0,0,0,0,0
183634772,0.07727682,-0.07804208,2.9827893,0.0,0.07769654,0.041920833,0.035385787,0.9954666,0.4973615,0.0,1,0,0,0,0,0,0
183738563,0.09206687,-0.096628845,2.9827893,0.0,0.076926365,0.051738206,0.041991998,0.9948076,0.49678075,0.0,1,0,0,0,0,0,0
183842223,0.11752929,-0.11804973,2.9827893,0.0,0.07558982,0.063353546,0.053772874,0.99367046,0.49699262,0.0,1,0,0,0,0,0,0
183938203,0.087446526,-0.083971225,2.9827893,0.0,0.07734379,0.045264944,0.04020716,0.99516445,0.49619555,0.0,1,0,0,0,0,0,0
184042618,0.042973377,-0.03554011,2.9827893,0.0,0.07890689,0.019412935,0.02000487,0.99649215,0.5034806,0.0,1,0,0,0,0,0,0
184146921,-0.006144659,0.009259421,2.9827893,0.0,0.07930288,-0.0048587746,-0.0026953937,0.9968351,0.53689915,0.0,1,0,0,0,0,0,0
184242742,-0.03865726,0.046850733,2.9827893,0.0,0.07883043,-0.024877662,-0.017403703,0.9964256,0.5073302,0.0,1,0,0,0,0,0,0
