timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
175367846,0.01,25.0,7.8999996,0.0,64,0,2,2
175398818,0.01,25.0,7.9199996,0.0,0,0,2,2
175461931,0.01,25.0,7.85,0.0,0,0,2,2
175493742,0.01,25.0,7.94,0.0,64,0,2,2
175524965,0.01,25.0,7.99,0.0,4,0,2,2
175557335,0.01,25.0,7.89,0.0,4,0,2,2
175589319,0.01,25.0,7.8999996,0.0,4,0,2,2
175621762,0.01,25.0,7.93,0.0,4,0,2,2
175653389,0.01,25.0,7.98,0.0,4,0,2,2
175686161,0.01,25.0,7.93,0.0,4,0,2,2
175717801,0.01,25.0,7.94,0.0,4,0,2,2
175749767,0.01,25.0,7.8999996,0.0,4,0,2,2
175782233,0.01,25.0,7.9199996,0.0,4,0,2,2
175814088,0.01,25.0,7.97,0.0,4,0,2,2
175846373,0.01,25.0,7.95,0.0,4,0,2,2
175878584,0.01,25.0,7.98,0.0,4,0,2,2
175910338,0.01,25.0,8.01,0.0,4,0,2,2
175942366,0.01,25.0,8.07,0.0,4,0,2,2
175974880,0.01,25.0,8.0199995,0.0,64,0,2,2
176005974,0.01,25.0,8.04,0.0,4,0,2,2
176037749,0.01,25.0,8.059999,0.0,4,0,2,2
176070100,0.01,25.0,8.01,0.0,4,0,2,2
176102723,0.01,25.0,8.07,0.0,4,0,2,2
176134202,0.01,25.0,8.099999,0.0,4,0,2,2
176166539,0.01,25.0,8.0199995,0.0,4,0,2,2
176198538,0.01,25.0,8.01,0.0,4,0,2,2
176230506,0.01,25.0,8.05,0.0,4,0,2,2
176262513,0.01,25.0,8.059999,0.0,4,0,2,2
176294625,0.01,25.0,8.0,0.0,4,0,2,2
176326562,0.01,25.0,8.0,0.0,4,0,2,2
176358755,0.01,25.0,8.05,0.0,4,0,2,2
176390718,0.01,25.0,8.03,0.0,0,0,2,2
176422362,0.01,25.0,8.01,0.0,4,0,2,2
176454519,0.01,25.0,8.07,0.0,4,0,2,2
176486548,0.01,25.0,8.04,0.0,4,0,2,2
176518874,0.01,25.0,8.11,0.0,64,0,2,2
176549973,0.01,25.0,8.03,0.0,64,0,2,2
176581927,0.01,25.0,8.12,0.0,64,0,2,2
176613796,0.01,25.0,8.04,0.0,64,0,2,2
176645950,0.01,25.0,8.059999,0.0,64,0,2,2
176676773,0.01,25.0,8.04,0.0,64,0,2,2
176709486,0.01,25.0,8.05,0.0,64,0,2,2
176741933,0.01,25.0,8.07,0.0,64,0,2,2
176772746,0.01,25.0,8.04,0.0,64,0,2,2
176804155,0.01,25.0,8.059999,0.0,4,0,2,2
176835347,0.01,25.0,8.03,0.0,4,0,2,2
176867058,0.01,25.0,8.01,0.0,4,0,2,2
176899932,0.01,25.0,8.0199995,0.0,4,0,2,2
176932315,0.01,25.0,8.05,0.0,4,0,2,2
176963562,0.01,25.0,8.08,0.0,4,0,2,2
176995376,0.01,25.0,8.04,0.0,4,0,2,2
177027803,0.01,25.0,8.05,0.0,4,0,2,2
177060589,0.01,25.0,8.04,0.0,4,0,2,2
177092913,0.01,25.0,7.99,0.0,4,0,2,2
177124591,0.01,25.0,8.04,0.0,4,0,2,2
177157381,0.01,25.0,8.0,0.0,4,0,2,2
177189370,0.01,25.0,7.96,0.0,4,0,2,2
177221547,0.01,25.0,8.03,0.0,4,0,2,2
177253764,0.01,25.0,8.0199995,0.0,64,0,2,2
177285108,0.01,25.0,8.04,0.0,4,0,2,2
177318004,0.01,25.0,8.0199995,0.0,4,0,2,2
177349315,0.01,25.0,7.99,0.0,4,0,2,2
177381321,0.01,25.0,8.05,0.0,4,0,2,2
177412531,0.01,25.0,8.07,0.0,4,0,2,2
177445960,0.01,25.0,8.01,0.0,4,0,2,2
177479113,0.01,25.0,8.0,0.0,4,0,2,2
177510292,0.01,25.0,8.0,0.0,4,0,2,2
177543513,0.01,25.0,7.99,0.0,64,0,2,2
177575630,0.01,25.0,8.05,0.0,0,0,2,2
177607816,0.01,25.0,8.05,0.0,64,0,2,2
177639792,0.01,25.0,7.99,0.0,64,0,2,2
177671774,0.01,25.0,8.04,0.0,64,0,2,2
177703789,0.01,25.0,8.05,0.0,0,0,2,2
177735641,0.01,25.0,8.01,0.0,64,0,2,2
177767742,0.01,25.0,8.04,0.0,64,0,2,2
177799742,0.01,25.0,8.0,0.0,64,0,2,2
177831794,0.01,25.0,8.0,0.0,0,0,2,2
177863563,0.01,25.0,8.0199995,0.0,0,0,2,2
177895744,0.01,25.0,8.059999,0.0,64,0,2,2
177927810,0.01,25.0,8.0,0.0,64,0,2,2
177959468,0.01,25.0,8.08,0.0,64,0,2,2
177991135,0.01,25.0,8.01,0.0,4,0,2,2
178023764,0.01,25.0,7.99,0.0,64,0,2,2
178054837,0.01,25.0,7.98,0.0,4,0,2,2
178087513,0.01,25.0,8.059999,0.0,4,0,2,2
178118878,0.01,25.0,8.03,0.0,4,0,2,2
178150307,0.01,25.0,7.98,0.0,4,0,2,2
178183374,0.01,25.0,8.01,0.0,4,0,2,2
178215340,0.01,25.0,7.97,0.0,4,0,2,2
178247608,0.01,25.0,8.04,0.0,4,0,2,2
178279742,0.01,25.0,8.01,0.0,64,0,2,2
178311742,0.01,25.0,8.059999,0.0,64,0,2,2
178343745,0.01,25.0,8.01,0.0,64,0,2,2
178375882,0.01,25.0,7.99,0.0,64,0,2,2
178407801,0.01,25.0,7.99,0.0,64,0,2,2
178439843,0.01,25.0,8.03,0.0,0,0,2,2
178471757,0.01,25.0,8.01,0.0,64,0,2,2
178503757,0.01,25.0,7.97,0.0,64,0,2,2
178535798,0.01,25.0,7.95,0.0,64,0,2,2
178567855,0.01,25.0,7.96,0.0,0,0,2,2
178598968,0.01,25.0,8.0199995,0.0,4,0,2,2
178631345,0.01,25.0,8.0,0.0,4,0,2,2
178663560,0.01,25.0,8.13,0.0,4,0,2,2
178695341,0.01,25.0,8.2,0.0,4,0,2,2
178727857,0.01,25.0,8.38,0.0,64,0,2,2
178758961,0.01,25.0,8.44,0.0,4,0,2,2
178791388,0.01,25.0,8.58,0.0,4,0,2,2
178823340,0.01,25.0,8.55,0.0,4,0,2,2
178855352,0.01,25.0,8.65,0.0,4,0,2,2
178887622,0.01,25.0,8.61,0.0,4,0,2,2
178920467,0.01,25.0,8.58,0.0,4,0,2,2
178952205,0.01,25.0,8.59,0.0,4,0,2,2
178984162,0.01,25.0,8.639999,0.0,4,0,2,2
179016958,0.01,25.0,8.7,0.0,4,0,2,2
179049288,0.01,25.0,8.75,0.0,4,0,2,2
179080611,0.01,25.0,8.87,0.0,4,0,2,2
179112300,0.01,25.0,8.96,0.0,4,0,2,2
179144338,0.01,25.0,8.929999,0.0,4,0,2,2
179176191,0.01,25.0,8.889999,0.0,4,0,2,2
179208586,0.01,25.0,8.8,0.0,4,0,2,2
179240760,0.01,25.0,8.66,0.0,0,0,2,2
179272177,0.01,25.0,8.889999,0.0,4,0,2,2
179304162,0.01,25.0,8.96,0.0,4,0,2,2
179336180,0.01,25.0,8.929999,0.0,4,0,2,2
179368946,0.01,25.0,9.11,0.0,4,0,2,2
179401349,0.01,25.0,9.09,0.0,4,0,2,2
179432979,0.01,25.0,9.2699995,0.0,4,0,2,2
179465400,0.01,25.0,9.03,0.0,4,0,2,2
179497366,0.01,25.0,9.05,0.0,4,0,2,2
179529360,0.01,25.0,9.44,0.0,4,0,2,2
179562355,0.01,25.0,9.55,0.0,64,0,2,2
179594948,0.01,25.0,9.76,0.0,64,0,2,2
179626853,0.01,25.0,10.49,0.0,64,0,2,2
179658665,0.01,25.0,10.7,0.0,64,0,2,2
179690881,0.01,25.0,11.16,0.0,0,0,2,2
179722827,0.01,25.0,10.889999,0.0,64,0,2,2
179754913,0.01,25.0,11.559999,0.0,64,0,2,2
179786826,0.01,25.0,11.44,0.0,64,0,2,2
179818913,0.01,25.0,11.63,0.0,64,0,2,2
179850889,0.01,25.0,13.21,0.0,0,0,2,2
179882870,0.01,25.0,13.95,0.0,64,0,2,2
179914929,0.01,25.0,16.93,0.0,64,0,2,2
179946848,0.01,25.0,17.32,0.0,64,0,2,2
179978863,0.01,25.0,17.44,0.0,0,0,2,2
180010870,0.01,25.0,17.52,0.0,64,0,2,2
180042884,0.01,25.0,17.529999,0.0,64,0,2,2
180074867,0.01,25.0,17.58,0.0,64,0,2,2
180106877,0.01,25.0,17.64,0.0,64,0,2,2
180138865,0.01,25.0,17.449999,0.0,64,0,2,2
180170929,0.01,25.0,17.57,0.0,64,0,2,2
180202865,0.01,25.0,17.63,0.0,64,0,2,2
180234863,0.01,25.0,17.55,0.0,64,0,2,2
180266875,0.01,25.0,17.58,0.0,0,0,2,2
180298878,0.01,25.0,17.699999,0.0,0,0,2,2
180330909,0.01,25.0,17.57,0.0,64,0,2,2
180362848,0.01,25.0,17.76,0.0,64,0,2,2
180394856,0.01,25.0,17.63,0.0,0,0,2,2
180426899,0.01,25.0,17.56,0.0,0,0,2,2
180458920,0.01,25.0,17.67,0.0,64,0,2,2
180490871,0.01,25.0,17.59,0.0,12,0,2,2
180522865,0.01,25.0,17.66,0.0,64,0,2,2
180554872,0.01,25.0,17.55,0.0,64,0,2,2
180586971,0.01,25.0,17.609999,0.0,64,0,2,2
180618847,0.01,25.0,17.71,0.0,0,0,2,2
180650856,0.01,25.0,17.69,0.0,0,0,2,2
180682869,0.01,25.0,17.699999,0.0,0,0,2,2
180714835,0.01,25.0,17.71,0.0,64,0,2,2
180746613,0.01,25.0,18.69,0.0,64,0,2,2
180779107,0.01,25.0,19.859999,0.0,64,0,2,2
180810948,0.01,25.0,20.09,0.0,64,0,2,2
180843061,0.01,25.0,19.529999,0.0,64,0,2,2
180874595,0.01,25.0,19.25,0.0,64,0,2,2
180906869,0.01,25.0,19.41,0.0,64,0,2,2
180939455,0.01,25.0,19.439999,0.0,64,0,2,2
180971742,0.01,25.0,19.439999,0.0,64,0,2,2
181003320,0.01,25.0,19.39,0.0,64,0,2,2
181034807,0.01,25.0,19.289999,0.0,64,0,2,2
181067028,0.01,25.0,19.67,0.0,64,0,2,2
181098958,0.01,25.0,19.93,0.0,64,0,2,2
181130989,0.01,25.0,19.71,0.0,64,0,2,2
181163136,0.01,25.0,19.46,0.0,64,0,2,2
181194862,0.01,25.0,19.74,0.0,-72,0,2,2
181227372,0.01,25.0,20.08,0.0,4,0,2,2
181258819,0.01,25.0,20.14,0.0,64,0,2,2
181290835,0.01,25.0,20.05,0.0,64,0,2,2
181644441,0.01,25.0,19.6,0.0,64,0,2,2
181676688,0.01,25.0,19.55,0.0,0,0,2,2
