timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
175387521,5.0354004,0.0,0,0,1,0,0,0,0
175887521,5.0208983,0.0,0,0,1,0,0,0,0
176387521,5.014453,0.0,0,0,1,0,0,0,0
176897521,5.043457,0.0,0,0,1,0,0,0,0
177397521,5.017676,0.0,0,0,1,0,0,0,0
177897564,5.003174,0.0,0,0,1,0,0,0,0
178397528,5.0128417,0.0,0,0,1,0,0,0,0
178897527,5.0321774,0.0,0,0,1,0,0,0,0
179407521,5.0208983,0.0,0,0,1,0,0,0,0
179907531,4.988672,0.0,0,0,1,0,0,0,0
180407521,5.014453,0.0,0,0,1,0,0,0,0
180907521,4.9725585,0.0,0,0,1,0,0,0,0
181907521,4.969336,0.0,0,0,1,0,0,0,0
182417521,4.993506,0.0,0,0,1,0,0,0,0
182917524,5.0063963,0.0,0,0,1,0,0,0,0
183417521,5.014453,0.0,0,0,1,0,0,0,0
183917521,4.975781,0.0,0,0,1,0,0,0,0
184417521,4.9741697,0.0,0,0,1,0,0,0,0
184917521,5.0128417,0.0,0,0,1,0,0,0,0
185417521,4.9709473,0.0,0,0,1,0,0,0,0
186917534,4.995117,0.0,0,0,1,0,0,0,0
187417521,5.038623,0.0,0,0,1,0,0,0,0
187917538,4.995117,0.0,0,0,1,0,0,0,0
188427521,5.004785,0.0,0,0,1,0,0,0,0
188927521,5.0080075,0.0,0,0,1,0,0,0,0
189427521,5.0370116,0.0,0,0,1,0,0,0,0
189927530,4.9918942,0.0,0,0,1,0,0,0,0
190427521,5.033789,0.0,0,0,1,0,0,0,0
190927521,5.004785,0.0,0,0,1,0,0,0,0
191427521,5.014453,0.0,0,0,1,0,0,0,0
191927523,5.0273438,0.0,0,0,1,0,0,0,0
192427521,4.995117,0.0,0,0,1,0,0,0,0
192927528,5.019287,0.0,0,0,1,0,0,0,0
193427521,4.975781,0.0,0,0,1,0,0,0,0
193927521,4.9741697,0.0,0,0,1,0,0,0,0
194427521,4.975781,0.0,0,0,1,0,0,0,0
194937524,4.979004,0.0,0,0,1,0,0,0,0
195437536,5.004785,0.0,0,0,1,0,0,0,0
195937521,4.975781,0.0,0,0,1,0,0,0,0
196437521,5.014453,0.0,0,0,1,0,0,0,0
196937521,4.975781,0.0,0,0,1,0,0,0,0
197437521,5.040234,0.0,0,0,1,0,0,0,0
197937568,5.0112305,0.0,0,0,1,0,0,0,0
198447521,5.014453,0.0,0,0,1,0,0,0,0
198947521,5.033789,0.0,0,0,1,0,0,0,0
199447521,5.0080075,0.0,0,0,1,0,0,0,0
199947521,5.0273438,0.0,0,0,1,0,0,0,0
200447529,5.024121,0.0,0,0,1,0,0,0,0
200947521,5.004785,0.0,0,0,1,0,0,0,0
201447539,5.0063963,0.0,0,0,1,0,0,0,0
201947521,5.017676,0.0,0,0,1,0,0,0,0
202447526,4.995117,0.0,0,0,1,0,0,0,0
202947534,4.979004,0.0,0,0,1,0,0,0,0
203457521,4.9725585,0.0,0,0,1,0,0,0,0
203957521,5.0015626,0.0,0,0,1,0,0,0,0
204457529,5.016064,0.0,0,0,1,0,0,0,0
204957521,4.964502,0.0,0,0,1,0,0,0,0
205457521,4.979004,0.0,0,0,1,0,0,0,0
205957521,4.9918942,0.0,0,0,1,0,0,0,0
206467544,4.975781,0.0,0,0,1,0,0,0,0
206967556,5.003174,0.0,0,0,1,0,0,0,0
207467521,4.980615,0.0,0,0,1,0,0,0,0
207967549,5.0080075,0.0,0,0,1,0,0,0,0
208467521,4.980615,0.0,0,0,1,0,0,0,0
208967521,4.9822264,0.0,0,0,1,0,0,0,0
209467521,4.9983397,0.0,0,0,1,0,0,0,0
209967521,4.975781,0.0,0,0,1,0,0,0,0
210467521,4.9967284,0.0,0,0,1,0,0,0,0
210967532,4.975781,0.0,0,0,1,0,0,0,0
211477523,4.9435544,0.0,0,0,1,0,0,0,0
211977521,4.9532228,0.0,0,0,1,0,0,0,0
213477521,4.954834,0.0,0,0,1,0,0,0,0
213977521,4.9725585,0.0,0,0,1,0,0,0,0
214477521,4.995117,0.0,0,0,1,0,0,0,0
214977538,4.9918942,0.0,0,0,1,0,0,0,0
215487521,4.9354978,0.0,0,0,1,0,0,0,0
215987564,4.9467773,0.0,0,0,1,0,0,0,0
216487543,4.9918942,0.0,0,0,1,0,0,0,0
216987521,5.0063963,0.0,0,0,1,0,0,0,0
217487522,5.0112305,0.0,0,0,1,0,0,0,0
217987559,5.004785,0.0,0,0,1,0,0,0,0
218487529,4.956445,0.0,0,0,1,0,0,0,0
218987521,5.003174,0.0,0,0,1,0,0,0,0
219497521,4.999951,0.0,0,0,1,0,0,0,0
219987521,5.0015626,0.0,0,0,1,0,0,0,0
220497521,4.9822264,0.0,0,0,1,0,0,0,0
220997521,4.9338865,0.0,0,0,1,0,0,0,0
221497547,4.9596677,0.0,0,0,1,0,0,0,0
221997521,5.004785,0.0,0,0,1,0,0,0,0
222497528,4.966113,0.0,0,0,1,0,0,0,0
222997528,5.0112305,0.0,0,0,1,0,0,0,0
223497521,4.979004,0.0,0,0,1,0,0,0,0
223997521,4.9580564,0.0,0,0,1,0,0,0,0
224507532,5.0015626,0.0,0,0,1,0,0,0,0
225007521,4.9741697,0.0,0,0,1,0,0,0,0
225507521,4.9773927,0.0,0,0,1,0,0,0,0
226007529,4.975781,0.0,0,0,1,0,0,0,0
226507555,4.988672,0.0,0,0,1,0,0,0,0
227007521,4.988672,0.0,0,0,1,0,0,0,0
227507521,5.004785,0.0,0,0,1,0,0,0,0
228017521,4.979004,0.0,0,0,1,0,0,0,0
228517521,4.9822264,0.0,0,0,1,0,0,0,0
229017521,4.956445,0.0,0,0,1,0,0,0,0
229517521,4.9822264,0.0,0,0,1,0,0,0,0
230017538,5.0015626,0.0,0,0,1,0,0,0,0
230517521,5.0128417,0.0,0,0,1,0,0,0,0
231017521,4.9628906,0.0,0,0,1,0,0,0,0
231527542,4.9918942,0.0,0,0,1,0,0,0,0
232027521,4.9983397,0.0,0,0,1,0,0,0,0
232527521,4.988672,0.0,0,0,1,0,0,0,0
233027521,4.979004,0.0,0,0,1,0,0,0,0
233527521,4.964502,0.0,0,0,1,0,0,0,0
234027521,4.995117,0.0,0,0,1,0,0,0,0
234527521,4.964502,0.0,0,0,1,0,0,0,0
235027521,4.9628906,0.0,0,0,1,0,0,0,0
235527521,4.9838376,0.0,0,0,1,0,0,0,0
236037521,5.0015626,0.0,0,0,1,0,0,0,0
236537559,4.9322753,0.0,0,0,1,0,0,0,0
237037521,4.9983397,0.0,0,0,1,0,0,0,0
237537521,4.995117,0.0,0,0,1,0,0,0,0
238037528,4.9854493,0.0,0,0,1,0,0,0,0
238537533,5.0128417,0.0,0,0,1,0,0,0,0
239037521,4.9628906,0.0,0,0,1,0,0,0,0
239547521,4.990283,0.0,0,0,1,0,0,0,0
240047521,4.9967284,0.0,0,0,1,0,0,0,0
240547521,4.954834,0.0,0,0,1,0,0,0,0
241047521,5.0080075,0.0,0,0,1,0,0,0,0
241547524,4.9822264,0.0,0,0,1,0,0,0,0
242047530,5.0015626,0.0,0,0,1,0,0,0,0
242547521,4.9596677,0.0,0,0,1,0,0,0,0
243047521,5.019287,0.0,0,0,1,0,0,0,0
243547521,5.0080075,0.0,0,0,1,0,0,0,0
244047529,5.004785,0.0,0,0,1,0,0,0,0
244547537,5.004785,0.0,0,0,1,0,0,0,0
245047522,5.040234,0.0,0,0,1,0,0,0,0
245557521,5.0112305,0.0,0,0,1,0,0,0,0
246057528,5.0063963,0.0,0,0,1,0,0,0,0
246557528,5.0128417,0.0,0,0,1,0,0,0,0
247057521,5.0063963,0.0,0,0,1,0,0,0,0
247557521,5.016064,0.0,0,0,1,0,0,0,0
248057521,5.0080075,0.0,0,0,1,0,0,0,0
248567521,5.019287,0.0,0,0,1,0,0,0,0
249067521,5.009619,0.0,0,0,1,0,0,0,0
249567521,5.040234,0.0,0,0,1,0,0,0,0
250067531,5.040234,0.0,0,0,1,0,0,0,0
250567521,5.0450683,0.0,0,0,1,0,0,0,0
251067521,5.0128417,0.0,0,0,1,0,0,0,0
251567521,5.009619,0.0,0,0,1,0,0,0,0
252567521,5.038623,0.0,0,0,1,0,0,0,0
253067521,5.030566,0.0,0,0,1,0,0,0,0
253567521,5.038623,0.0,0,0,1,0,0,0,0
254067521,5.017676,0.0,0,0,1,0,0,0,0
254567521,5.030566,0.0,0,0,1,0,0,0,0
255077532,5.0450683,0.0,0,0,1,0,0,0,0
255577521,4.9532228,0.0,0,0,1,0,0,0,0
256077521,5.1014647,0.0,0,0,1,0,0,0,0
