timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,fix_type,vel_ned_valid,satellites_used
181783342,1553071360000030,0,0,-17000,0,61.828003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,47,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
181981536,1553071360200030,0,0,-17000,0,61.860004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,47,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
182183844,1553071360400029,0,0,-17000,0,61.892002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,47,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
182381528,1553071360600029,0,0,-17000,0,61.924004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,35,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
182580777,1553071360800029,0,0,-17000,0,61.957005,3.1415925,4294967.5,3750001.8,99.99,99.99,74,35,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
182782649,1553071361000029,0,0,-17000,0,61.989002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,35,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
182979582,1553071361200029,0,0,-17000,0,62.021004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,35,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
183179484,1553071361400029,0,0,-17000,0,62.054005,3.1415925,4294967.5,3750001.8,99.99,99.99,74,35,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
183378727,1553071361600029,0,0,-17000,0,62.086002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
183576513,1553071361800029,0,0,-17000,0,62.118004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
183780481,1553071362000029,0,0,-17000,0,62.15,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
183979566,1553071362200029,0,0,-17000,0,62.182003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
184179553,1553071362400029,0,0,-17000,0,62.214005,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
184379539,1553071362600029,0,0,-17000,0,62.247,3.1415925,4294967.5,3750001.8,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
184580485,1553071362800029,0,0,-17000,0,62.279003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
184780672,1553071363000029,0,0,-17000,0,62.311005,3.1415925,4294967.5,3750001.8,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
184980761,1553071363200029,0,0,-17000,0,62.343002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
185180249,1553071363400029,0,0,-17000,0,62.375004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
185383362,1553071363600029,0,0,-17000,0,62.407,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
186581483,1553071364800029,0,0,-17000,0,62.599003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,32,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
186781518,1553071365000029,0,0,-17000,0,62.631004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,32,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
186981482,1553071365200028,0,0,-17000,0,62.663002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,32,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
187181513,1553071365400028,0,0,-17000,0,62.695004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,32,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
187381488,1553071365600028,0,0,-17000,0,62.727,3.1415925,4294967.5,3750001.8,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
187582126,1553071365800028,0,0,-17000,0,62.759003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
187781399,1553071366000028,0,0,-17000,0,62.790005,3.1415925,4294967.5,3750001.8,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
187981514,1553071366200028,0,0,-17000,0,62.822002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
188180657,1553071366400028,0,0,-17000,0,62.854004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
188380511,1553071366600028,0,0,-17000,0,62.886,3.1415925,4294967.5,3750001.8,99.99,99.99,74,6,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
188580481,1553071366800028,0,0,-17000,0,62.918003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,6,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
188779487,1553071367000028,0,0,-17000,0,62.950005,3.1415925,4294967.5,3750001.8,99.99,99.99,74,6,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
188980582,1553071367200028,0,0,-17000,0,62.981003,3.1415925,4294967.5,3750001.8,99.99,99.99,74,6,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
189184519,1553071367400028,0,0,-17000,0,63.013004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,6,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
189380542,1553071367600028,0,0,-17000,0,63.045002,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
189581841,1553071367800028,0,0,-17000,0,63.076004,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
189781534,1553071368000028,0,0,-17000,0,63.108,3.1415925,4294967.5,3750001.8,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
189980482,1553071368200028,0,0,-17000,0,63.140003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
190179683,1553071368400028,0,0,-17000,0,63.172005,3.1415925,4294967.5,3750002.0,99.99,99.99,74,29,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
190381783,1553071368600028,0,0,-17000,0,63.203003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
190579663,1553071368800028,0,0,-17000,0,63.235004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
190779621,1553071369000028,0,0,-17000,0,63.266003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
190984313,1553071369200028,0,0,-17000,0,63.298004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
191180482,1553071369400028,0,0,-17000,0,63.33,3.1415925,4294967.5,3750002.0,99.99,99.99,74,30,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
191380539,1553071369600028,0,0,-17000,0,63.361004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
191581518,1553071369800028,0,0,-17000,0,63.393,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
191781562,1553071370000028,0,0,-17000,0,63.424004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
191984575,1553071370200027,0,0,-17000,0,63.456,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
192182622,1553071370400027,0,0,-17000,0,63.487003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
192378812,1553071370600027,0,0,-17000,0,63.519005,3.1415925,4294967.5,3750002.0,99.99,99.99,74,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
192578729,1553071370800027,0,0,-17000,0,63.550003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
192779535,1553071371000027,0,0,-17000,0,63.582005,3.1415925,4294967.5,3750002.0,99.99,99.99,74,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
192983503,1553071371200027,0,0,-17000,0,63.613003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
193180666,1553071371400027,0,0,-17000,0,63.645004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,39,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
