timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure,failure_detector_status
175005273,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
176008936,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
177016549,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
178019612,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
179023548,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
180026678,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
181032520,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
182039611,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
183045943,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
184046753,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
185055470,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
187055569,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
188064610,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
189067962,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
190074633,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
191084560,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
192085170,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
193086617,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
194092732,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
195098635,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
196102569,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
197103576,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
198111573,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
199122799,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
200128372,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
201130637,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
202135016,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
203143569,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
204148329,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
205149323,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
206151855,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
207158752,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
208163548,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
209165538,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
210168429,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
211176326,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
213182544,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
214188365,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
215189566,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
216191609,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
217200569,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
218202599,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
219203569,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
220212342,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
221220768,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
222227869,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
223228257,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
224234988,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
225245577,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
226251595,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
227255523,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
228258317,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
229266935,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
230274694,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
231285125,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
232289520,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
233295111,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
234304091,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
235311575,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
236311596,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
237315848,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
238324299,3080239,2162703,3080239,15,2,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
