timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,system_id,component_id,mode,flow_control,forwarding,mavlink_v2,ftp,streams
228045819,227039822,1200.0,0.3540174,0.13454263,1.4661189,0.0,0,255,0,0,0,1,1,0,34
229052116,228045819,1200.0,0.3540174,0.09695094,1.0284796,0.0,0,255,0,0,0,1,1,0,34
230054735,229052116,1200.0,0.3540174,0.084520176,0.93966544,0.0,0,255,0,0,0,1,1,0,34
231060552,230054735,1200.0,0.3540174,0.27869204,1.626203,0.0,0,255,0,0,0,1,1,0,34
232062238,231060552,1200.0,0.3540174,0.19199108,1.4812161,0.0,0,255,0,0,0,1,1,0,34
233064548,232062238,1200.0,0.3540174,0.17566773,1.1572236,0.0,0,255,0,0,0,1,1,0,34
234069383,233064548,1200.0,0.3540174,0.19164924,1.4666629,0.0,0,255,0,0,0,1,1,0,34
235076780,234069383,1200.0,0.3540174,0.24008411,1.2242306,0.0,0,255,0,0,0,1,1,0,34
236079570,235076780,1200.0,0.3540174,0.19296487,1.5117247,0.0,0,255,0,0,0,1,1,0,34
237082913,236079570,1200.0,0.3540174,0.13276474,1.4873643,0.0,0,255,0,0,0,1,1,0,34
238085734,237082913,1200.0,0.3540174,0.21391857,1.369673,0.0,0,255,0,0,0,1,1,0,34
239088920,238085734,1200.0,0.3540174,0.2528662,1.1513909,0.0,0,255,0,0,0,1,1,0,34
240091398,239088920,1200.0,0.3540174,0.15297262,1.3966202,0.0,0,255,0,0,0,1,1,0,34
241097918,240091398,1200.0,0.3540174,0.21427593,1.4285063,0.0,0,255,0,0,0,1,1,0,34
242102740,241097918,1200.0,0.3540174,0.19240028,1.4116,0.0,0,255,0,0,0,1,1,0,34
243104630,241097918,1200.0,0.3540174,0.1322157,1.3559563,0.0,0,255,0,0,0,1,1,0,34
244104734,243104630,1200.0,0.3540174,0.16088906,1.0179709,0.0,0,255,0,0,0,1,1,0,34
245106730,244104734,1200.0,0.3540174,0.112217836,1.4707488,0.0,0,255,0,0,0,1,1,0,34
246114727,245106730,1200.0,0.3540174,0.2635171,1.6028974,0.0,0,255,0,0,0,1,1,0,34
247117497,246114727,1200.0,0.3540174,0.19942246,1.2992374,0.0,0,255,0,0,0,1,1,0,34
248119552,247117497,1200.0,0.3540174,0.11277085,1.1566496,0.0,0,255,0,0,0,1,1,0,34
249123473,248119552,1200.0,0.3540174,0.112801805,1.1689461,0.0,0,255,0,0,0,1,1,0,34
250130893,249123473,1200.0,0.3540174,0.17031668,1.1772767,0.0,0,255,0,0,0,1,1,0,34
251132624,250130893,1200.0,0.3540174,0.18228035,1.3915062,0.0,0,255,0,0,0,1,1,0,34
253143417,252136232,1200.0,0.3540174,0.11187431,1.1880457,0.0,0,255,0,0,0,1,1,0,34
254148548,253143417,1200.0,0.3540174,0.11280371,1.3127158,0.0,0,255,0,0,0,1,1,0,34
255150816,254148548,1200.0,0.3540174,0.13861851,1.225627,0.0,0,255,0,0,0,1,1,0,34
