timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
30421089,inf,1,0,0,0,0
31433574,inf,1,0,0,0,0
32443383,inf,1,0,0,0,0
33453099,inf,1,0,0,0,0
34471113,inf,1,0,0,0,0
35483272,inf,1,0,0,0,0
36496053,inf,1,0,0,0,0
37511105,inf,1,0,0,0,0
38523261,inf,1,0,0,0,0
39533615,inf,1,0,0,0,0
40554112,inf,1,0,0,0,0
41560053,inf,1,0,0,0,0
42570083,inf,1,0,0,0,0
43582132,inf,1,0,0,0,0
44591147,inf,1,0,0,0,0
45593137,inf,1,0,0,0,0
46606135,inf,1,0,0,0,0
47617581,inf,1,0,0,0,0
48630177,inf,1,0,0,0,0
50651135,inf,1,0,0,0,0
51661056,inf,1,0,0,0,0
52669053,inf,1,0,0,0,0
53683105,inf,1,0,0,0,0
54700070,inf,1,0,0,0,0
55709664,inf,1,0,0,0,0
56724789,inf,1,0,0,0,0
57731143,inf,1,0,0,0,0
58748066,inf,1,0,0,0,0
59762132,inf,1,0,0,0,0
60774180,inf,1,0,0,0,0
61787149,inf,1,0,0,0,0
61953057,inf,1,0,0,0,1
62407383,inf,0,0,1,0,1
62964088,inf,0,0,0,0,0
63967162,inf,0,0,0,0,0
64968061,inf,0,0,0,0,0
65981065,inf,0,0,0,0,0
66374309,inf,0,0,0,0,1
66744072,inf,0,0,1,0,1
67016057,inf,0,0,0,1,0
67349088,inf,1,0,0,0,0
68361067,inf,1,0,0,0,0
69370825,inf,1,0,0,0,0
70390132,inf,1,0,0,0,0
71395917,inf,1,0,0,0,0
72404056,inf,1,0,0,0,0
73354110,inf,1,0,0,0,1
73830190,inf,0,0,1,0,1
74371296,inf,0,0,0,0,0
75382203,inf,0,0,0,0,0
76391925,inf,0,0,0,0,0
77403142,inf,0,0,0,0,0
78419488,inf,0,0,0,0,0
79433061,inf,0,0,0,0,0
80441573,inf,0,0,0,0,0
81446146,inf,0,0,0,0,0
82457099,inf,0,0,0,0,0
83468738,inf,0,0,0,0,0
84479172,inf,0,0,0,0,0
85487132,inf,0,0,0,0,0
86501098,inf,0,0,0,0,0
87511169,inf,0,0,0,0,0
88518372,inf,0,0,0,0,0
89527332,inf,0,0,0,0,0
90530937,inf,0,0,0,0,0
91540699,inf,0,0,0,0,0
92551999,inf,0,0,0,0,0
93563184,inf,0,0,0,0,0
94578167,inf,0,0,0,0,0
95589060,inf,0,0,0,0,0
96600070,inf,0,0,0,0,0
97613134,inf,0,0,0,0,0
98623521,inf,0,0,0,0,0
99634156,inf,0,0,0,0,0
100643167,inf,0,0,0,0,0
101652100,inf,0,0,0,0,0
102669056,inf,0,0,0,0,0
103672640,inf,0,0,0,0,0
104677129,inf,0,0,0,0,0
105684077,inf,0,0,0,0,0
106696593,inf,0,0,0,0,0
107709733,inf,0,0,0,0,0
108719255,inf,0,0,0,0,0
109730143,inf,0,0,0,0,0
110743360,inf,0,0,0,0,0
111753056,inf,0,0,0,0,0
112765056,inf,0,0,0,0,0
113778143,inf,0,0,0,0,0
114787132,inf,0,0,0,0,0
115795363,inf,0,0,0,0,0
116802147,inf,0,0,0,0,0
117815111,inf,0,0,0,0,0
118826131,inf,0,0,0,0,0
119836060,inf,0,0,0,0,0
120846153,inf,0,0,0,0,0
121859157,inf,0,0,0,0,0
