timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
29551101,0.0005714573,0.0010846192,-0.0007076089,0.4978463,-0.0010705137,0.0034346855,0.86725783,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29583070,0.0015526622,-0.0015645772,-0.0016622888,0.49777928,-0.0010711179,0.0034306156,0.86729634,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29615075,0.0017471713,0.0001416828,0.0005450825,0.49770573,-0.0010679283,0.003436738,0.8673385,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29647069,0.0007922882,-0.0010307503,0.0005407629,0.49764028,-0.001067209,0.0034440919,0.86737597,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29679069,0.00046096265,-0.0011267257,0.0026934857,0.49756768,-0.0010524929,0.00344766,0.8674177,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29711069,-0.0008927997,0.0013983537,-0.0017596148,0.49752378,-0.0010670233,0.0034482258,0.86744285,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29743076,0.00036725588,-0.001986911,0.00018807082,0.49747184,-0.0010658412,0.003447101,0.86747265,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29775101,3.5016332e-05,-0.0016851274,-0.00022825203,0.4974077,-0.0010671847,0.0034518477,0.8675094,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29807069,-6.783311e-05,0.00035998016,0.002766232,0.49732688,-0.0010711597,0.0034582897,0.8675557,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29839069,0.0011132912,-0.0010302576,-0.0002000567,0.49725154,-0.0010625516,0.0034622194,0.8675989,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29871089,-0.0004737588,-0.001468553,-0.0011762278,0.49720109,-0.0010487747,0.0034433806,0.86762786,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29903069,-0.0021761856,-0.0007265636,-0.0022452127,0.4971667,-0.0010522273,0.0034362022,0.8676477,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29935110,0.000998312,0.005045887,-0.0013478284,0.49715447,-0.0010466463,0.0034385198,0.86765456,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29965503,0.00056959386,0.0012649994,0.015575537,0.49700168,-0.0010382929,0.0034454537,0.8677422,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
29998269,0.0021284963,-0.0050188038,0.006825096,0.4968345,-0.0010396631,0.0034102942,0.8678381,0.9993385,0.00019271954,-0.0001437921,-0.03636836,2
