timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
29989193,5.2239256,0.0,0,0,1,0,0,0,0
30499193,5.240039,0.0,0,0,1,0,0,0,0
30999242,5.2239256,0.0,0,0,1,0,0,0,0
31499193,5.220703,0.0,0,0,1,0,0,0,0
31999242,5.2239256,0.0,0,0,1,0,0,0,0
32499212,5.243262,0.0,0,0,1,0,0,0,0
32999193,5.2239256,0.0,0,0,1,0,0,0,0
33499194,5.243262,0.0,0,0,1,0,0,0,0
33999193,5.243262,0.0,0,0,1,0,0,0,0
34499202,5.220703,0.0,0,0,1,0,0,0,0
34999193,5.21748,0.0,0,0,1,0,0,0,0
35499194,5.225537,0.0,0,0,1,0,0,0,0
35999236,5.2239256,0.0,0,0,1,0,0,0,0
36499193,5.220703,0.0,0,0,1,0,0,0,0
37009193,5.240039,0.0,0,0,1,0,0,0,0
37509193,5.2384276,0.0,0,0,1,0,0,0,0
38009225,5.243262,0.0,0,0,1,0,0,0,0
38509243,5.243262,0.0,0,0,1,0,0,0,0
39009193,5.190088,0.0,0,0,1,0,0,0,0
39509193,5.2239256,0.0,0,0,1,0,0,0,0
40009195,5.22876,0.0,0,0,1,0,0,0,0
40519193,5.21748,0.0,0,0,1,0,0,0,0
41019240,5.240039,0.0,0,0,1,0,0,0,0
41519193,5.243262,0.0,0,0,1,0,0,0,0
42019193,5.2368164,0.0,0,0,1,0,0,0,0
42519238,5.2223144,0.0,0,0,1,0,0,0,0
43019193,5.2271485,0.0,0,0,1,0,0,0,0
43519209,5.2223144,0.0,0,0,1,0,0,0,0
44019193,5.220703,0.0,0,0,1,0,0,0,0
44519193,5.24165,0.0,0,0,1,0,0,0,0
45019231,5.191699,0.0,0,0,1,0,0,0,0
45519193,5.220703,0.0,0,0,1,0,0,0,0
46019208,5.244873,0.0,0,0,1,0,0,0,0
46529200,5.240039,0.0,0,0,1,0,0,0,0
47029193,5.2223144,0.0,0,0,1,0,0,0,0
47529193,5.243262,0.0,0,0,1,0,0,0,0
48029193,5.235205,0.0,0,0,1,0,0,0,0
48529193,5.240039,0.0,0,0,1,0,0,0,0
49039205,5.206201,0.0,0,0,1,0,0,0,0
50039193,5.2142577,0.0,0,0,1,0,0,0,0
50539193,5.2078123,0.0,0,0,1,0,0,0,0
51039208,5.22876,0.0,0,0,1,0,0,0,0
51549195,5.220703,0.0,0,0,1,0,0,0,0
52049193,5.2223144,0.0,0,0,1,0,0,0,0
52549193,5.243262,0.0,0,0,1,0,0,0,0
53049193,5.225537,0.0,0,0,1,0,0,0,0
53559193,5.240039,0.0,0,0,1,0,0,0,0
54059193,5.2223144,0.0,0,0,1,0,0,0,0
54559211,5.2223144,0.0,0,0,1,0,0,0,0
55059193,5.2223144,0.0,0,0,1,0,0,0,0
55569193,5.243262,0.0,0,0,1,0,0,0,0
56069193,5.240039,0.0,0,0,1,0,0,0,0
56569200,5.307715,0.0,0,0,1,0,0,0,0
57069208,5.2464843,0.0,0,0,1,0,0,0,0
57569193,5.243262,0.0,0,0,1,0,0,0,0
58069193,5.235205,0.0,0,0,1,0,0,0,0
58569193,5.225537,0.0,0,0,1,0,0,0,0
59079193,5.2239256,0.0,0,0,1,0,0,0,0
59579197,5.225537,0.0,0,0,1,0,0,0,0
60079193,5.220703,0.0,0,0,1,0,0,0,0
60579223,5.2464843,0.0,0,0,1,0,0,0,0
61079207,5.2464843,0.0,0,0,1,0,0,0,0
61579201,5.2464843,0.0,0,0,1,0,0,0,0
62079193,5.21748,0.0,0,0,1,0,0,0,0
62579193,5.2126465,0.0,0,0,1,0,0,0,0
63089193,5.2335935,0.0,0,0,1,0,0,0,0
63589193,5.2142577,0.0,0,0,1,0,0,0,0
64089193,5.220703,0.0,0,0,1,0,0,0,0
64589237,5.2094235,0.0,0,0,1,0,0,0,0
65089209,5.2110353,0.0,0,0,1,0,0,0,0
65589228,5.240039,0.0,0,0,1,0,0,0,0
66089193,5.2142577,0.0,0,0,1,0,0,0,0
66599193,5.2368164,0.0,0,0,1,0,0,0,0
67099206,5.1981444,0.0,0,0,1,0,0,0,0
67599193,5.240039,0.0,0,0,1,0,0,0,0
68099205,5.22876,0.0,0,0,1,0,0,0,0
68609193,5.2335935,0.0,0,0,1,0,0,0,0
69109193,5.243262,0.0,0,0,1,0,0,0,0
69609212,5.230371,0.0,0,0,1,0,0,0,0
70109193,5.24165,0.0,0,0,1,0,0,0,0
70609206,5.2480955,0.0,0,0,1,0,0,0,0
71109193,5.2497067,0.0,0,0,1,0,0,0,0
71609193,5.230371,0.0,0,0,1,0,0,0,0
72109194,5.2464843,0.0,0,0,1,0,0,0,0
72609193,5.2368164,0.0,0,0,1,0,0,0,0
73119246,5.21748,0.0,0,0,1,0,0,0,0
73619193,5.2464843,0.0,0,0,1,0,0,0,0
74119193,5.2223144,0.0,0,0,1,0,0,0,0
74619195,5.2078123,0.0,0,0,1,0,0,0,0
75119195,5.1884766,0.0,0,0,1,0,0,0,0
75629193,5.2029786,0.0,0,0,1,0,0,0,0
76129243,5.1933103,0.0,0,0,1,0,0,0,0
76629193,5.201367,0.0,0,0,1,0,0,0,0
77129193,5.201367,0.0,0,0,1,0,0,0,0
77629193,5.2029786,0.0,0,0,1,0,0,0,0
78139202,5.2110353,0.0,0,0,1,0,0,0,0
78639216,5.21748,0.0,0,0,1,0,0,0,0
79139197,5.21748,0.0,0,0,1,0,0,0,0
79639210,5.201367,0.0,0,0,1,0,0,0,0
80139195,5.220703,0.0,0,0,1,0,0,0,0
80639193,5.21748,0.0,0,0,1,0,0,0,0
81139206,5.1981444,0.0,0,0,1,0,0,0,0
81639202,5.220703,0.0,0,0,1,0,0,0,0
82139193,5.182031,0.0,0,0,1,0,0,0,0
82649199,5.2029786,0.0,0,0,1,0,0,0,0
83149230,5.1933103,0.0,0,0,1,0,0,0,0
83649193,5.1723633,0.0,0,0,1,0,0,0,0
84149216,5.2142577,0.0,0,0,1,0,0,0,0
84649204,5.2078123,0.0,0,0,1,0,0,0,0
85149227,5.2029786,0.0,0,0,1,0,0,0,0
85649193,5.20459,0.0,0,0,1,0,0,0,0
86149193,5.190088,0.0,0,0,1,0,0,0,0
86649218,5.1884766,0.0,0,0,1,0,0,0,0
87149193,5.196533,0.0,0,0,1,0,0,0,0
87659194,5.182031,0.0,0,0,1,0,0,0,0
88159224,5.2110353,0.0,0,0,1,0,0,0,0
88659193,5.2078123,0.0,0,0,1,0,0,0,0
89159214,5.2110353,0.0,0,0,1,0,0,0,0
89659220,5.220703,0.0,0,0,1,0,0,0,0
90159193,5.1981444,0.0,0,0,1,0,0,0,0
90659201,5.1868653,0.0,0,0,1,0,0,0,0
91159193,5.2078123,0.0,0,0,1,0,0,0,0
91659202,5.2078123,0.0,0,0,1,0,0,0,0
92159205,5.219092,0.0,0,0,1,0,0,0,0
92659193,5.21748,0.0,0,0,1,0,0,0,0
93159231,5.1997557,0.0,0,0,1,0,0,0,0
