timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
29551373,-0.031780005,-0.03427112,3.608181e-05,0.0,0.0,-0.08
29583335,-0.031707358,-0.034317907,3.629563e-05,0.0,0.0,-0.08
29615300,-0.031794287,-0.034274716,3.5927078e-05,0.0,0.0,-0.08
29647372,-0.031909462,-0.03434235,3.6062807e-05,0.0,0.0,-0.08
29679402,-0.03205631,-0.034199584,3.5982936e-05,0.0,0.0,-0.08
29711328,-0.03200579,-0.034299687,3.6050304e-05,0.0,0.0,-0.08
29743309,-0.031969715,-0.034365088,3.5962883e-05,0.0,0.0,-0.08
29775410,-0.03202566,-0.03440088,3.6386275e-05,0.0,0.0,-0.08
29807333,-0.03207835,-0.034431737,3.624186e-05,0.0,0.0,-0.08
29839411,-0.03215083,-0.034392994,3.6529298e-05,0.0,0.0,-0.08
29871306,-0.032070715,-0.03412527,3.6004123e-05,0.0,0.0,-0.08
29903331,-0.032013204,-0.03409715,3.600312e-05,0.0,0.0,-0.08
29935377,-0.031994104,-0.03389999,3.5815738e-05,0.0,0.0,-0.08
29965733,-0.032148473,-0.033955205,3.5746227e-05,0.0,0.0,-0.08
29998490,-0.031701967,-0.033888735,3.585274e-05,0.0,0.0,-0.08
30030620,-0.03167354,-0.033928476,3.5692072e-05,0.0,0.0,-0.08
30062494,-0.031514015,-0.033891596,3.4950288e-05,0.0,0.0,-0.08
30094526,-0.03134777,-0.033826046,3.5713532e-05,0.0,0.0,-0.08
30126534,-0.03171774,-0.033617094,3.571589e-05,0.0,0.0,-0.08
30158582,-0.03202247,-0.033645913,3.601446e-05,0.0,0.0,-0.08
30190530,-0.031954844,-0.03405469,3.6042795e-05,0.0,0.0,-0.08
30222502,-0.031272445,-0.03393809,3.5494446e-05,0.0,0.0,-0.08
30254502,-0.031524815,-0.033602465,3.4568042e-05,0.0,0.0,-0.08
30282553,-0.031956714,-0.03345822,3.5924124e-05,0.0,0.0,-0.08
30314547,-0.0324473,-0.034017973,3.7184862e-05,0.0,0.0,-0.08
30346570,-0.031603765,-0.033807073,3.5177283e-05,0.0,0.0,-0.08
30378509,-0.031754874,-0.033466384,3.473207e-05,0.0,0.0,-0.08
30410556,-0.032756254,-0.033497658,3.6273213e-05,0.0,0.0,-0.08
30442535,-0.032660488,-0.034053102,3.6694626e-05,0.0,0.0,-0.08
30474528,-0.03186103,-0.0334619,3.5545414e-05,0.0,0.0,-0.08
30506505,-0.032212358,-0.033196215,3.5637815e-05,0.0,0.0,-0.08
30538516,-0.032719314,-0.033638764,3.6190148e-05,0.0,0.0,-0.08
30569738,-0.03214167,-0.03367475,3.6364672e-05,0.0,0.0,-0.08
30597753,-0.031604648,-0.033236045,3.441175e-05,0.0,0.0,-0.08
30629745,-0.03221494,-0.033330157,3.5277302e-05,0.0,0.0,-0.08
30661759,-0.03252258,-0.034076847,3.685928e-05,0.0,0.0,-0.08
30693692,-0.032442816,-0.033440214,3.568135e-05,0.0,0.0,-0.08
30725752,-0.03217958,-0.032832507,3.4669145e-05,0.0,0.0,-0.08
30757749,-0.032602694,-0.033645272,3.589518e-05,0.0,0.0,-0.08
30789775,-0.032869358,-0.03360707,3.6711197e-05,0.0,0.0,-0.08
30821716,-0.03282085,-0.032698035,3.5700516e-05,0.0,0.0,-0.08
30849793,-0.03248935,-0.03329984,3.5719582e-05,0.0,0.0,-0.08
30881700,-0.03265689,-0.033721417,3.5586243e-05,0.0,0.0,-0.08
30913760,-0.032856606,-0.032654703,3.5161876e-05,0.0,0.0,-0.08
30945735,-0.032656543,-0.032855704,3.5242298e-05,0.0,0.0,-0.08
30977786,-0.032272153,-0.03389161,3.626226e-05,0.0,0.0,-0.08
31009700,-0.03229866,-0.033195063,3.5704972e-05,0.0,0.0,-0.08
31041765,-0.03276916,-0.03266671,3.610417e-05,0.0,0.0,-0.08
31073737,-0.032528356,-0.03362286,3.5858502e-05,0.0,0.0,-0.08
31101750,-0.032429747,-0.03388348,3.5870973e-05,0.0,0.0,-0.08
31136896,-0.032650508,-0.032684598,3.53219e-05,0.0,0.0,-0.08
31164894,-0.032804072,-0.033379167,3.668431e-05,0.0,0.0,-0.08
31196902,-0.032494076,-0.03441253,3.663586e-05,0.0,0.0,-0.08
31228921,-0.032248747,-0.033333994,3.4851895e-05,0.0,0.0,-0.08
31260953,-0.03271801,-0.03308316,3.6170626e-05,0.0,0.0,-0.08
31292925,-0.03244662,-0.03395167,3.6436133e-05,0.0,0.0,-0.08
31324912,-0.032135997,-0.033669356,3.6237227e-05,0.0,0.0,-0.08
31356941,-0.032778308,-0.0330638,3.566731e-05,0.0,0.0,-0.08
31384936,-0.032551505,-0.033588625,3.6257912e-05,0.0,0.0,-0.08
31416939,-0.0320682,-0.033647865,3.5336412e-05,0.0,0.0,-0.08
31448926,-0.032667134,-0.032549154,3.5780427e-05,0.0,0.0,-0.08
