timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
133185271,0.8273785,-0.0015659266,-0.0031883311,-0.5616335,-0.16463841,0.33755407,-0.012259114,-1.2434077,0.022119638,0.21139137,2.2714437e-06,-2.512718e-05,7.831445e-06,0.0004982044,0.0012014471,0.0014976229,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.7695912e-11,8.252426e-06,0.00054988515,1.1832975e-05,4.761409e-06,7.5335006e-06,2.6009897e-05,0.011779636,0.011773115,0.010645487,0.046699695,0.04669163,0.0551083,1.044784e-11,1.0433086e-11,1.8385427e-11,5.1190188e-08,8.331191e-08,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30559996,0.23475157,0.008242678,0.1546946,0.103459805,0.015687129,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
133385283,0.8273448,-0.0016435742,-0.0032522834,-0.56168276,-0.1669305,0.33704537,-0.012803392,-1.2483451,0.025890732,0.20612723,2.2555062e-06,-2.4828787e-05,7.826114e-06,0.0004981637,0.0012012526,0.0014987501,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.7886166e-11,8.3398945e-06,0.00050742016,1.1837421e-05,4.7604995e-06,7.5322732e-06,2.6008442e-05,0.011769557,0.011763437,0.010566101,0.046472926,0.04646508,0.05437715,1.0447067e-11,1.04319765e-11,1.8386029e-11,5.1191016e-08,8.3312614e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30485734,0.23318909,0.0024444906,0.13482982,0.101775736,0.010136991,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
133993270,0.8274229,-0.0017306546,-0.00340933,-0.56156635,-0.16860327,0.33597663,-0.016914438,-1.2564329,0.038295243,0.19614646,2.1569117e-06,-2.3921e-05,7.617113e-06,0.0004981243,0.0012006677,0.0015007951,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.2922148e-11,7.977248e-06,0.0007025041,1.1841379e-05,4.761296e-06,7.531538e-06,2.59717e-05,0.011775191,0.011770148,0.0107001485,0.04606796,0.04606082,0.055454984,1.0446369e-11,1.0430336e-11,1.8379114e-11,5.119363e-08,8.331483e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30352724,0.23548882,0.019039024,0.1360761,0.1074195,0.0058991485,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
134193282,0.8273821,-0.0018139671,-0.0034412465,-0.56162596,-0.16892537,0.33434108,-0.01909477,-1.2592974,0.04048332,0.18885998,2.133798e-06,-2.361878e-05,7.5890803e-06,0.0004980989,0.0012004861,0.0015028699,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.367214e-11,7.749723e-06,0.00063809566,1.1848088e-05,4.7598533e-06,7.5294865e-06,2.5968693e-05,0.011760873,0.011756136,0.010766837,0.045866195,0.045859374,0.056108538,1.04450745e-11,1.0428746e-11,1.8379756e-11,5.11945e-08,8.331559e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3028623,0.2368724,0.012989189,0.13095872,0.1072525,0.003331288,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
134401310,0.82738936,-0.00186076,-0.0034813916,-0.56161493,-0.16989462,0.33493245,-0.016788945,-1.2629265,0.048495255,0.1914294,2.0989412e-06,-2.3334227e-05,7.529583e-06,0.00049809064,0.0012003316,0.0015008347,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.6516963e-11,8.117923e-06,0.000508162,1.1841052e-05,4.7647673e-06,7.533841e-06,2.5937085e-05,0.0117991585,0.011794715,0.010700421,0.0459435,0.045936897,0.055525348,1.0447683e-11,1.0431098e-11,1.8371938e-11,5.1195393e-08,8.331643e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30311778,0.23563817,0.05300692,0.1160555,0.105931714,0.028366579,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
134601276,0.8273937,-0.0019099093,-0.003558521,-0.5616079,-0.16987295,0.3324086,-0.018880626,-1.2662317,0.050600614,0.18510818,2.0801142e-06,-2.3032097e-05,7.4836616e-06,0.00049805886,0.001200146,0.0015017574,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.4421452e-11,8.095311e-06,0.0006443445,1.1846583e-05,4.764435e-06,7.5330736e-06,2.593625e-05,0.01179275,0.01178855,0.010688534,0.045781914,0.045775592,0.05543975,1.0447117e-11,1.0430267e-11,1.8372847e-11,5.1196263e-08,8.3317246e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3025847,0.23545648,0.055069067,0.13532768,0.1047918,0.00053263677,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
134809277,0.82750577,-0.0019325514,-0.0036093083,-0.5614424,-0.17076279,0.33267266,-0.023788702,-1.2714287,0.058312718,0.17077243,2.0478922e-06,-2.2752934e-05,7.354332e-06,0.00049805926,0.0011999552,0.0015060327,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.4620192e-11,8.287172e-06,0.0005908614,1.1838696e-05,4.768644e-06,7.5368653e-06,2.5906449e-05,0.011827013,0.011823054,0.010632686,0.045857813,0.0458517,0.054909665,1.0449268e-11,1.0432192e-11,1.8365262e-11,5.119717e-08,8.33181e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3028358,0.23432812,0.07180749,0.11281355,0.10656878,0.022078933,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
135009271,0.8273539,-0.0019925549,-0.0037205212,-0.5616653,-0.16971897,0.33047947,-0.022678372,-1.2720803,0.061702345,0.17195429,2.0186772e-06,-2.2453974e-05,7.432067e-06,0.00049798994,0.001199814,0.0015019632,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.425768e-11,8.028205e-06,0.0004872767,1.1844389e-05,4.766457e-06,7.53422e-06,2.5906009e-05,0.011807644,0.011803936,0.010627804,0.045674354,0.045668513,0.054860752,1.0447422e-11,1.04301125e-11,1.836628e-11,5.119803e-08,8.331891e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30222982,0.23422372,0.0609395,0.12764852,0.10370933,0.013578553,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
135208516,0.82737565,-0.0020309084,-0.003834747,-0.5616323,-0.16552947,0.3248027,-0.026577441,-1.269215,0.059818055,0.15970723,1.9723984e-06,-2.212491e-05,7.360402e-06,0.0004979703,0.0011996262,0.0015042685,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,3.7137432e-11,8.308098e-06,0.0012182001,1.1850996e-05,4.7642e-06,7.5314083e-06,2.5904774e-05,0.011786659,0.011783201,0.010626394,0.045488514,0.045482937,0.05483037,1.0445517e-11,1.042799e-11,1.8367318e-11,5.1198885e-08,8.3319726e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30161473,0.23415886,0.12390329,0.14422563,0.107389495,0.006297939,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
135415704,0.8273516,-0.0020752647,-0.003962241,-0.56166667,-0.16301255,0.32355744,-0.029532984,-1.2685176,0.06372741,0.14688073,1.9329866e-06,-2.1824377e-05,7.341243e-06,0.0004979521,0.0011994743,0.0015071952,0.17068383,0.001886175,0.35385317,0.0,0.0,0.0,0.0,0.0,4.039529e-11,8.454343e-06,0.0019721445,1.1862746e-05,4.7688864e-06,7.5356725e-06,2.591878e-05,0.011821747,0.011818455,0.01066666,0.045596454,0.04559108,0.055108447,1.0449227e-11,1.0431505e-11,1.8373775e-11,5.1199798e-08,8.332059e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.30197275,0.23475188,0.005310452,0.124574125,0.106831335,0.017710345,0.0,0.0,0.0,0.032013,0,0,0,831,24,0,0,0
