timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
101343147,inf,1,0,0,0,0
102349107,inf,1,0,0,0,0
103356106,inf,1,0,0,0,0
104362058,inf,1,0,0,0,0
105373103,inf,1,0,0,0,0
106394059,inf,1,0,0,0,0
107411161,inf,1,0,0,0,0
108108061,inf,1,0,0,0,1
108568155,inf,0,0,1,0,1
109101060,inf,0,0,0,0,0
110107449,inf,0,0,0,0,0
111120133,inf,0,0,0,0,0
112125075,inf,0,0,0,0,0
113128075,inf,0,0,0,0,0
114141216,inf,0,0,0,0,0
115156071,inf,0,0,0,0,0
116161539,inf,0,0,0,0,0
117173062,inf,0,0,0,0,0
118181066,inf,0,0,0,0,0
119191987,inf,0,0,0,0,0
120199517,inf,0,0,0,0,0
121207377,inf,0,0,0,0,0
122219111,inf,0,0,0,0,0
123238503,inf,0,0,0,0,0
124249575,inf,0,0,0,0,0
125264058,inf,0,0,0,0,0
126275135,inf,0,0,0,0,0
127284058,inf,0,0,0,0,0
128288068,inf,0,0,0,0,0
129293061,inf,0,0,0,0,0
130297130,inf,0,0,0,0,0
131311110,inf,0,0,0,0,0
132329058,inf,0,0,0,0,0
133346217,inf,0,0,0,0,0
134361423,inf,0,0,0,0,0
135373119,inf,0,0,0,0,0
136384103,inf,0,0,0,0,0
137395176,inf,0,0,0,0,0
138408056,inf,0,0,0,0,0
139420072,inf,0,0,0,0,0
140433012,inf,0,0,0,0,0
141452797,inf,0,0,0,0,0
142470063,inf,0,0,0,0,0
144493058,inf,0,0,0,0,0
145505058,inf,0,0,0,0,0
146515243,inf,0,0,0,0,0
147524061,inf,0,0,0,0,0
148532058,inf,0,0,0,0,0
149537153,inf,0,0,0,0,0
150547367,inf,0,0,0,0,0
151551152,inf,0,0,0,0,0
152565058,inf,0,0,0,0,0
153577584,inf,0,0,0,0,0
154590499,inf,0,0,0,0,0
155599145,inf,0,0,0,0,0
156605064,inf,0,0,0,0,0
157610351,inf,0,0,0,0,0
158616061,inf,0,0,0,0,0
159626145,inf,0,0,0,0,0
160630061,inf,0,0,0,0,0
161638058,inf,0,0,0,0,0
162649226,inf,0,0,0,0,0
163664617,inf,0,0,0,0,0
164679111,inf,0,0,0,0,0
165687141,inf,0,0,0,0,0
166699138,inf,0,0,0,0,0
167713828,inf,0,0,0,0,0
168724058,inf,0,0,0,0,0
169736071,inf,0,0,0,0,0
170754165,inf,0,0,0,0,0
171764058,inf,0,0,0,0,0
172777058,inf,0,0,0,0,0
173787357,inf,0,0,0,0,0
174797058,inf,0,0,0,0,0
175800062,inf,0,0,0,0,0
176813019,inf,0,0,0,0,0
177826058,inf,0,0,0,0,0
178845919,inf,0,0,0,0,0
179849535,inf,0,0,0,0,0
180862060,inf,0,0,0,0,0
181867491,inf,0,0,0,0,0
182876058,inf,0,0,0,0,0
183881058,inf,0,0,0,0,0
184893058,inf,0,0,0,0,0
185908109,inf,0,0,0,0,0
186919218,inf,0,0,0,0,0
187931163,inf,0,0,0,0,0
188934058,inf,0,0,0,0,0
189936061,inf,0,0,0,0,0
190942058,inf,0,0,0,0,0
191643599,inf,0,0,0,0,1
192659602,inf,0,0,0,0,1
193671516,inf,0,0,0,0,1
193692599,inf,0,0,0,0,0
194709731,inf,0,0,0,0,0
195717583,inf,0,0,0,0,0
196721843,inf,0,0,0,0,0
197732064,inf,0,0,0,0,0
198743135,inf,0,0,0,0,0
199753062,inf,0,0,0,0,0
200763141,inf,0,0,0,0,0
201769063,inf,0,0,0,0,0
203785058,inf,0,0,0,0,0
204790058,inf,0,0,0,0,0
205796058,inf,0,0,0,0,0
206803945,inf,0,0,0,0,0
207812058,inf,0,0,0,0,0
208812066,inf,0,0,0,0,0
209572063,inf,0,0,0,0,1
210582295,inf,0,0,0,0,1
211602031,inf,0,0,0,0,1
212618333,inf,0,0,0,0,1
213630058,inf,0,0,0,0,1
214041625,inf,0,0,0,0,0
215055143,inf,0,0,0,0,0
216065881,inf,0,0,0,0,0
217079158,inf,0,0,0,0,0
218092067,inf,0,0,0,0,0
