timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
100869476,0,0.0,0.0,0.0,0.0,0.08079942,-5.862651e-07,4.3724148e-07,0.0,-0.02617006,0.022732414,-0.013431563,0.011168694,-0.00014645644,0.00010922845,0.0,-0.014723919,0.007807468,-0.0026442644,-1.3557748,0.0,0.104253106,0.013431563,0.119082354,0.24778427,0.10002993,0.10972006,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
100973482,0,0.0,0.0,0.0,0.0,0.08057283,-5.862651e-07,4.3724148e-07,0.0,-0.02595557,0.022853907,-0.013504261,0.009312388,-0.00014645644,0.00010922845,0.0,0.009915385,0.013308192,0.0036591322,-1.3558443,0.0,0.10675806,0.013504261,0.120378464,0.24912366,0.100750804,0.11010999,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101077476,0,0.0,0.0,0.0,0.0,0.07914172,-5.862651e-07,4.3724148e-07,0.0,-0.02569828,0.023405228,-0.014297537,0.005755905,-0.00014645644,0.00010922845,0.0,0.0014061707,0.02288811,0.005808091,-1.355975,0.0,0.1,0.014297537,0.119963765,0.24855585,0.10057998,0.109973155,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101173471,0,0.0,0.0,0.0,0.0,0.075645916,-5.862651e-07,4.3724148e-07,0.0,-0.025400303,0.02413139,-0.014904238,0.0009137558,-0.00014645644,0.00010922845,0.0,-0.014975244,0.015213444,-0.015562433,-1.3560603,0.0,0.1,0.014904238,0.11894782,0.24731903,0.10008882,0.10965157,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101277477,0,0.0,0.0,0.0,0.0,0.07222685,-5.862651e-07,4.3724148e-07,0.0,-0.024689578,0.024741773,-0.016575206,-0.004342661,-0.00014645644,0.00010922845,0.0,-0.027081568,0.029726375,-0.018745838,-1.3560225,0.0,0.1,0.016575206,0.12024141,0.24867237,0.100783736,0.110043816,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101381494,0,0.0,0.0,0.0,0.0,0.068773985,-5.862651e-07,4.3724148e-07,0.0,-0.02390114,0.02563913,-0.017807927,-0.008592297,-0.00014645644,0.00010922845,0.0,-0.0010807764,0.03224303,-0.007458598,-1.3560451,0.0,0.1,0.017807927,0.12141932,0.24995948,0.10137036,0.11040427,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101477471,0,0.0,0.0,0.0,0.0,0.06648471,-5.862651e-07,4.3724148e-07,0.0,-0.023461565,0.026575966,-0.018778915,-0.011029208,-0.00014645644,0.00010922845,0.0,-0.022699118,0.037911583,0.00825727,-1.3560845,0.0,0.1,0.018778915,0.121862635,0.25049347,0.101547755,0.110545754,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101581471,0,0.0,0.0,0.0,0.0,0.06527418,-5.862651e-07,4.3724148e-07,0.0,-0.023184067,0.02777193,-0.019171083,-0.011495835,-0.00014645644,0.00010922845,0.0,-0.0064541893,0.03378396,-0.01303452,-1.3560871,0.0,0.103399605,0.019171083,0.12112118,0.24975283,0.10110289,0.110330306,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101685471,0,0.0,0.0,0.0,0.0,0.06498707,-5.862651e-07,4.3724148e-07,0.0,-0.022702487,0.028507221,-0.019021329,-0.010496818,-0.00014645644,0.00010922845,0.0,-0.014589982,0.019725366,-0.0024653596,-1.3560601,0.0,0.106383674,0.019021329,0.120457865,0.24905254,0.10072845,0.1101346,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101781477,0,0.0,0.0,0.0,0.0,0.063913904,-5.862651e-07,4.3724148e-07,0.0,-0.022066351,0.029550709,-0.019030677,-0.010696528,-0.00014645644,0.00010922845,0.0,-0.023293102,0.033592124,-0.0055239224,-1.356089,0.0,0.101393454,0.019030677,0.12097863,0.24963027,0.10098975,0.1102964,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101884718,0,0.0,0.0,0.0,0.0,0.05952125,-5.862651e-07,4.3724148e-07,0.0,-0.0218827,0.030607373,-0.019905692,-0.014898262,-0.00014645644,0.00010922845,0.0,-0.0074731857,0.042449027,-0.041687507,-1.3561149,0.0,0.1,0.019905692,0.12034459,0.24891773,0.10065517,0.11011685,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
101989496,0,0.0,0.0,0.0,0.0,0.055318467,-5.862651e-07,4.3724148e-07,0.0,-0.021158682,0.031228527,-0.020875322,-0.018399969,-0.00014645644,0.00010922845,0.0,-0.0046882103,0.014942197,-0.019179037,-1.3562348,0.0,0.10109184,0.020875322,0.11987851,0.24836865,0.10042951,0.10996307,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
