timestamp,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],heartbeats[0].timestamp,heartbeats[0].system_id,heartbeats[0].component_id,heartbeats[0].type,heartbeats[0].state,heartbeats[0]._padding0[0],heartbeats[0]._padding0[1],heartbeats[0]._padding0[2],heartbeats[0]._padding0[3],heartbeats[1].timestamp,heartbeats[1].system_id,heartbeats[1].component_id,heartbeats[1].type,heartbeats[1].state,heartbeats[1]._padding0[0],heartbeats[1]._padding0[1],heartbeats[1]._padding0[2],heartbeats[1]._padding0[3],heartbeats[2].timestamp,heartbeats[2].system_id,heartbeats[2].component_id,heartbeats[2].type,heartbeats[2].state,heartbeats[2]._padding0[0],heartbeats[2]._padding0[1],heartbeats[2]._padding0[2],heartbeats[2]._padding0[3],heartbeats[3].timestamp,heartbeats[3].system_id,heartbeats[3].component_id,heartbeats[3].type,heartbeats[3].state,heartbeats[3]._padding0[0],heartbeats[3]._padding0[1],heartbeats[3]._padding0[2],heartbeats[3]._padding0[3]
128672556,1200.0,0.6396959,0.062746376,1.0607126,0.0,0,0,1,1,1,1,38,0,0,0,0,0,128668326,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129674486,1200.0,0.6396959,0.04191487,1.1037582,0.0,0,0,1,1,1,1,38,0,0,0,0,0,128668326,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129704582,1200.0,0.6396959,0.04191487,1.1037582,0.0,0,0,1,1,1,1,38,0,0,0,0,0,129702419,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130634564,1200.0,0.6396959,0.041585762,0.8614194,0.0,0,0,1,1,1,1,38,0,0,0,0,0,130627519,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131694326,1200.0,0.6396959,0.04199773,1.2159343,0.0,0,0,1,1,1,1,38,0,0,0,0,0,131687243,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132714231,1200.0,0.6396959,0.041586053,1.0901486,0.0,0,0,1,1,1,1,38,0,0,0,0,0,132711387,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133634224,1200.0,0.6396959,0.041586053,1.0901486,0.0,0,0,1,1,1,1,38,0,0,0,0,0,133632307,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134694319,1200.0,0.6396959,0.041996386,1.2488925,0.0,0,0,1,1,1,1,38,0,0,0,0,0,134689381,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135634234,1200.0,0.6396959,0.041996386,1.2488925,0.0,0,0,1,1,1,1,38,0,0,0,0,0,135633424,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136644564,1200.0,0.6396959,0.062388096,1.0705005,0.0,0,0,1,1,1,1,38,0,0,0,0,0,136638344,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137709515,1200.0,0.6396959,0.020891258,1.3241079,0.0,0,0,1,1,1,1,38,0,0,0,0,0,137707730,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138641573,1200.0,0.6396959,0.020891258,1.3241079,0.0,0,0,1,1,1,1,38,0,0,0,0,0,138633370,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139651469,1200.0,0.6396959,0.062869854,0.99693626,0.0,0,0,1,1,1,1,38,0,0,0,0,0,139643360,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140711507,1200.0,0.6396959,0.02099916,1.2179512,0.0,0,0,1,1,1,1,38,0,0,0,0,0,140703379,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141662419,1200.0,0.6396959,0.02099916,1.2179512,0.0,0,0,1,1,1,1,38,0,0,0,0,0,141659313,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144643290,1200.0,0.6396959,0.020979019,1.3276722,0.0,0,0,1,1,1,1,38,0,0,0,0,0,144641462,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145663395,1200.0,0.6396959,0.06237747,0.793085,0.0,0,0,1,1,1,1,38,0,0,0,0,0,145654302,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146733609,1200.0,0.6396959,0.020794095,1.2842829,0.0,0,0,1,1,1,1,38,0,0,0,0,0,146724312,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147643974,1200.0,0.6396959,0.020794095,1.2842829,0.0,0,0,1,1,1,1,38,0,0,0,0,0,147641742,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148664041,1200.0,0.6396959,0.06236802,0.8345435,0.0,0,0,1,1,1,1,38,0,0,0,0,0,148659313,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149744511,1200.0,0.6396959,0.02097879,1.3266587,0.0,0,0,1,1,1,1,38,0,0,0,0,0,149737783,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150654319,1200.0,0.6396959,0.02097879,1.3266587,0.0,0,0,1,1,1,1,38,0,0,0,0,0,150648305,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151671363,1200.0,0.6396959,0.062997855,0.8039726,0.0,0,0,1,1,1,1,38,0,0,0,0,0,151668111,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152772645,1200.0,0.6396959,0.020984847,1.2341089,0.0,0,0,1,1,1,1,38,0,0,0,0,0,152771756,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153663792,1200.0,0.6396959,0.020984847,1.2341089,0.0,0,0,1,1,1,1,38,0,0,0,0,0,153654317,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154674286,1200.0,0.6396959,0.08887371,0.87076265,0.0,0,0,1,1,1,1,38,0,0,0,0,0,154671921,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155834341,1200.0,0.6396959,0.020997563,1.0588771,0.0,0,0,1,1,1,1,38,0,0,0,0,0,155827498,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156664554,1200.0,0.6396959,0.020997563,1.0588771,0.0,0,0,1,1,1,1,38,0,0,0,0,0,156658453,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157684221,1200.0,0.6396959,0.062383402,1.0308114,0.0,0,0,1,1,1,1,38,0,0,0,0,0,157678288,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158744273,1200.0,0.6396959,0.041998234,1.1059535,0.0,0,0,1,1,1,1,38,0,0,0,0,0,158743316,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159664271,1200.0,0.6396959,0.041583788,0.7930622,0.0,0,0,1,1,1,1,38,0,0,0,0,0,159662420,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160684220,1200.0,0.6396959,0.041584406,1.2722847,0.0,0,0,1,1,1,1,38,0,0,0,0,0,160681813,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162684348,1200.0,0.6396959,0.041998696,0.8429738,0.0,0,0,1,1,1,1,38,0,0,0,0,0,162678236,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163694299,1200.0,0.6396959,0.06799816,1.223967,0.0,0,0,1,1,1,1,38,0,0,0,0,0,163687970,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164764288,1200.0,0.6396959,0.041586544,1.106004,0.0,0,0,1,1,1,1,38,0,0,0,0,0,164758428,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165674287,1200.0,0.6396959,0.041584156,0.8277227,0.0,0,0,1,1,1,1,38,0,0,0,0,0,165671580,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166694324,1200.0,0.6396959,0.041997686,1.2959286,0.0,0,0,1,1,1,1,38,0,0,0,0,0,166692301,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167624333,1200.0,0.6396959,0.041994706,0.983876,0.0,0,0,1,1,1,1,38,0,0,0,0,0,167617713,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
