timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
128110818,7.406087e-05,-3.946312e-07,-0.00012750241,0.0
128170831,7.328471e-05,-3.620896e-06,-0.00013157679,0.0
128190843,6.9188354e-05,-3.0459753e-06,-0.00013412189,0.0
128210943,7.056352e-05,1.991783e-06,-0.00013686468,0.0
128230913,7.066551e-05,1.6476505e-06,-0.00013258828,0.0
128250805,6.825333e-05,-2.5168853e-07,-0.00013279526,0.0
128271089,7.0237016e-05,-4.1949352e-07,-0.00013151071,0.0
128290856,6.657866e-05,-3.0163785e-06,-0.00013023028,0.0
128310863,6.8645684e-05,-4.4282774e-06,-0.00012814932,0.0
128330895,6.693037e-05,-2.408672e-06,-0.0001285789,0.0
128350811,6.736303e-05,-3.4302345e-06,-0.00012731527,0.0
128370936,6.936932e-05,-7.408032e-07,-0.00012997176,0.0
128390770,6.7918576e-05,2.585802e-06,-0.00013085437,0.0
128410904,7.00909e-05,3.0839278e-06,-0.0001317514,0.0
128430860,7.362002e-05,4.8827096e-06,-0.00013835677,0.0
128450783,7.5421325e-05,-1.7094862e-06,-0.0001397831,0.0
128470777,7.485435e-05,-2.6902287e-06,-0.00014089156,0.0
128490794,7.699772e-05,-9.133016e-06,-0.00013686999,0.0
128510792,7.5687414e-05,-1.5603806e-05,-0.00013203104,0.0
128530812,7.672022e-05,-1.930068e-05,-0.00013147437,0.0
128550790,8.2106264e-05,-1.8461773e-05,-0.0001320964,0.0
128570805,7.67414e-05,-1.8981942e-05,-0.0001296577,0.0
128590689,7.658379e-05,-1.673807e-05,-0.00012862614,0.0
128610806,8.087042e-05,-9.405528e-06,-0.00012655852,0.0
128630845,7.889693e-05,-2.8723368e-06,-0.000121009034,0.0
128650863,7.792878e-05,3.0574136e-06,-0.00011965207,0.0
128670868,7.230365e-05,5.0656163e-06,-0.00011906589,0.0
128690894,7.650983e-05,3.6645251e-06,-0.000122054655,0.0
128710698,7.675998e-05,-1.5582638e-07,-0.00012685389,0.0
128730710,6.7294626e-05,-6.1534092e-06,-0.000130781,0.0
128750706,6.806976e-05,-8.860082e-06,-0.0001351631,0.0
128770698,7.048617e-05,-1.1042636e-05,-0.0001388516,0.0
128790688,6.7264074e-05,-7.846064e-06,-0.00014019014,0.0
128810693,6.3262705e-05,1.0191916e-06,-0.00013950132,0.0
128830704,6.300317e-05,-6.1880394e-07,-0.00013290232,0.0
128850887,6.63518e-05,-3.4055554e-06,-0.00013155414,0.0
128870861,5.992072e-05,-1.1332146e-05,-0.00012523709,0.0
128890765,6.7251065e-05,-1.1042414e-05,-0.00012492601,0.0
128910799,7.273262e-05,-4.9245677e-06,-0.00012816845,0.0
128930794,6.080235e-05,3.0782903e-06,-0.00012938508,0.0
128950787,6.8748435e-05,1.1377384e-05,-0.00013083198,0.0
128970901,6.999603e-05,1.1736299e-05,-0.00013322325,0.0
128990831,7.1428076e-05,5.0714248e-06,-0.00013268342,0.0
129010930,7.1530914e-05,-5.4654004e-07,-0.00013262185,0.0
129030827,7.391179e-05,-4.448118e-06,-0.00013223384,0.0
129050820,7.846848e-05,-3.0158085e-06,-0.00013264993,0.0
129070830,7.7028555e-05,3.1145487e-06,-0.00013385965,0.0
129090781,8.0966405e-05,1.326443e-06,-0.0001345967,0.0
129110878,8.017354e-05,3.1683496e-06,-0.00013561179,0.0
129150775,8.377602e-05,9.3624124e-07,-0.00013550113,0.0
129170721,8.18962e-05,1.5446445e-06,-0.00013236351,0.0
129190691,8.3696614e-05,-1.2443314e-06,-0.00013297221,0.0
129210685,8.239109e-05,3.3807896e-07,-0.0001310369,0.0
129230655,8.3443236e-05,1.4314542e-06,-0.00013023101,0.0
129250667,8.047006e-05,-3.1362651e-07,-0.00012934851,0.0
129270821,7.757809e-05,1.6050307e-06,-0.00012783118,0.0
129290840,8.061909e-05,-1.5176207e-06,-0.00012931139,0.0
129310787,7.616639e-05,-1.6528575e-06,-0.00012961491,0.0
129330781,7.130211e-05,-2.7440103e-06,-0.00013086718,0.0
129350711,7.258643e-05,-2.8211525e-06,-0.00013374748,0.0
129370723,7.024453e-05,-1.6013313e-06,-0.00013471571,0.0
129390734,6.9224e-05,-2.573908e-06,-0.00013304681,0.0
129410707,6.42705e-05,-4.4825603e-07,-0.00013123755,0.0
129430714,6.646654e-05,2.3437597e-06,-0.00013070644,0.0
129450704,6.4279746e-05,1.0713228e-06,-0.00012928667,0.0
129470692,6.256941e-05,-2.3084715e-06,-0.00012901463,0.0
129490714,6.2901076e-05,-2.1283197e-06,-0.0001305907,0.0
129510715,6.475309e-05,-3.692115e-06,-0.00013036293,0.0
129530727,6.296741e-05,-1.7623787e-06,-0.00012935145,0.0
129550721,6.1873514e-05,-2.0119726e-06,-0.00012837489,0.0
129570717,6.658785e-05,3.4587234e-07,-0.00012904774,0.0
129590814,6.612198e-05,1.8806988e-06,-0.00012925478,0.0
129610761,6.632457e-05,2.3211066e-06,-0.00012968467,0.0
129630756,7.018297e-05,2.7681222e-07,-0.00013026274,0.0
129650789,7.530344e-05,-1.5710348e-06,-0.00012943668,0.0
129670801,7.3337535e-05,-2.2854651e-06,-0.0001315429,0.0
129690849,7.284791e-05,-1.1212569e-06,-0.0001319852,0.0
129710861,7.950179e-05,8.229428e-07,-0.00013406842,0.0
129730777,7.939911e-05,2.3624973e-06,-0.0001337905,0.0
129750876,7.661874e-05,1.948278e-06,-0.00013418413,0.0
129770922,8.0561316e-05,1.9485105e-07,-0.00013359415,0.0
129790830,7.997461e-05,-2.7821684e-06,-0.00013335359,0.0
129810865,8.175082e-05,-1.5538556e-06,-0.00013192714,0.0
129830682,7.999111e-05,1.3436887e-06,-0.00013174501,0.0
129850855,8.080384e-05,1.8388445e-06,-0.00013207656,0.0
129870679,7.942722e-05,1.0726682e-06,-0.0001325412,0.0
129890778,7.717677e-05,6.3713406e-07,-0.00013182819,0.0
129910725,7.692549e-05,-1.3866899e-06,-0.00013058899,0.0
129930765,7.720342e-05,-1.4083101e-06,-0.0001316112,0.0
129950807,7.3846306e-05,6.1279064e-07,-0.00013122318,0.0
129970679,7.376359e-05,2.1843907e-06,-0.00013225028,0.0
129990705,7.2722425e-05,7.934281e-07,-0.0001340851,0.0
130010692,7.149315e-05,2.3567052e-06,-0.00013374309,0.0
130030693,7.0079856e-05,9.228203e-07,-0.00013150448,0.0
130050824,6.995734e-05,-1.2907622e-06,-0.00013406936,0.0
130070678,6.677633e-05,4.507501e-08,-0.00013044705,0.0
130090660,6.480666e-05,4.5511726e-07,-0.00012753629,0.0
130110672,6.681604e-05,-6.149374e-07,-0.00012989412,0.0
130130842,6.394175e-05,6.8652304e-07,-0.0001292035,0.0
130150812,6.345574e-05,6.03622e-07,-0.0001283289,0.0
130170853,6.3634245e-05,1.7021917e-07,-0.00012954736,0.0
130190809,6.722845e-05,-3.8116863e-07,-0.0001304061,0.0
130210733,6.743829e-05,-2.9690518e-06,-0.0001311962,0.0
130230716,6.686319e-05,-1.7650564e-06,-0.00013108163,0.0
130250755,6.7958994e-05,-1.147681e-06,-0.00013156848,0.0
130270729,6.904493e-05,1.3820637e-06,-0.0001316913,0.0
130290727,7.220487e-05,6.92798e-07,-0.00013044974,0.0
130310737,7.0659466e-05,-1.9423333e-06,-0.00013068914,0.0
130330841,7.482443e-05,3.2838504e-06,-0.00013214663,0.0
130350768,7.550776e-05,8.2438686e-07,-0.00013005317,0.0
130370773,7.56217e-05,3.4885565e-07,-0.00013046966,0.0
130390766,7.793924e-05,-7.9623436e-07,-0.00013135726,0.0
130410734,7.7617544e-05,3.7478534e-07,-0.0001319052,0.0
130430764,8.13565e-05,-1.4342588e-06,-0.00013216001,0.0
