timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
206474851,0.33171472,0.2148208,-2.7243698,0.32025447,0.33205435,0.34055173,0.34428725,-11.79531,-1.8026695,-1.8186951,-1.8130417,-1.8136406,4.7132106,-0.98530906,-0.9865186,-0.99669397,-0.99291086,0.022813872,0.022813872,0.7424823,0.18907605,0.022813872
206674864,0.31170446,1.2452437,-2.7586417,0.3094867,0.32130405,0.32965115,0.33277926,-9.889938,-1.9317551,-1.9433403,-1.9370155,-1.9354763,4.3742504,-1.3268317,-1.3396486,-1.3565971,-1.3585031,0.13189176,0.13189176,0.47243297,0.13189176,0.13189176
206874922,0.2821384,1.7273986,-2.8098044,0.280169,0.29179078,0.29971132,0.30129725,-8.590968,-1.8938179,-1.9017143,-1.8952713,-1.8940773,4.144808,-1.4594467,-1.4771416,-1.4958469,-1.4982662,0.18048976,0.18048976,0.27804092,0.18048976,0.18048976
207074851,0.27352348,1.0448018,-2.8494754,0.26344302,0.27503532,0.28280687,0.28384608,-8.260476,-1.8652954,-1.8705139,-1.8644733,-1.864727,4.145763,-1.2573289,-1.2729349,-1.2885721,-1.287946,0.10694159,0.21514197,0.30012083,0.18906446,0.18873115
207274851,0.2918857,0.21679755,-2.8527558,0.28003556,0.29158324,0.29921085,0.2997379,-7.649294,-1.693449,-1.697649,-1.6925945,-1.6932907,3.884587,-1.1163784,-1.1312966,-1.1453887,-1.1441612,0.021828564,0.25305417,0.32572815,0.20001084,0.19937818
207474856,0.43359703,0.7184258,-2.7232013,0.4218485,0.4332627,0.44030488,0.43881527,-6.338867,-1.7299385,-1.7342854,-1.7306442,-1.7316666,3.0585544,-1.394346,-1.4139173,-1.4301057,-1.4285753,0.0733239,0.26639625,0.30526832,0.17743832,0.17757328
207674851,0.44557026,0.09946708,-2.723495,0.43543443,0.4466828,0.4534623,0.45107648,-5.9927034,-1.6097336,-1.6130905,-1.6100922,-1.6122017,3.0166721,-1.0728791,-1.0892091,-1.102147,-1.0974654,0.0100787645,0.30335206,0.32225698,0.18163328,0.18267891
207874888,0.46398196,0.07388961,-2.714833,0.45454273,0.4655988,0.4720929,0.4687253,-5.378086,-1.5965271,-1.5999298,-1.597868,-1.6000633,2.5423598,-1.056647,-1.0726955,-1.0847148,-1.0788864,0.0074893455,0.32267258,0.31884646,0.17421551,0.17677602
208074851,0.48255157,0.082404315,-2.700912,0.4739175,0.48468587,0.49077293,0.48601708,-4.585452,-1.5531693,-1.5569286,-1.5558052,-1.5578747,1.8905175,-1.1744759,-1.1910661,-1.2027314,-1.1953664,0.008399347,0.3433514,0.31314445,0.1647061,0.17039874
208274898,0.49786782,0.059905153,-2.6846235,0.490251,0.500684,0.50631535,0.5000415,-3.8250542,-1.557291,-1.5623398,-1.5625553,-1.5640087,1.2525737,-1.1020243,-1.1189309,-1.1300492,-1.1202968,0.0060551306,0.3657107,0.30723077,0.15540645,0.16559696
