timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
127814523,127814,1,1,1,0,0,0,0,0
128317745,127814,1,1,1,0,0,0,0,0
128818242,127814,1,1,1,0,0,0,0,0
129324216,127814,1,1,1,0,0,0,0,0
129824630,127814,1,1,1,0,0,0,0,0
130333470,127814,1,1,1,0,0,0,0,0
130842249,127814,1,1,1,0,0,0,0,0
131351375,127814,1,1,1,0,0,0,0,0
131852215,127814,1,1,1,0,0,0,0,0
132353497,127814,1,1,1,0,0,0,0,0
132861479,127814,1,1,1,0,0,0,0,0
133369539,127814,1,1,1,0,0,0,0,0
133871893,127814,1,1,1,0,0,0,0,0
134880267,127814,1,1,1,0,0,0,0,0
135382212,127814,1,1,1,0,0,0,0,0
136394254,127814,1,1,1,0,0,0,0,0
136904174,127814,1,1,1,0,0,0,0,0
137404278,127814,1,1,1,0,0,0,0,0
137907457,127814,1,1,1,0,0,0,0,0
138418188,127814,1,1,1,0,0,0,0,0
138918287,127814,1,1,1,0,0,0,0,0
139421445,127814,1,1,1,0,0,0,0,0
139931362,127814,1,1,1,0,0,0,0,0
140950170,127814,1,1,1,0,0,0,0,0
141452177,127814,1,1,1,0,0,0,0,0
141960172,127814,1,1,1,0,0,0,0,0
142470216,127814,1,1,1,0,0,0,0,0
145013462,127814,1,1,1,0,0,0,0,0
145522411,127814,1,1,1,0,0,0,0,0
146027486,127814,1,1,1,0,0,0,0,0
146529325,127814,1,1,1,0,0,0,0,0
147037717,127814,1,1,1,0,0,0,0,0
147547738,127814,1,1,1,0,0,0,0,0
148057710,127814,1,1,1,0,0,0,0,0
148558423,127814,1,1,1,0,0,0,0,0
149069494,127814,1,1,1,0,0,0,0,0
149580175,127814,1,1,1,0,0,0,0,0
150089626,127814,1,1,1,0,0,0,0,0
150600175,127814,1,1,1,0,0,0,0,0
151111877,127814,1,1,1,0,0,0,0,0
151612173,127814,1,1,1,0,0,0,0,0
152122294,127814,1,1,1,0,0,0,0,0
152624174,127814,1,1,1,0,0,0,0,0
153138384,127814,1,1,1,0,0,0,0,0
153640187,127814,1,1,1,0,0,0,0,0
154151428,127814,1,1,1,0,0,0,0,0
154661636,127814,1,1,1,0,0,0,0,0
155171431,127814,1,1,1,0,0,0,0,0
155680232,127814,1,1,1,0,0,0,0,0
156191288,127814,1,1,1,0,0,0,0,0
156698237,127814,1,1,1,0,0,0,0,0
157203358,127814,1,1,1,0,0,0,0,0
157713474,127814,1,1,1,0,0,0,0,0
158221506,127814,1,1,1,0,0,0,0,0
158728818,127814,1,1,1,0,0,0,0,0
159231471,127814,1,1,1,0,0,0,0,0
159740215,127814,1,1,1,0,0,0,0,0
160249323,127814,1,1,1,0,0,0,0,0
160751465,127814,1,1,1,0,0,0,0,0
161260228,127814,1,1,1,0,0,0,0,0
162771378,127814,1,1,1,0,0,0,0,0
163278364,127814,1,1,1,0,0,0,0,0
163779175,127814,1,1,1,0,0,0,0,0
164281684,127814,1,1,1,0,0,0,0,0
164782268,127814,1,1,1,0,0,0,0,0
165288301,127814,1,1,1,0,0,0,0,0
165788327,127814,1,1,1,0,0,0,0,0
166289500,127814,1,1,1,0,0,0,0,0
166790172,127814,1,1,1,0,0,0,0,0
167298410,127814,1,1,1,0,0,0,0,0
167803220,127814,1,1,1,0,0,0,0,0
168313383,127814,1,1,1,0,0,0,0,0
168821524,127814,1,1,1,0,0,0,0,0
169838145,127814,1,1,1,0,0,0,0,0
170343173,127814,1,1,1,0,0,0,0,0
170853420,127814,1,1,1,0,0,0,0,0
171362457,127814,1,1,1,0,0,0,0,0
171871815,127814,1,1,1,0,0,0,0,0
172381723,127814,1,1,1,0,0,0,0,0
172891451,127814,1,1,1,0,0,0,0,0
173398320,127814,1,1,1,0,0,0,0,0
173898492,127814,1,1,1,0,0,0,0,0
174408271,127814,1,1,1,0,0,0,0,0
174702498,127814,1,1,1,0,1,0,0,0
175212256,127814,1,1,1,0,1,0,0,0
175722534,127814,1,1,1,0,1,0,0,0
176731295,127814,1,1,1,0,1,0,0,0
177241367,127814,1,1,1,0,1,0,0,0
177751430,127814,1,1,1,0,1,0,0,0
178261780,127814,1,1,1,0,1,0,0,0
179043240,127814,1,1,1,0,0,0,0,0
179551450,127814,1,1,1,0,0,0,0,0
180061689,127814,1,1,1,0,0,0,0,0
180568235,127814,1,1,1,0,0,0,0,0
182093472,127814,1,1,1,0,0,0,0,0
