timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
128636839,inf,0,0,0,1,0
129636875,inf,0,0,0,1,0
130636984,inf,0,0,0,1,0
131646433,inf,0,0,0,1,0
132646669,inf,0,0,0,1,0
133646878,inf,0,0,0,1,0
134657316,inf,0,0,0,1,0
135666778,inf,0,0,0,1,0
136676814,inf,0,0,0,1,0
137677115,inf,0,0,0,1,0
138686549,inf,0,0,0,1,0
139686580,inf,0,0,0,1,0
140686691,inf,0,0,0,1,0
141696930,inf,0,0,0,1,0
145716962,inf,0,0,0,1,0
146727728,inf,0,0,0,1,0
147728197,inf,0,0,0,1,0
148736962,inf,0,0,0,1,0
149746511,inf,0,0,0,1,0
150746710,inf,0,0,0,1,0
151756772,inf,0,0,0,1,0
152756981,inf,0,0,0,1,0
153766657,inf,0,0,0,1,0
154766683,inf,0,0,0,1,0
155766861,inf,0,0,0,1,0
156776794,inf,0,0,0,1,0
157777067,inf,0,0,0,1,0
158786591,inf,0,0,0,1,0
159786697,inf,0,0,0,1,0
160796858,inf,0,0,0,1,0
162806817,inf,0,0,0,1,0
163816683,inf,0,0,0,1,0
164816860,inf,0,0,0,1,0
165826568,inf,0,0,0,1,0
166826779,inf,0,0,0,1,0
167836900,inf,0,0,0,1,0
169846640,inf,0,0,0,1,0
170856796,inf,0,0,0,1,0
171857089,inf,0,0,0,1,0
172866938,inf,0,0,0,1,0
173877151,inf,0,0,0,1,0
174877444,inf,0,0,0,1,0
176886528,inf,0,0,0,1,0
177896752,inf,0,0,0,1,0
178897007,inf,0,0,0,1,0
179897030,inf,0,0,0,1,0
181916917,inf,0,0,0,1,0
182927609,inf,0,0,0,1,0
183927628,inf,0,0,0,1,0
184938284,inf,0,0,0,1,0
185938299,inf,0,0,0,1,0
186946775,inf,0,0,0,1,0
187956851,inf,0,0,0,1,0
188956972,inf,0,0,0,1,0
189966635,inf,0,0,0,1,0
190966908,inf,0,0,0,1,0
191976947,inf,0,0,0,1,0
193986509,inf,0,0,0,1,0
194986624,inf,0,0,0,1,0
195996987,inf,0,0,0,1,0
196997251,inf,0,0,0,1,0
198006577,inf,0,0,0,1,0
199006656,inf,0,0,0,1,0
200017011,inf,0,0,0,1,0
201026563,inf,0,0,0,1,0
201396887,inf,0,0,0,0,0
203398247,inf,0,0,0,0,0
204398689,inf,0,0,0,0,0
205398917,inf,0,0,0,0,0
206406817,inf,0,0,0,0,0
207419340,inf,0,0,0,0,0
208427235,inf,0,0,0,0,0
209438709,inf,0,0,0,0,0
210447386,inf,0,0,0,0,0
211458811,inf,0,0,0,0,0
212466935,inf,0,0,0,0,0
213477295,inf,0,0,0,0,0
214477437,inf,0,0,0,0,0
216497567,inf,0,0,0,0,0
217506738,inf,0,0,0,0,0
218517098,inf,0,0,0,0,0
219526990,inf,0,0,0,0,0
220528167,inf,0,0,0,0,0
221538494,inf,0,0,0,0,0
222547397,inf,0,0,0,0,0
223556745,inf,0,0,0,0,0
224567024,inf,0,0,0,0,0
225577021,inf,0,0,0,0,0
226586988,inf,0,0,0,0,0
227596708,inf,0,0,0,0,0
228597203,inf,0,0,0,0,0
229606585,inf,0,0,0,0,0
230606753,inf,0,0,0,0,0
231618580,inf,0,0,0,0,0
233636751,inf,0,0,0,0,0
234646519,inf,0,0,0,0,0
235646702,inf,0,0,0,0,0
236656900,inf,0,0,0,0,0
237657186,inf,0,0,0,0,0
238666529,inf,0,0,0,0,0
239666737,inf,0,0,0,0,0
240666784,inf,0,0,0,0,0
241667042,inf,0,0,0,0,0
242678946,inf,0,0,0,0,0
243686658,inf,0,0,0,0,0
244698487,inf,0,0,0,0,0
245698526,inf,0,0,0,0,0
248707418,inf,0,0,0,0,0
249718509,inf,0,0,0,0,0
250728223,inf,0,0,0,0,0
251738818,inf,0,0,0,0,0
252746971,inf,0,0,0,0,0
253758620,inf,0,0,0,0,0
254767300,inf,0,0,0,0,0
255778599,inf,0,0,0,0,0
256786908,inf,0,0,0,0,0
257798857,inf,0,0,0,0,0
258807052,inf,0,0,0,0,0
259817328,inf,0,0,0,0,0
260826479,inf,0,0,0,0,0
262827016,inf,0,0,0,0,0
263827056,inf,0,0,0,0,0
264838693,inf,0,0,0,0,0
265847001,inf,0,0,0,0,0
266858461,inf,0,0,0,0,0
267858559,inf,0,0,0,0,0
268866689,inf,0,0,0,0,0
269866870,inf,0,0,0,0,0
270879026,inf,0,0,0,0,0
271886627,inf,0,0,0,0,0
272886706,inf,0,0,0,0,0
273886864,inf,0,0,0,0,0
274898569,inf,0,0,0,0,0
275906522,inf,0,0,0,0,0
276906806,inf,0,0,0,0,0
277918964,inf,0,0,0,0,0
278927530,inf,0,0,0,0,0
279938228,inf,0,0,0,0,0
280938679,inf,0,0,0,0,0
281946676,inf,0,0,0,0,0
282947061,inf,0,0,0,0,0
283958593,inf,0,0,0,0,0
284966863,inf,0,0,0,0,0
285966954,inf,0,0,0,0,0
286978546,inf,0,0,0,0,0
287978572,inf,0,0,0,0,0
288986547,inf,0,0,0,0,0
289986677,inf,0,0,0,0,0
290986681,inf,0,0,0,0,0
294016639,inf,0,0,0,0,0
295016788,inf,0,0,0,0,0
296016932,inf,0,0,0,0,0
297016944,inf,0,0,0,0,0
298017055,inf,0,0,0,0,0
299027168,inf,0,0,0,0,0
300038821,inf,0,0,0,0,0
301047040,inf,0,0,0,0,0
302058640,inf,0,0,0,0,0
304078582,inf,0,0,0,0,0
305078757,inf,0,0,0,0,0
306086919,inf,0,0,0,0,0
307098711,inf,0,0,0,0,0
310126878,inf,0,0,0,0,0
311127724,inf,0,0,0,0,0
312127928,inf,0,0,0,0,0
313137727,inf,0,0,0,0,0
314138595,inf,0,0,0,0,0
315139790,inf,0,0,0,0,0
316139916,inf,0,0,0,0,0
317146958,inf,0,0,0,0,0
318158241,inf,0,0,0,0,0
319166643,inf,0,0,0,0,0
320166757,inf,0,0,0,0,0
321176705,inf,0,0,0,0,0
322176836,inf,0,0,0,0,0
323177046,inf,0,0,0,0,0
324186881,inf,0,0,0,0,0
327217056,inf,0,0,0,0,0
328227053,inf,0,0,0,0,0
329237271,inf,0,0,0,0,0
330246447,inf,0,0,0,0,0
331246551,inf,0,0,0,0,0
332246772,inf,0,0,0,0,0
333256919,inf,0,0,0,0,0
334266760,inf,0,0,0,0,0
335267181,inf,0,0,0,0,0
336276795,inf,0,0,0,0,0
337277046,inf,0,0,0,0,0
338286630,inf,0,0,0,0,0
339286771,inf,0,0,0,0,0
340296959,inf,0,0,0,0,0
341306579,inf,0,0,0,0,0
342316716,inf,0,0,0,0,0
343316804,inf,0,0,0,0,0
344316914,inf,0,0,0,0,0
345327988,inf,0,0,0,0,0
346328055,inf,0,0,0,0,0
347328191,inf,0,0,0,0,0
348336836,inf,0,0,0,0,0
349337537,inf,0,0,0,0,0
350346986,inf,0,0,0,0,0
351357109,inf,0,0,0,0,0
352367253,inf,0,0,0,0,0
353377043,inf,0,0,0,0,0
354386969,inf,0,0,0,0,0
356407017,inf,0,0,0,0,0
357416643,inf,0,0,0,0,0
358416776,inf,0,0,0,0,0
359416964,inf,0,0,0,0,0
360426684,inf,0,0,0,0,0
361426883,inf,0,0,0,0,0
362436790,inf,0,0,0,0,0
362466825,inf,0,0,0,1,0
364476959,inf,0,0,0,1,0
365477158,inf,0,0,0,1,0
