timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
128188360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130088378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133088407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134088362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135088365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138088418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139088365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140088369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141088522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148088397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150088374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153088495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154088409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155088366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156088364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158088377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163088368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165088405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168088364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173088379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178088425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183088373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184088361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186088503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187088361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188088364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191088548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194088369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196088413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197088399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199088360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200088372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201088410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202188356,0.35384408,-0.09674513,0.24519704,0.2040385,-4.1520004,2.120813,1.0,0.0,0.0
204088376,2.037388,-0.5064757,0.11767106,0.16654338,-1.4484015,2.0800416,1.0,-0.00972799,0.09057149
205088360,2.5661862,-0.7697385,0.099253625,0.16621761,-1.24821,2.056232,1.0,0.049626663,0.09042692
206088396,2.9288886,-0.8897036,0.087801605,0.1680017,-1.081068,2.030099,1.0,0.031623084,0.090393566
207088400,3.0225477,-0.89649826,0.086093806,0.1725829,-0.45954514,2.021663,1.0,0.012353473,0.0903938
209088379,3.0196722,-0.9023717,0.08802298,0.17690265,0.52970314,2.0301938,1.0,-0.069227904,0.09044489
210088369,3.0459087,-0.78777796,0.08843615,0.16886617,-1.8015413,2.0312288,1.0,-0.097088955,0.09043933
211088407,3.1019135,-0.6780166,0.08980253,0.16380401,0.105306625,2.042204,1.0,-0.12933286,0.090311654
212088360,3.0523,-0.69575185,0.09270045,0.15773657,-0.14135551,2.0474758,1.0,-0.08450001,0.09032485
213088361,3.113456,-0.57692194,0.09728981,0.15125415,-0.69148064,2.0528748,1.0,-0.056745242,0.09031285
214088360,3.2094984,-0.4231059,0.0981022,0.14108165,-0.72937584,2.037923,1.0,0.021740051,0.090354145
216088402,3.8694267,-0.11055327,0.10232694,0.14892392,-1.7157965,2.021338,1.0,0.16448215,0.090297796
217088363,4.183494,-0.24925594,0.09248959,0.14511973,-1.9594994,2.010198,1.0,0.23287083,0.09032455
218088423,4.4508357,-0.62673694,0.099013865,0.15001564,-3.1051283,2.0130415,1.0,0.21199562,0.09029053
219088360,4.5332594,-1.3040204,0.1079941,0.14862722,-4.1268225,2.0210376,1.0,0.32672936,0.09028496
221088416,4.453062,-1.8998818,0.13194856,0.16231093,-4.8812113,2.0549543,1.0,0.4931683,0.090364896
222088364,4.453062,-1.8998818,0.14404786,0.17441022,-5.7055426,2.0874567,1.0,0.36751214,0.0901675
223088372,4.453062,-1.8998818,0.15404893,0.1844113,-7.4201603,2.1811361,1.0,0.39699775,0.09007409
224088400,-0.0141066285,0.0323518,0.1570797,0.2433941,-8.611979,2.186499,1.0,0.1543347,0.09015938
226088504,0.03615795,-0.030806119,0.17204867,0.25500426,-7.5165577,2.1241207,1.0,-0.074099906,0.09048434
227088360,0.13500899,-0.1815187,0.17992125,0.25745836,-7.264427,2.1455407,1.0,-0.23289296,0.09061168
228088406,0.22094639,-0.31886023,0.18845153,0.26029187,-7.150097,2.167918,1.0,-0.100557834,0.090518065
229088363,-5.7024145,-2.937141,0.20232286,0.18005928,-1.3897362,2.1452706,1.0,-0.11626295,0.09046046
230088360,-6.183177,-3.1383243,0.173834,0.18485051,-1.2362652,2.0898638,1.0,-0.3175093,0.090493955
231088459,-6.3694205,-3.2973943,0.16055977,0.19016431,-1.370142,2.071877,1.0,-0.18523401,0.09040706
234088363,-5.8063216,-3.5611978,0.12636243,0.20378831,-0.24891853,2.0475678,1.0,-0.008386282,0.09056669
235088400,-5.7491665,-3.5964003,0.113024145,0.2034532,0.07080841,2.039872,1.0,-0.067773595,0.090835094
237088397,-5.9060106,-3.721941,0.088371485,0.18736264,-0.0096588135,2.024531,1.0,0.0027972558,0.090765804
238088360,-5.993808,-3.6384337,0.088134,0.18738069,-0.7305641,2.0266116,1.0,0.08028609,0.09062432
239088360,-6.0851,-3.3599331,0.08906719,0.17729647,-1.0453844,2.0301313,1.0,0.18517068,0.090621136
240088380,-6.096888,-2.7427993,0.09590421,0.15616967,-1.4941902,2.031783,1.0,0.24282269,0.09070528
241088458,-6.003909,-2.1720846,0.10335658,0.13570188,-1.5680246,2.033636,1.0,0.34464324,0.090672925
242088363,-5.868626,-1.6462075,0.113760814,0.122523434,-2.1852598,2.0384502,1.0,0.531672,0.090549536
243088360,-5.4417167,-0.825493,0.11674748,0.10166807,-2.6180296,2.05534,1.0,0.52864087,0.09022525
