timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
129404871,15264851,49.0896256,2.1103528,-0.8841443,0.15809813,-0.5577703,0.0007406403,-0.003378704,0.0,-0.0013520054,0.0036929117,-0.0053083086,0.004141492,0.0024132254,-0.020157471,0.022179201,-0.004643491,0.03274244,-0.016021045,0.6478759,-0.0019224319,85.56228,0.102170974,0.23945685,0.39186946,0.12814629,0.10529204,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129504848,15264851,49.0896256,2.1103528,-0.8831312,0.15923588,-0.5572424,0.0007406403,-0.003378704,0.0,-0.0020879,0.004031545,-0.005249283,0.004360907,0.0024132254,-0.020157471,0.022179201,-0.008676256,0.012574549,0.051414028,0.6477674,-0.0019224319,85.56228,0.100003034,0.24831717,0.3936813,0.13267532,0.106698945,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129604857,15264851,49.0896256,2.1103528,-0.8833797,0.16016798,-0.55787915,0.0007406403,-0.003378704,0.0,-0.0020120942,0.004440453,-0.0052640247,0.0032139923,0.0024132254,-0.020157471,0.022179201,-0.0072461097,-0.007905713,-0.029505545,0.64762574,-0.0019224319,85.56228,0.1,0.23900254,0.3911062,0.12809516,0.10521133,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129704848,15264851,49.0896256,2.1103528,-0.88374895,0.16083099,-0.5595074,0.0007406403,-0.003378704,0.0,-0.0017684327,0.0032500506,-0.0038723159,0.0026611509,0.0024132254,-0.020157471,0.022179201,-0.0052957633,-0.017419694,0.013115068,0.6476163,-0.0019224319,85.56228,0.1,0.24786222,0.39289176,0.1326174,0.106610626,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129804848,15264851,49.0896256,2.1103528,-0.8810539,0.16223007,-0.5637008,0.0007406403,-0.003378704,0.0,0.00046692777,0.003564523,-0.0055614957,-0.0032555112,0.0024132254,-0.020157471,0.022179201,-0.010638881,-0.010147112,0.047502477,0.64789325,-0.0019224319,85.56228,0.1,0.23853317,0.39031705,0.12804233,0.10512285,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129904861,15264851,49.0896256,2.1103528,-0.8786273,0.16342884,-0.5666228,0.0007406403,-0.003378704,0.0,0.0012046155,0.005053285,-0.006390347,-0.006584052,0.0024132254,-0.020157471,0.022179201,0.0036535938,0.015944285,-0.06403598,0.64803314,-0.0019224319,85.56228,0.1,0.24739194,0.39458576,0.13256504,0.10679679,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130004851,15264851,49.0896256,2.1103528,-0.8782762,0.16272672,-0.56407183,0.0007406403,-0.003378704,0.0,0.00084314717,0.0036176974,-0.0037504742,-0.00074766326,0.0024132254,-0.020157471,0.022179201,-0.03899072,0.010759858,-0.007379244,0.6482354,-0.0019224319,85.56228,0.1062679,0.23805039,0.39197958,0.1279726,0.10530135,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130104849,15264851,49.0896256,2.1103528,-0.878314,0.16199602,-0.5615079,0.0007406403,-0.003378704,0.0,-0.0009135005,0.0044677616,-0.0030752423,0.0025490595,0.0024132254,-0.020157471,0.022179201,-0.0010263617,0.029090783,0.016868342,0.64820445,-0.0019224319,85.56228,0.10480282,0.24690795,0.39378917,0.13250448,0.1067076,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130204849,15264851,49.0896256,2.1103528,-0.8775697,0.16229723,-0.5603414,0.0007406403,-0.003378704,0.0,0.000522925,0.004142353,-0.0018680285,0.004543348,0.0024132254,-0.020157471,0.022179201,7.902999e-05,-0.0003618282,-0.0025432536,0.6480596,-0.0019224319,85.56228,0.10229358,0.23760186,0.39120027,0.1279199,0.10521655,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130304849,15264851,49.0896256,2.1103528,-0.8768813,0.16254951,-0.5587749,0.0007406403,-0.003378704,0.0,0.0010791752,0.00402724,-0.0018960875,0.0055743847,0.0024132254,-0.020157471,0.022179201,0.018857874,0.019431386,0.0017466465,0.64811426,-0.0019224319,85.56228,0.100218624,0.24645975,0.392992,0.1324478,0.10661769,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130404852,15264851,49.0896256,2.1103528,-0.8752523,0.16242324,-0.5569531,0.0007406403,-0.003378704,0.0,0.001642815,0.0032461062,-0.002441036,0.0062593757,0.0024132254,-0.020157471,0.022179201,0.0155087765,-0.0075161597,-0.023669712,0.6482067,-0.0019224319,85.56228,0.10269293,0.23722835,0.39042023,0.12788367,0.10513093,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130504848,15264851,49.0896256,2.1103528,-0.87377036,0.16222166,-0.5556347,0.0007406403,-0.003378704,0.0,0.0034533418,0.0030992602,-0.0030096818,0.0063335258,0.0024132254,-0.020157471,0.022179201,-0.015249131,0.022057045,0.0014862014,0.6484946,-0.0019224319,85.56228,0.1,0.24608916,0.3922111,0.13241377,0.10653143,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130604852,15264851,49.0896256,2.1103528,-0.87188613,0.16061541,-0.554718,0.0007406403,-0.003378704,0.0,0.0026708592,0.0024594767,-0.0012119791,0.008255394,0.0024132254,-0.020157471,0.022179201,0.013113625,0.031655002,-0.014141336,0.64855254,-0.0019224319,85.56228,0.10033539,0.2368739,0.3921016,0.1278474,0.105314314,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130704861,15264851,49.0896256,2.1103528,-0.87026095,0.15921168,-0.5541963,0.0007406403,-0.003378704,0.0,0.00410813,0.000984084,-0.0021531275,0.0070382673,0.0024132254,-0.020157471,0.022179201,-0.011820656,-0.014916505,-0.0020105615,0.64871085,-0.0019224319,85.56228,0.1,0.24573804,0.3939173,0.13237594,0.10672208,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130804868,15264851,49.0896256,2.1103528,-0.8672258,0.15833072,-0.5534079,0.0007406403,-0.003378704,0.0,0.0047218697,0.0020675764,-0.0022707933,0.006958448,0.0024132254,-0.020157471,0.022179201,0.0070951274,0.02261986,0.009637667,0.64878696,-0.0019224319,85.56228,0.1,0.23668526,0.3913451,0.12791231,0.10524699,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
130904848,15264851,49.0896256,2.1103528,-0.86476463,0.15769261,-0.55284464,0.0007406403,-0.003378704,0.0,0.00651194,0.0013536593,-0.001631217,0.0073383898,0.0024132254,-0.020157471,0.022179201,0.036976155,-0.0024771977,-0.002348101,0.6486778,-0.0019224319,85.56228,0.1,0.2455649,0.39315233,0.13244282,0.10665193,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131004886,15264851,49.0896256,2.1103528,-0.8607834,0.15539972,-0.55109656,0.0007406403,-0.003378704,0.0,0.008317186,-0.0011694662,-0.0009937873,0.008906287,0.0024132254,-0.020157471,0.022179201,-0.015283139,-0.0028875868,0.030157954,0.64885736,-0.0019224319,85.56228,0.103574306,0.23649427,0.39059517,0.12795667,0.105179526,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131104848,15264851,49.0896256,2.1103528,-0.8575665,0.15349914,-0.5489278,0.0007406403,-0.003378704,0.0,0.009700707,-0.0015902705,-0.0014293503,0.009620846,0.0024132254,-0.020157471,0.022179201,0.023954153,-0.0059378557,0.007529857,0.6488602,-0.0019224319,85.56228,0.103785604,0.24538724,0.39240223,0.13249137,0.1065838,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131204886,15264851,49.0896256,2.1103528,-0.8539888,0.15085943,-0.5441027,0.0007406403,-0.003378704,0.0,0.011223313,-0.0028788259,0.00090209726,0.015505463,0.0024132254,-0.020157471,0.022179201,0.0155625325,0.013726558,0.0016600485,0.64903295,-0.0019224319,85.56228,0.10793516,0.2362397,0.38985234,0.1279024,0.10510043,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131304853,15264851,49.0896256,2.1103528,-0.85096925,0.14865518,-0.540357,0.0007406403,-0.003378704,0.0,0.011160383,-0.002758189,0.0013130009,0.01785389,0.0024132254,-0.020157471,0.022179201,-0.013439088,-0.021181224,0.0020999936,0.64907,-0.0019224319,85.56228,0.10358325,0.2451348,0.39412534,0.13243452,0.10677576,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131404849,15264851,49.0896256,2.1103528,-0.8457342,0.14722955,-0.53879994,0.0007406403,-0.003378704,0.0,0.013488854,-0.0028581428,0.0017498845,0.017778724,0.0024132254,-0.020157471,0.022179201,0.03335638,0.012129778,-0.0066043837,0.6491016,-0.0019224319,85.56228,0.1,0.23598388,0.39150932,0.12784527,0.1052754,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131504853,15264851,49.0896256,2.1103528,-0.84116787,0.14614491,-0.5373286,0.0007406403,-0.003378704,0.0,0.014285699,-0.0028890346,0.0009606764,0.016487507,0.0024132254,-0.020157471,0.022179201,0.015673999,0.0047007655,-0.008278239,0.6490071,-0.0019224319,85.56228,0.1,0.2448802,0.39328894,0.132375,0.10667245,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131604850,15264851,49.0896256,2.1103528,-0.8355465,0.14534524,-0.5370361,0.0007406403,-0.003378704,0.0,0.017514529,-0.0034402409,0.0013892669,0.015424198,0.0024132254,-0.020157471,0.022179201,0.008990213,-0.052954175,-0.004717897,0.64894986,-0.0019224319,85.56228,0.1,0.23572625,0.39069274,0.12778752,0.1051778,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131704867,15264851,49.0896256,2.1103528,-0.8306716,0.14466254,-0.5378864,0.0007406403,-0.003378704,0.0,0.018468088,-0.0030478255,0.0005741964,0.012181071,0.0024132254,-0.020157471,0.022179201,-0.0042184284,-0.002022923,0.012293367,0.64904433,-0.0019224319,85.56228,0.1,0.24462338,0.39496246,0.13231827,0.106850795,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131804952,15264851,49.0896256,2.1103528,-0.82478625,0.1455271,-0.5400216,0.0007406403,-0.003378704,0.0,0.020120436,-0.0013595278,0.0009181411,0.009183242,0.0024132254,-0.020157471,0.022179201,0.029857937,0.0016930959,-6.251046e-07,0.6489804,-0.0019224319,85.56228,0.1,0.23546655,0.39233604,0.12772729,0.105349205,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
131904948,15264851,49.0896256,2.1103528,-0.819712,0.1463778,-0.5410869,0.0007406403,-0.003378704,0.0,0.021093735,-0.000948,0.00010297315,0.006543224,0.0024132254,-0.020157471,0.022179201,0.010029691,0.016958578,0.000166935,0.6490721,-0.0019224319,85.56228,0.1,0.24436393,0.3941392,0.1322569,0.10675355,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132004848,15264851,49.0896256,2.1103528,-0.8140759,0.14710183,-0.5425959,0.0007406403,-0.003378704,0.0,0.021642346,0.0012215589,-0.0014797479,0.0029666286,0.0024132254,-0.020157471,0.022179201,0.014466203,0.016149,-0.0180373,0.6490902,-0.0019224319,85.56228,0.1,0.23520501,0.39153165,0.12766898,0.10525714,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132104848,15264851,49.0896256,2.1103528,-0.80933034,0.14782438,-0.54301685,0.0007406403,-0.003378704,0.0,0.022332152,0.0013820952,-0.0027359754,0.0011758618,0.0024132254,-0.020157471,0.022179201,0.009764224,0.008456213,-0.04291625,0.6489073,-0.0019224319,85.56228,0.1,0.24410227,0.3933253,0.13219512,0.10665869,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132204848,15264851,49.0896256,2.1103528,-0.803474,0.14629865,-0.54261565,0.0007406403,-0.003378704,0.0,0.023916693,0.0001724528,-0.0023640974,0.0019822128,0.0024132254,-0.020157471,0.022179201,0.0022220116,-0.0065365904,0.04821765,0.6488458,-0.0019224319,85.56228,0.10134271,0.23498714,0.39073598,0.12761818,0.105167106,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132304850,15264851,49.0896256,2.1103528,-0.7983864,0.14485016,-0.5417909,0.0007406403,-0.003378704,0.0,0.025775861,-0.00027076737,-0.0027697838,0.0023914394,0.0024132254,-0.020157471,0.022179201,-0.009244313,0.0051092594,-0.019441048,0.6490188,-0.0019224319,85.56228,0.10264656,0.24388546,0.39252037,0.13214567,0.10656594,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
