timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
128104855,2359330,0.002734323,-0.0008859208,-0.0022011343,2359330,0.0,0.0,-0.04603599,592905,0.0,0.0,0.0
129104886,2359330,0.0027254152,-0.00087936246,-0.0022056033,2359330,0.0,0.0,-0.045863807,592905,0.0,0.0,0.0
130104849,2359330,0.002725689,-0.00088822615,-0.0022110941,2359330,0.0,0.0,-0.04625887,592905,0.0,0.0,0.0
131104848,2359330,0.0027355663,-0.00088679866,-0.0022258896,2359330,0.0,0.0,-0.046705972,592905,0.0,0.0,0.0
132104848,2359330,0.0027341514,-0.00088224804,-0.002212486,2359330,0.0,0.0,-0.04635992,592905,0.0,0.0,0.0
133104863,2359330,0.0027367945,-0.00089117786,-0.0022220444,2359330,0.0,0.0,-0.0457645,592905,0.0,0.0,0.0
134104861,2359330,0.0027294753,-0.0009025781,-0.0021888467,2359330,0.0,0.0,-0.045975555,592905,0.0,0.0,0.0
135104849,2359330,0.0027289393,-0.00090162625,-0.0021840297,2359330,0.0,0.0,-0.045913123,592905,0.0,0.0,0.0
136104851,2359330,0.002735265,-0.0009037458,-0.0020969256,2359330,0.0,0.0,-0.04637164,592905,0.0,0.0,0.0
137104883,2359330,0.002737781,-0.0009135182,-0.001995421,2359330,0.0,0.0,-0.045686055,592905,0.0,0.0,0.0
138104848,2359330,0.002737186,-0.00092378043,-0.0019121069,2359330,0.0,0.0,-0.046800796,592905,0.0,0.0,0.0
139104848,2359330,0.0027283833,-0.0009378523,-0.0018752743,2359330,0.0,0.0,-0.04620881,592905,0.0,0.0,0.0
140104858,2359330,0.0027307896,-0.0009476563,-0.0018163848,2359330,0.0,0.0,-0.046532094,592905,0.0,0.0,0.0
141104886,2359330,0.0027328515,-0.0009592316,-0.001754638,2359330,0.0,0.0,-0.04614623,592905,0.0,0.0,0.0
142104848,2359330,0.0027310993,-0.00096948957,-0.0016673169,2359330,0.0,0.0,-0.04567884,592905,0.0,0.0,0.0
145104915,2359330,0.002751471,-0.00095623883,-0.00166557,2359330,0.0,0.0,-0.044726018,592905,0.0,0.0,0.0
146104905,2359330,0.0027492347,-0.000952504,-0.0016967077,2359330,0.0,0.0,-0.04453285,592905,0.0,0.0,0.0
147104859,2359330,0.0027625929,-0.00092571194,-0.0017401186,2359330,0.0,0.0,-0.04393574,592905,0.0,0.0,0.0
148104848,2359330,0.0027689377,-0.0009231689,-0.0017831124,2359330,0.0,0.0,-0.043846417,592905,0.0,0.0,0.0
149104853,2359330,0.002770957,-0.0009232544,-0.0018269133,2359330,0.0,0.0,-0.044106305,592905,0.0,0.0,0.0
150104880,2359330,0.0027790628,-0.00094760803,-0.0018784197,2359330,0.0,0.0,-0.0442713,592905,0.0,0.0,0.0
