timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
128064853,0.011445489,0.047213804,0.0061397473,1
128274851,0.0007281908,0.0027002278,0.00034851022,0
128474895,0.0014414513,0.0018450485,0.00036252037,0
128674854,0.0014126281,0.0005079006,0.00068847334,0
128874893,0.0026199578,0.0021977911,0.00046916842,0
129074851,0.0025675585,0.0021538006,0.00080880144,0
129274853,0.0022190616,0.00018931017,0.00038707413,0
129474851,0.0024736137,0.00011470384,0.0011859604,0
129674860,0.0021272798,0.0007879607,0.00040096554,0
129874851,0.0031696025,0.00187191,0.001515346,0
130074851,0.001957282,0.0039353515,0.0013187462,0
130274851,0.0030268675,0.0011569767,0.0012621668,0
130474851,0.0030968832,0.0016342091,0.0015215051,0
130674854,0.0041110143,0.0010014197,0.0011698444,0
130864872,0.006365831,0.0009827147,0.0015982573,0
131074899,0.0073136874,0.00023760466,0.0022044196,0
131274851,0.009498615,0.0015331908,0.0018365367,0
131474850,0.010391929,0.0024028167,0.001736895,0
131674857,0.011155347,0.0037547806,0.0010564203,0
131874917,0.012035588,0.0044796844,0.0010274393,0
132074851,0.012998431,0.00448983,0.001882173,0
132274887,0.0138302,0.005497529,0.0015812943,0
132474891,0.0146539165,0.0070879385,0.0019916634,0
132674895,0.014368187,0.007849504,0.001895707,0
132874851,0.013991287,0.008888875,0.0020294862,0
133074851,0.013718461,0.009615706,0.0019717766,0
133274851,0.013444091,0.009123284,0.0019668485,0
133474851,0.013444091,0.009123284,0.0019668485,1
133664848,0.013444091,0.009123284,0.0019668485,1
133874885,0.013444091,0.009123284,0.0019668485,1
134074854,0.013444091,0.009123284,0.0019668485,1
134674854,0.013444091,0.009123284,0.0019668485,1
134874851,0.013444091,0.009123284,0.0019668485,1
135074854,0.013444091,0.009123284,0.0019668485,1
135284876,0.013444091,0.009123284,0.0019668485,1
135474887,0.013444091,0.009123284,0.0019668485,1
135684860,0.013444091,0.009123284,0.0019668485,1
136264849,0.013444091,0.009123284,0.0019668485,1
136464848,0.013444091,0.009123284,0.0019668485,1
