timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
129105993,129104787,592905,0.19783482,-0.1379868,0.3529356,nan,0,1
130105962,130104785,592905,0.19940212,-0.1482079,0.36181653,nan,0,1
131105936,131104785,592905,0.19783482,-0.13652663,0.36181653,nan,0,1
132105923,132104785,592905,0.20096943,-0.13944694,0.37365776,nan,0,1
133105938,133104792,592905,0.20410402,-0.11900475,0.37069744,nan,0,1
134105931,134104785,592905,0.2229116,-0.15404852,0.3529356,nan,0,1
135105926,135104785,592905,0.23074807,-0.13944694,0.35885626,nan,0,1
136105936,136104785,592905,0.25582483,-0.17011026,0.34849516,nan,0,1
137105989,137104826,592905,0.29187268,-0.17741103,0.32629287,nan,0,1
138105923,138104785,592905,0.23858455,-0.1613493,0.3558959,nan,0,1
139105924,139104785,592905,0.24642104,-0.15696883,0.33961424,nan,0,1
140105925,140104787,592905,0.26836318,-0.1482079,0.3440547,nan,0,1
141105967,141104819,592905,0.24171914,-0.1613493,0.327773,nan,0,1
142105975,142104785,592905,0.25112292,-0.15696883,0.32925317,nan,0,1
145105936,145104791,592905,0.19626753,-0.1379868,0.3721776,nan,0,1
146106105,146104939,592905,0.20567133,-0.12484538,0.36181653,nan,0,1
147105938,147104787,592905,0.18999833,-0.12484538,0.36181653,nan,0,1
148105928,148104785,592905,0.2025367,-0.12776569,0.366257,nan,0,1
149105988,149104791,592905,0.20880592,-0.13360633,0.37069744,nan,0,1
150105934,150104785,592905,0.18372913,-0.13360633,0.34553483,nan,0,1
151105924,151104785,592905,0.19626753,-0.14382742,0.366257,nan,0,1
152105927,152104785,592905,0.20567133,-0.13214615,0.3529356,nan,0,1
153105966,153104819,592905,0.19783482,-0.12630552,0.35441574,nan,0,1
154105924,154104785,592905,0.20410402,-0.14236727,0.3529356,nan,0,1
155105981,155104786,592905,0.2025367,-0.14236727,0.3603364,nan,0,1
156105933,156104785,592905,0.19783482,-0.13360633,0.36181653,nan,0,1
157105957,157104785,592905,0.18372913,-0.14966805,0.3529356,nan,0,1
158105978,158104821,592905,0.20096943,-0.13360633,0.35441574,nan,0,1
159105925,159104785,592905,0.19626753,-0.14236727,0.3410944,nan,0,1
