timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
128399848,0.0032081346,-0.0027932,-0.0011607988,4993,0,-0.27264175,-0.14452323,-9.880106,4993,0
128404848,0.007716917,-0.003244713,-0.0023863348,5000,0,-0.28483874,-0.12971814,-9.839594,5000,0
128409848,0.00220423,-0.0052923197,-0.000683438,5000,0,-0.29085928,-0.16084446,-9.868535,5000,0
128414851,0.003987509,-0.004934041,0.002981637,5003,0,-0.30090702,-0.1467923,-9.848192,5003,0
128419848,0.002989927,-0.008221138,0.0029432445,4997,0,-0.30231524,-0.13844047,-9.861518,4997,0
128424848,0.0026851723,-0.0047679716,0.003754035,5000,0,-0.29611942,-0.12753843,-9.841167,5000,0
128429848,-0.0004354892,-0.0023761026,0.0058155865,5000,0,-0.2740258,-0.13575216,-9.79558,5000,0
128434851,-0.0010453314,-0.002057294,0.006445956,5003,0,-0.28093687,-0.12951405,-9.821735,5003,0
128439848,0.002542389,-0.00019120138,0.005894092,4997,0,-0.29873276,-0.122582,-9.861566,4997,0
128444848,0.0016015669,0.00072379335,0.004482099,5000,0,-0.2992984,-0.086360544,-9.775123,5000,0
128449848,-0.0028747567,0.000815792,0.0059137363,5000,0,-0.3060975,-0.0791671,-9.769693,5000,0
128454851,0.0037933644,-0.000986933,0.005055374,5003,0,-0.31834438,-0.08450581,-9.831006,5003,0
128459848,-0.0011823557,0.0009735299,0.007424871,4997,0,-0.31491894,-0.073849924,-9.7983675,4997,0
128464848,0.00081432157,0.0021789232,0.0058203675,5000,0,-0.32135668,-0.033257183,-9.823918,5000,0
128469848,0.0017732951,0.0014155299,0.006694789,5000,0,-0.29295108,-0.03574842,-9.780171,5000,0
128474895,0.0010245853,0.0036793796,0.008095317,5047,0,-0.26860145,0.004305178,-9.783917,5047,0
128479848,-0.0017773148,0.0044555524,0.0035360039,4953,0,-0.2518002,0.025837855,-9.797842,4953,0
