timestamp,timestamp_sample,device_id,error_count,pressure,temperature
129096551,129096540,3997730,0,1010.50995,43.51
130103484,130103473,3997730,0,1010.5,43.52
131109812,131109801,3997730,0,1010.50995,43.53
132106465,132106455,3997730,0,1010.49,43.53
133103083,133103072,3997730,0,1010.48,43.53
134109411,134109400,3997730,0,1010.5,43.54
135095949,135095938,3997730,0,1010.50995,43.55
136102255,136102244,3997730,0,1010.50995,43.55
137109057,137109046,3997730,0,1010.48,43.55
138105676,138105665,3997730,0,1010.50995,43.559998
139101847,139101836,3997730,0,1010.48,43.57
140108536,140108525,3997730,0,1010.56,43.579998
141094724,141094713,3997730,0,1010.47,43.579998
142101461,142101451,3997730,0,1010.47,43.59
145110910,145110899,3997730,0,1010.50995,43.61
146106836,146106825,3997730,0,1010.52997,43.61
147093436,147093425,3997730,0,1010.50995,43.62
148099586,148099575,3997730,0,1010.56,43.62
149106566,149106552,3997730,0,1010.50995,43.62
150103253,150103242,3997730,0,1010.51996,43.629997
151109487,151109477,3997730,0,1010.50995,43.64
152106055,152106044,3997730,0,1010.54,43.649998
153092071,153092060,3997730,0,1010.50995,43.649998
154098878,154098865,3997730,0,1010.50995,43.649998
155105948,155105937,3997730,0,1010.56,43.67
156102933,156102922,3997730,0,1010.55,43.67
157109154,157109139,3997730,0,1010.47,43.68
158105854,158105839,3997730,0,1010.54,43.69
159091906,159091895,3997730,0,1010.45996,43.69
160098883,160098866,3997730,0,1010.5,43.7
161105484,161105473,3997730,0,1010.45996,43.7
163108271,163108260,3997730,0,1010.50995,43.719997
164104535,164104524,3997730,0,1010.48,43.719997
165111148,165111137,3997730,0,1010.54,43.73
166097349,166097338,3997730,0,1010.51996,43.73
167104170,167104160,3997730,0,1010.5,43.739998
168111103,168111090,3997730,0,1010.50995,43.75
170103954,170103944,3997730,0,1010.5,43.76
171110693,171110679,3997730,0,1010.51996,43.77
172096693,172096682,3997730,0,1010.51996,43.78
173103193,173103182,3997730,0,1010.51996,43.78
174109451,174109440,3997730,0,1010.49,43.79
175106067,175106056,3997730,0,1010.54,43.8
177108975,177108964,3997730,0,1010.5,43.809998
178095726,178095715,3997730,0,1010.54,43.82
179101878,179101867,3997730,0,1010.50995,43.82
180108717,180108706,3997730,0,1010.52997,43.829998
182101899,182101889,3997730,0,1010.56,43.85
183108763,183108752,3997730,0,1010.49,43.86
184094714,184094703,3997730,0,1010.50995,43.86
185101559,185101548,3997730,0,1010.54,43.87
186108238,186108227,3997730,0,1010.48,43.879997
187104563,187104548,3997730,0,1010.54,43.89
188111339,188111328,3997730,0,1010.50995,43.89
189107871,189107860,3997730,0,1010.5,43.899998
190094032,190094021,3997730,0,1010.52997,43.91
191100784,191100770,3997730,0,1010.50995,43.92
192106977,192106966,3997730,0,1010.49,43.92
194109839,194109828,3997730,0,1010.51996,43.93
195106395,195106384,3997730,0,1010.57996,43.94
196092977,196092966,3997730,0,1010.5,43.95
197099510,197099499,3997730,0,1010.43,43.96
198106263,198106252,3997730,0,1010.47,43.969997
199103074,199103063,3997730,0,1010.51996,43.969997
200109343,200109332,3997730,0,1010.52997,43.98
201105834,201105821,3997730,0,1010.48,43.989998
202273311,202273225,3997730,0,1010.42,44.0
204104799,204104788,3997730,0,1009.79,44.01
205111463,205111452,3997730,0,1009.63,44.02
206108148,206108137,3997730,0,1009.25995,44.03
207104162,207104151,3997730,0,1008.58997,44.04
209097257,209097246,3997730,0,1007.38995,44.05
210103966,210103955,3997730,0,1006.75,44.059998
211110715,211110704,3997730,0,1006.45996,44.07
212106948,212106937,3997730,0,1006.13995,44.079998
213103724,213103713,3997730,0,1005.82996,44.079998
214109856,214109845,3997730,0,1005.26996,44.09
216102997,216102986,3997730,0,1003.68,44.1
217109145,217109134,3997730,0,1003.13995,44.11
218105668,218105657,3997730,0,1002.66,44.12
219101772,219101761,3997730,0,1002.16,44.12
221095713,221095702,3997730,0,1000.61,44.14
222101950,222101939,3997730,0,999.88,44.149998
223108859,223108848,3997730,0,999.52997,44.149998
224104787,224104763,3997730,0,999.37,44.16
226108233,226108222,3997730,0,998.1,44.18
227094616,227094605,3997730,0,997.32,44.18
228101436,228101423,3997730,0,996.74,44.19
229108122,229108111,3997730,0,996.14996,44.2
230104274,230104263,3997730,0,995.62,44.2
231110944,231110933,3997730,0,995.14996,44.21
234100721,234100710,3997730,0,993.69995,44.23
235106765,235106754,3997730,0,993.31,44.239998
237109760,237109746,3997730,0,992.94995,44.239998
238106289,238106278,3997730,0,993.00995,44.25
239093140,239093129,3997730,0,992.87,44.26
240099388,240099377,3997730,0,992.82996,44.27
241106119,241106108,3997730,0,992.75,44.28
242103054,242103043,3997730,0,992.66,44.29
243109418,243109407,3997730,0,993.1,44.29
244106157,244106143,3997730,0,993.19995,44.3
245093176,245093165,3997730,0,993.39996,44.3
246099394,246099383,3997730,0,993.64996,44.309998
249108752,249108741,3997730,0,995.05,44.329998
250105606,250105595,3997730,0,995.26996,44.329998
251111632,251111621,3997730,0,995.54,44.34
252098351,252098340,3997730,0,995.61,44.35
253104531,253104520,3997730,0,995.56,44.35
254111660,254111649,3997730,0,995.43,44.36
255108354,255108343,3997730,0,995.52997,44.36
256104673,256104663,3997730,0,995.56,44.37
257111469,257111458,3997730,0,995.92,44.37
