timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
127651313,0,0,155,157,94,35,55
128567935,0,0,154,156,97,43,55
129592304,0,0,154,156,100,42,55
130651408,0,0,153,154,96,39,60
131568313,0,0,153,154,100,40,59
132599895,0,0,153,154,95,41,58
133661605,0,0,151,154,97,42,62
135611942,0,0,149,151,97,41,55
136658574,0,0,149,151,98,41,60
137578129,0,0,150,150,100,41,57
138621524,0,0,150,151,98,44,57
139661455,0,0,150,152,97,40,57
140577662,0,0,148,153,100,38,56
141623444,0,0,150,153,92,41,58
142549370,0,0,150,152,98,38,59
145551345,0,0,149,153,99,43,53
146587451,0,0,149,151,100,40,58
147631785,0,0,152,154,98,41,57
148559347,0,0,153,155,100,41,60
149611316,0,0,152,152,87,39,49
150639423,0,0,151,153,100,38,59
151561398,0,0,153,152,100,38,52
152621464,0,0,162,163,94,43,53
153641853,0,0,163,165,100,46,51
154571384,0,0,162,163,100,40,48
155611732,0,0,165,167,97,39,49
156647425,0,0,166,168,100,39,47
157571300,0,0,163,163,100,38,50
158617770,0,0,158,163,100,42,48
159649391,0,0,160,163,100,38,48
160591761,0,0,156,160,100,39,48
163598191,0,0,155,157,97,36,46
164619351,0,0,154,157,100,38,46
165662342,0,0,154,154,99,40,49
166587517,0,0,154,154,100,38,52
167638453,0,0,154,154,100,43,47
168557684,0,0,152,154,95,38,49
170644317,0,0,150,153,100,40,51
171687311,0,0,150,153,93,37,47
172601636,0,0,150,153,99,38,49
173651504,0,0,150,153,98,40,46
174578418,0,0,149,153,97,42,50
175601495,0,0,151,152,99,38,51
176657759,0,0,153,155,100,37,48
177577731,0,0,153,155,93,37,49
178618516,0,0,153,155,100,40,49
179657716,0,0,153,155,100,42,48
180571314,0,0,153,155,97,41,47
182671462,0,0,154,155,97,41,44
183583799,0,0,153,155,100,40,49
184617673,0,0,153,156,100,40,48
185668580,0,0,154,157,100,40,47
186591427,0,0,154,157,100,38,48
187618394,0,0,152,157,96,39,49
188568306,0,0,150,154,96,41,48
189598602,0,0,152,150,100,41,49
190623786,0,0,149,150,97,41,49
191557562,0,0,151,148,97,40,49
193677661,0,0,148,150,100,38,48
194561393,0,0,145,149,100,37,49
195607706,0,0,149,152,100,39,52
196658416,0,0,148,150,95,39,46
197564011,0,0,149,153,97,39,49
198619304,0,0,147,151,100,38,47
199661559,0,0,150,153,85,39,46
200568016,0,0,154,155,100,32,49
201614309,0,0,137,134,98,31,49
203579813,0,0,110,108,100,29,48
204628129,0,0,97,101,100,30,47
205662445,0,0,98,105,100,30,47
206581409,0,0,93,93,100,29,41
