timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
128104855,0.09899831,0.098998345,0.21394187,0.31930113,0.31930116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405273,0.0,0.0,nan,0.0,0.0,0.09013915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128304852,0.09892394,0.098923974,0.21394053,0.31576383,0.31576383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.406259,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128504848,0.09898497,0.09898502,0.21396492,0.31373525,0.31373528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.40615,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128704871,0.09897062,0.09897067,0.21394445,0.31147668,0.3114767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405325,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128904884,0.09895645,0.098956496,0.21398416,0.30922517,0.30922517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405767,0.0,0.0,nan,0.0,0.0,0.09013915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129104886,0.09894531,0.09894535,0.21396461,0.3080341,0.30803412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405681,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129304848,0.0989383,0.09893834,0.21394591,0.30580455,0.30580455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405412,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129504848,0.09893027,0.098930314,0.21392697,0.30462852,0.30462855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405331,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129704848,0.09892271,0.098922744,0.21396816,0.30346423,0.30346426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.406334,0.0,0.0,nan,0.0,0.0,0.090139136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129904861,0.09891537,0.09891541,0.21394926,0.30126753,0.30126756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.405511,0.0,0.0,nan,0.0,0.0,0.09013914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
