timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
68282820,68282350,-0.062051788,-0.0020612031,0.054334894
68285324,68284853,-0.16334888,0.09081109,0.11389632
68287859,68287391,-0.07189715,0.0595369,0.1419096
68290310,68289847,0.08780901,0.031127876,0.118728936
68292859,68292396,0.08293557,-0.030269684,0.069866456
68295335,68294871,0.047604695,-0.13741836,0.017728431
68297816,68297347,0.022617297,-0.18255816,-0.02104099
68300310,68299847,0.03308393,-0.16362071,0.011723116
68302820,68302347,0.015016273,-0.07533203,0.032182876
68305318,68304853,0.01934687,0.07029451,-0.0759158
68307817,68307347,0.11385064,0.16801642,-0.18371794
68310311,68309847,0.0752788,0.16948956,-0.19591641
68312865,68312397,-0.019845024,0.12127622,-0.15851712
68315321,68314856,-0.044115677,0.06369388,-0.11482464
68317831,68317356,-0.0071996823,-0.008580935,-0.09568119
68320349,68319884,0.0792897,-0.066242985,-0.05800026
68322818,68322347,0.06638538,-0.06370541,-0.022550115
68325337,68324850,0.02930429,-0.004822416,-0.044754006
68327813,68327351,0.17517336,-0.011234835,-0.04497916
68330316,68329847,0.343475,-0.07752905,-0.023351792
68332879,68332411,0.24900946,-0.03278669,-0.03407388
68335323,68334854,0.03397007,0.07704037,0.0613189
68337809,68337347,-0.07672713,0.14859967,0.1784223
68340351,68339887,-0.044209678,0.12603252,0.13704824
68342813,68342347,-0.030064682,0.03401717,0.105190046
68345323,68344850,-0.078934796,0.025409574,0.07971138
68347813,68347350,-0.073817186,0.028706517,-0.022297166
68350314,68349851,-0.08844129,-0.021195548,-0.16921726
68352864,68352396,-0.10150986,-0.04774653,-0.2819486
68355338,68354873,-0.04832754,-0.051784832,-0.32487836
68357812,68357349,-0.059203397,0.014131638,-0.23384015
68360332,68359847,0.0082122665,0.0828913,-0.07378494
68362823,68362356,0.23923743,0.009833046,0.03311016
68365323,68364851,0.34032184,-0.1595011,0.10183765
68367811,68367347,0.33741003,-0.2567885,0.085160606
68370335,68369873,0.21027893,-0.17001326,0.048443127
68372835,68372375,-0.03344998,0.013875316,0.09426874
68375328,68374856,-0.08321338,0.10926775,0.113960326
68377813,68377350,-0.015536497,0.13628049,0.109973945
68380313,68379847,0.05768701,0.163752,0.12870668
68382854,68382391,0.2214477,0.100502595,-0.0077751614
68385317,68384850,0.28815168,-0.012607698,-0.20510772
68387812,68387347,0.12003357,-0.11353564,-0.12794144
68390313,68389847,-0.022647344,-0.15585473,0.040610857
68395324,68394853,0.05167464,-0.08272576,0.07703518
68397816,68397350,0.0041876184,-0.012121391,-0.0063473308
68400330,68399847,-0.064357445,0.07832905,-0.07608944
