timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
68227353,-0.00396128,-0.0015307977,-0.0011852719,4999,0,0.054081198,0.12396146,-9.83197,4999,0
68282350,-0.0037234703,0.00035181173,8.7602144e-05,5000,0,0.09335911,0.13725045,-9.84639,5000,0
68287391,-0.0024389073,-0.00012765464,0.0010117647,5041,0,0.062146347,0.13306348,-9.865279,5041,0
68292396,-0.001987778,-0.0008283496,0.00054122356,5005,0,0.07648332,0.1328887,-9.84771,5005,0
68297347,-0.0022862013,-0.0022023132,0.00014006691,4951,0,0.07192934,0.1467681,-9.8303795,4951,0
68302347,-0.0021499419,-0.0012507144,0.0009658981,5000,0,0.07832701,0.12710026,-9.825148,5000,0
68307347,-0.00046511512,0.0005953026,-0.0017248903,5000,0,0.08495081,0.136871,-9.855927,5000,0
68312397,-0.002450103,3.3915063e-07,-0.0014103759,5050,0,0.08124643,0.13000117,-9.831464,5050,0
68317356,-0.0014858736,-0.0007073228,-0.0017473064,4959,0,0.07329861,0.12656268,-9.817979,4959,0
68322347,-0.001158825,-0.0007105675,-0.0014359498,4991,0,0.061742842,0.13920933,-9.855833,4991,0
68327351,0.001124271,-0.00057727605,-0.0020618686,5004,0,0.05688121,0.13431461,-9.847439,5004,0
68332411,0.0011687967,-0.000558085,-0.0022509303,5060,0,0.062279522,0.1380671,-9.827481,5060,0
68337347,-0.0006979897,0.0010998934,0.0003866252,4936,0,0.047349412,0.1567761,-9.808909,4936,0
68342347,0.00032700977,-0.00036009093,-0.0005718379,5000,0,0.055855785,0.15173179,-9.852604,5000,0
68347350,-0.00036290273,0.00051263446,-0.0015438873,5003,0,0.036424197,0.15242797,-9.858719,5003,0
68352396,-0.0011379615,-0.00027707033,-0.0040957155,5046,0,0.06787341,0.13239118,-9.853933,5046,0
68357349,-0.0011588394,0.0006558236,-0.0035881763,4953,0,0.06445497,0.1576311,-9.841013,4953,0
68362356,0.0028064726,-0.00021154524,-0.002271494,5007,0,0.04548074,0.14784026,-9.851084,5007,0
68367347,0.003138769,-0.0027313987,-0.0025150287,4991,0,0.05169686,0.15633287,-9.853792,4991,0
68372375,-0.000106907995,0.00038808628,-0.0016308337,5028,0,0.06679809,0.14623033,-9.833798,5028,0
68377350,0.0021705755,0.00036521672,-0.0013753955,4975,0,0.06366514,0.15278433,-9.839336,4975,0
68382391,0.004846003,0.00016593807,-0.0027023023,5041,0,0.054433867,0.14713088,-9.861026,5041,0
68387347,0.0027415883,-0.0015027517,-0.0024397695,4956,0,0.06440129,0.15033542,-9.834183,4956,0
68392383,0.0035889815,-0.0012700038,-0.0011985329,5036,0,0.06573678,0.12876604,-9.875186,5036,0
68397350,0.0031773946,-0.00061815383,-0.0025748422,4967,0,0.08282312,0.15146647,-9.842493,4967,0
