timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
69232602,0,-5.0414205,-4.918054,29.769999,4923665
70230139,0,-5.2914205,-5.150763,29.765,4923665
71228713,0,-4.7914205,-4.883146,29.779999,4923665
72226291,0,-4.84142,-4.9998794,29.785,4923665
73225627,0,-5.1414204,-5.196282,29.795,4923665
74234309,0,-5.0414205,-5.041265,29.789999,4923665
75232749,0,-5.2914205,-5.2937284,29.779999,4923665
76232273,0,-5.1414204,-5.1237793,29.769999,4923665
78228198,0,-5.1914206,-5.159608,29.775,4923665
79226374,0,-4.9414206,-4.928627,29.779999,4923665
80224357,0,-4.9914203,-4.8029995,29.789999,4923665
81232289,0,-4.1914206,-4.1836185,29.785,4923665
83228746,0,-4.6414204,-4.8948894,29.824999,4923665
84226132,0,-5.34142,-5.1600537,29.824999,4923665
85223909,0,-4.6914206,-4.8141127,29.804998,4923665
86233070,0,-5.09142,-4.9064984,29.795,4923665
87232023,0,-1.2414203,-2.7011864,29.814999,4923665
88230537,0,24.908579,18.937263,29.824999,4923665
89229069,0,54.408577,53.857445,29.804998,4923665
90227598,0,69.05858,69.59681,29.789999,4923665
91226211,0,100.75858,103.20719,29.804998,4923665
92224713,0,173.80858,165.25081,29.824999,4923665
93233702,0,198.50858,191.95992,29.804998,4923665
94232088,0,209.50858,205.72025,29.83,4923665
95230494,0,158.55858,162.05107,29.814999,4923665
96228336,0,137.30858,145.14572,29.814999,4923665
97226909,0,166.35858,167.05006,29.824999,4923665
98224625,0,140.75858,138.7977,29.824999,4923665
99224043,0,146.85858,147.67715,29.845,4923665
100233372,0,125.85858,127.356125,29.855,4923665
101232031,0,120.25858,119.196915,29.824999,4923665
102230153,0,115.75858,114.77083,29.849998,4923665
103228746,0,110.158585,112.925804,29.865,4923665
104226292,0,121.75858,119.0564,29.859999,4923665
105235104,0,100.00858,98.81782,29.855,4923665
108229398,0,127.80858,129.25296,29.88,4923665
109228146,0,136.95859,144.911,29.875,4923665
110227164,0,136.10858,138.10887,29.855,4923665
111226300,0,150.00858,145.0464,29.865,4923665
112224711,0,146.20859,144.88498,29.855,4923665
113224432,0,156.85858,154.41446,29.865,4923665
114232913,0,190.40858,188.0741,29.89,4923665
115230234,0,189.85858,203.00653,29.865,4923665
116228966,0,130.45859,131.53381,29.88,4923665
117227712,0,85.85858,87.440994,29.885,4923665
119225219,0,91.658585,92.59651,29.91,4923665
120224807,0,93.25858,94.46142,29.904999,4923665
121224012,0,104.85858,112.03335,29.92,4923665
122232030,0,125.758575,125.552155,29.904999,4923665
123230410,0,115.20858,117.814285,29.925,4923665
124229073,0,116.25858,112.48249,29.929998,4923665
125226459,0,106.85858,105.857994,29.914999,4923665
126234537,0,136.80858,133.50899,29.96,4923665
127232653,0,130.20859,128.72903,29.949999,4923665
129231237,0,159.55858,156.4378,29.955,4923665
130230463,0,168.70859,168.20596,29.935,4923665
131228226,0,188.15858,187.76917,29.97,4923665
132226238,0,183.65858,184.37878,29.939999,4923665
133224356,0,170.65858,172.34113,29.955,4923665
134232716,0,187.85858,182.49342,29.92,4923665
135231459,0,198.70859,195.23868,29.96,4923665
136230235,0,203.45859,207.16862,29.945,4923665
137229415,0,214.45859,207.22255,29.955,4923665
138227406,0,207.60858,205.44843,29.925,4923665
139226213,0,231.85858,231.94417,29.96,4923665
140225450,0,238.65858,235.73508,29.949999,4923665
141224290,0,256.50858,254.38358,29.949999,4923665
142232983,0,251.5586,253.95886,29.949999,4923665
143230622,0,228.05858,229.95958,29.949999,4923665
144228862,0,236.90858,247.48154,29.965,4923665
146226850,0,244.00858,238.34157,29.965,4923665
147225456,0,118.908585,118.48752,29.965,4923665
148234390,0,211.80858,205.449,29.96,4923665
149232574,0,93.85858,106.54903,29.96,4923665
150230834,0,149.00858,140.52248,29.96,4923665
151228795,0,188.95859,185.48631,29.939999,4923665
152226874,0,183.25858,188.49414,29.949999,4923665
153225148,0,171.15858,174.75763,29.974998,4923665
154235219,0,143.05858,147.46678,30.005,4923665
155233793,0,140.10858,138.42703,29.98,4923665
156231939,0,138.75858,137.79982,29.945,4923665
158227713,0,194.40858,193.93655,29.939999,4923665
159226845,0,209.10858,208.1078,29.949999,4923665
160225861,0,192.95859,193.74088,29.965,4923665
