timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
68283109,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68288140,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68293227,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68298153,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68303199,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68308106,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68313203,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68318171,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68323217,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68328114,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68333222,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68338162,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68343175,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68348107,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68353213,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68358166,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68363176,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68368151,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68373162,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68378178,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68383174,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68388204,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68393193,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68398198,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68403198,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68408226,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68413203,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68418188,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68423246,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68428193,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68433336,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68438272,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68443295,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68448250,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68453395,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68458171,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68463204,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68468223,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68473156,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68478182,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68483176,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68488200,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68493246,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68498182,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68503251,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68508207,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68513275,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68518188,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68523242,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68528209,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68533259,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68538215,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68543287,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68548213,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68553219,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68558198,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68563183,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68568212,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68573230,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68578308,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68583188,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68588232,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68593362,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68598310,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68603305,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68608295,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68613349,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68618324,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68623280,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68628188,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
68633384,0.06846086,0.0,-0.11656761,-0.0,0.0,0.0
